Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,FTR,HTR,AvgH,AvgD,AvgA,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AvgAHH,AvgAHA,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2025-07-25,Antwerp,1,1,8,4,2,9,3,0,St. Gilloise,1,0,17,8,5,16,3,0,D,H,3.87,3.45,1.9,2.0,1.9,1.91,1.83,1.86,1.88,0.0,0.0,2.0,13.0,1
2025-07-26,Dender,0,0,11,3,3,12,0,0,Cercle Brugge,0,0,10,2,3,13,2,0,D,D,2.79,3.39,2.37,1.86,2.0,1.8,1.94,2.07,1.7,0.0,0.0,7.0,4.0,1
2025-07-26,Waregem,1,0,21,5,9,8,3,0,Mechelen,1,1,7,2,6,8,2,0,D,A,3.13,3.54,2.11,1.71,2.2,1.67,2.1,1.92,1.79,0.0,0.0,15.0,10.0,1
2025-07-26,RAAL La Louviere,0,0,14,2,5,15,2,0,Standard,2,2,9,4,1,12,1,0,A,A,2.54,3.26,2.65,2.04,1.83,1.94,1.79,1.87,1.86,0.0,0.0,13.0,15.0,0
2025-07-27,Anderlecht,5,2,25,10,8,14,4,0,Westerlo,2,0,10,4,3,14,3,0,H,H,1.7,3.86,4.37,1.69,2.2,1.65,2.14,1.88,1.83,0.0,0.0,8.0,15.0,2
2025-07-27,Oud-Heverlee Leuven,2,1,7,3,4,15,2,0,Charleroi,2,0,15,7,8,14,2,0,D,H,2.79,3.3,2.4,1.89,1.95,1.83,1.89,2.03,1.73,0.0,0.0,13.0,9.0,1
2025-07-27,Club Brugge,2,0,18,4,8,10,1,1,Genk,1,1,17,10,6,7,2,0,H,A,1.73,3.82,4.29,1.73,2.14,1.68,2.09,1.91,1.81,0.0,0.0,11.0,12.0,2
2025-07-27,St Truiden,3,0,14,5,4,13,1,0,Gent,1,0,12,2,6,10,1,0,H,D,2.04,3.55,3.29,1.73,2.16,1.7,2.06,1.73,2.0,0.0,0.0,13.0,12.0,2
2025-08-01,Mechelen,2,1,9,5,2,11,4,0,Club Brugge,1,0,20,6,3,7,0,0,H,H,3.82,3.83,1.83,1.6,2.49,1.54,2.36,1.96,1.79,1.0,3.0,8.0,4.0,2
2025-08-02,Westerlo,3,2,13,6,3,7,1,0,Waregem,1,1,12,4,5,10,1,0,H,H,1.79,3.92,3.86,1.56,2.57,1.52,2.4,1.77,1.98,0.0,1.0,16.0,10.0,2
2025-08-02,Standard,1,0,10,6,5,11,3,0,Dender,1,0,9,2,1,13,3,0,D,D,1.88,3.36,4.08,2.08,1.83,2.0,1.75,1.85,1.89,3.0,1.0,4.0,12.0,1
2025-08-02,Gent,1,0,11,6,5,12,0,0,RAAL La Louviere,0,0,5,1,2,19,1,0,H,D,1.7,3.76,4.56,1.81,2.1,1.73,2.02,1.87,1.85,0.0,0.0,15.0,16.0,2
2025-08-03,Genk,1,1,15,3,4,11,0,0,Antwerp,1,1,6,5,2,10,2,0,D,D,1.58,4.15,4.98,1.62,2.5,1.56,2.31,1.92,1.8,0.0,1.0,15.0,11.0,1
2025-08-03,Cercle Brugge,0,0,12,2,5,7,2,0,Anderlecht,2,1,9,5,3,21,2,0,A,A,2.94,3.33,2.32,1.94,1.91,1.87,1.85,1.78,1.93,1.0,3.0,13.0,3.0,0
2025-08-03,St. Gilloise,5,2,19,10,4,12,1,0,Oud-Heverlee Leuven,0,0,6,0,7,9,2,0,H,H,1.32,5.15,8.51,1.67,2.43,1.6,2.23,1.89,1.85,1.0,1.0,12.0,11.0,2
2025-08-03,Charleroi,1,1,4,2,1,18,5,1,St Truiden,1,1,14,4,7,14,1,0,D,D,1.98,3.54,3.47,1.78,2.07,1.73,2.01,1.95,1.79,1.0,3.0,11.0,5.0,1
2025-08-08,St Truiden,2,1,14,3,4,18,3,0,Dender,0,0,6,2,2,7,0,1,H,H,1.85,3.67,3.83,1.77,2.1,1.72,2.03,1.84,1.9,4.0,2.0,3.0,11.0,2
2025-08-09,Gent,2,0,20,6,5,11,1,0,St. Gilloise,3,1,12,8,10,10,4,0,A,A,4.97,4.07,1.59,1.7,2.1,1.69,2.07,1.72,2.0,3.0,4.0,8.0,3.0,0
2025-08-09,Club Brugge,2,0,14,5,9,15,2,0,Cercle Brugge,0,0,10,2,5,11,3,1,H,D,1.43,4.56,6.37,1.62,2.3,1.59,2.24,1.88,1.79,3.0,1.0,6.0,14.0,2
2025-08-09,Westerlo,0,0,18,2,8,9,1,0,Mechelen,1,0,6,3,5,7,1,0,A,D,2.43,3.63,2.57,1.52,2.6,1.49,2.49,1.82,1.92,3.0,4.0,7.0,6.0,0
2025-08-10,RAAL La Louviere,1,1,11,2,4,11,3,0,Charleroi,0,0,15,4,3,11,0,0,H,H,3.33,3.34,2.11,2.05,1.76,2.01,1.73,1.92,1.75,0.0,2.0,16.0,9.0,2
