Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,Referee,FTR,HTR,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2010-08-06,Norwich,2,0,14,7,6,6,0,0,Watford,3,2,14,7,3,3,1,0,N Miller,A,A,0.0,0.0,15.0,24.0,0
2010-08-07,Reading,1,1,17,5,9,4,0,0,Scunthorpe,2,1,11,5,4,10,2,0,F Graham,A,D,0.0,0.0,20.0,21.0,0
2010-08-07,QPR,4,1,14,5,9,11,1,0,Barnsley,0,0,9,1,4,13,2,0,J Linington,H,H,0.0,0.0,20.0,3.0,2
2010-08-07,Middlesbrough,1,1,7,1,4,9,0,0,Ipswich,3,0,14,10,4,11,2,0,T Bates,A,H,0.0,0.0,15.0,12.0,0
2010-08-07,Leeds,1,1,15,7,6,15,3,0,Derby,2,2,12,6,7,9,2,0,N Swarbrick,A,A,0.0,0.0,13.0,10.0,0
2010-08-07,Preston,0,0,14,9,4,10,4,0,Doncaster,2,2,13,6,5,17,3,1,S Tanner,A,A,0.0,0.0,17.0,11.0,0
2010-08-07,Crystal Palace,3,3,9,7,0,14,0,0,Leicester,2,0,10,5,12,7,0,0,A Woolmer,H,H,0.0,0.0,11.0,13.0,2
2010-08-07,Coventry,2,1,15,9,5,15,1,0,Portsmouth,0,0,8,4,5,6,1,0,A D'Urso,H,H,0.0,0.0,11.0,15.0,2
2010-08-07,Burnley,1,1,9,7,4,12,2,0,Nott'm Forest,0,0,8,1,0,8,1,0,C Webster,H,H,0.0,0.0,10.0,14.0,2
2010-08-07,Bristol City,0,0,12,7,5,14,1,1,Millwall,3,1,19,7,8,9,1,1,M Oliver,A,A,0.0,0.0,10.0,13.0,0
2010-08-07,Hull,2,1,8,4,4,13,2,0,Swansea,0,0,14,4,3,4,0,0,M Russell,H,H,0.0,0.0,12.0,14.0,2
2010-08-08,Cardiff,1,0,11,7,11,11,1,0,Sheffield United,1,1,3,2,4,7,2,1,P Walton,D,A,0.0,0.0,12.0,13.0,1
2010-08-14,Scunthorpe,0,0,11,5,4,9,1,0,Norwich,1,0,17,8,6,9,0,0,C Sarginson,A,D,3.0,0.0,10.0,15.0,0
2010-08-14,Watford,2,1,10,5,9,9,1,0,Coventry,2,0,8,3,7,8,0,0,T Kettle,D,H,3.0,3.0,8.0,4.0,1
2010-08-14,Swansea,4,3,19,12,6,9,0,0,Preston,0,0,10,3,6,9,1,0,S Rushton,H,H,0.0,0.0,22.0,21.0,2
2010-08-14,Sheffield United,0,0,8,4,8,10,2,0,QPR,3,3,10,6,6,14,3,0,A Woolmer,A,A,1.0,3.0,15.0,3.0,0
2010-08-14,Portsmouth,1,1,8,3,5,13,0,0,Reading,1,0,11,3,5,5,0,0,M Russell,D,H,0.0,0.0,21.0,18.0,1
2010-08-14,Doncaster,1,0,12,6,8,11,0,0,Bristol City,1,0,7,4,1,7,2,0,P Tierney,D,D,3.0,0.0,7.0,22.0,1
2010-08-14,Leicester,0,0,13,10,15,9,2,0,Middlesbrough,0,0,12,5,5,9,3,0,M Jones,D,D,0.0,0.0,19.0,22.0,1
2010-08-14,Ipswich,1,0,8,2,4,11,0,0,Burnley,1,0,11,4,7,15,2,1,G Hegley,D,D,3.0,3.0,7.0,11.0,1
2010-08-14,Derby,1,1,10,5,7,10,2,0,Cardiff,2,1,11,5,6,3,0,0,N Miller,A,D,3.0,1.0,11.0,14.0,0
2010-08-14,Barnsley,1,1,6,2,6,18,3,0,Crystal Palace,0,0,10,2,3,11,2,0,N Swarbrick,H,H,0.0,3.0,23.0,11.0,2
2010-08-14,Millwall,4,2,14,8,7,9,0,0,Hull,0,0,11,7,5,8,0,0,A Penn,H,H,3.0,3.0,8.0,10.0,2
2010-08-15,Nott'm Forest,1,1,6,2,2,10,3,0,Leeds,1,1,6,2,3,18,2,0,A Bates,D,D,0.0,0.0,23.0,22.0,1
2010-08-21,Leeds,3,1,23,13,6,11,0,0,Millwall,1,1,6,3,5,13,0,0,C Webster,H,D,1.0,6.0,16.0,1.0,2
2010-08-21,Reading,1,1,10,6,8,14,2,0,Nott'm Forest,1,0,6,4,5,13,2,0,L Probert,D,H,1.0,1.0,18.0,19.0,1
2010-08-21,QPR,2,2,18,11,7,9,1,0,Scunthorpe,0,0,9,5,4,14,0,0,G Salisbury,H,H,6.0,3.0,1.0,14.0,2
2010-08-21,Norwich,2,0,7,4,4,16,2,0,Swansea,0,0,15,6,6,7,1,0,P Crossley,H,D,3.0,3.0,13.0,10.0,2
2010-08-21,Hull,0,0,16,6,3,10,2,0,Watford,0,0,10,6,6,9,1,0,S Mathieson,D,D,3.0,4.0,14.0,8.0,1
2010-08-21,Preston,1,1,15,4,10,9,2,0,Portsmouth,0,0,16,3,6,7,3,0,D Webb,H,H,0.0,1.0,24.0,21.0,2
2010-08-21,Coventry,2,1,14,7,10,22,3,0,Derby,1,0,14,9,1,6,2,0,E Ilderton,H,H,4.0,3.0,5.0,14.0,2
2010-08-21,Cardiff,4,1,13,7,7,7,1,0,Doncaster,0,0,10,5,6,6,1,0,N Swarbrick,H,H,4.0,4.0,9.0,7.0,2
2010-08-21,Crystal Palace,1,0,5,1,2,3,2,1,Ipswich,2,0,5,2,5,9,2,1,J Moss,A,D,3.0,4.0,13.0,7.0,0
2010-08-21,Burnley,3,1,9,6,4,15,2,0,Leicester,0,0,11,4,5,13,0,0,G Eltringham,H,H,4.0,1.0,9.0,20.0,2
2010-08-21,Bristol City,3,2,8,4,4,9,0,0,Barnsley,3,2,12,5,4,13,1,0,A Penn,D,D,1.0,3.0,21.0,16.0,1
2010-08-22,Middlesbrough,1,0,7,3,2,12,2,0,Sheffield United,0,0,6,3,7,12,0,0,D Whitestone,H,D,1.0,1.0,21.0,23.0,2
2010-08-28,Swansea,1,1,10,3,2,11,3,1,Burnley,0,0,9,2,3,13,2,1,S Tanner,H,H,3.0,7.0,14.0,3.0,2
2010-08-28,Sheffield United,1,0,8,4,5,12,2,0,Preston,0,0,11,6,6,12,1,0,I Williamson,H,D,1.0,3.0,24.0,18.0,2
2010-08-28,Scunthorpe,3,2,13,6,5,14,0,0,Crystal Palace,0,0,6,1,3,10,0,0,D Whitestone,H,H,3.0,3.0,18.0,16.0,2
2010-08-28,Portsmouth,0,0,7,2,4,9,1,0,Cardiff,2,1,6,1,8,12,0,0,A Penn,A,A,1.0,7.0,23.0,2.0,0
2010-08-28,Nott'm Forest,1,1,9,3,5,15,2,0,Norwich,1,1,12,6,4,11,0,0,S Mathieson,D,D,2.0,6.0,21.0,7.0,1
2010-08-28,Watford,0,0,13,8,6,18,1,0,Leeds,1,1,13,8,5,17,3,0,J Linington,A,A,5.0,4.0,10.0,11.0,0
2010-08-28,Leicester,1,0,15,10,11,8,1,0,Reading,2,1,11,5,5,10,0,0,C Webster,A,A,1.0,2.0,23.0,21.0,0
2010-08-28,Ipswich,2,0,17,6,5,4,0,0,Bristol City,0,0,8,4,2,6,1,0,M Russell,H,D,7.0,2.0,4.0,22.0,2
2010-08-28,Doncaster,3,2,11,7,4,9,0,0,Hull,1,1,7,6,3,9,4,0,L Mason,H,H,4.0,4.0,14.0,15.0,2
2010-08-28,Derby,2,1,9,7,7,11,1,0,QPR,2,0,10,5,4,10,1,0,M Haywood,D,H,3.0,9.0,18.0,3.0,1
2010-08-28,Barnsley,2,1,12,7,6,15,1,0,Middlesbrough,0,0,12,7,5,12,2,0,K Hill,H,H,4.0,4.0,16.0,15.0,2
2010-08-28,Millwall,3,1,18,9,5,10,1,0,Coventry,1,0,7,5,2,13,1,1,J Moss,H,H,6.0,7.0,10.0,4.0,2
2010-09-11,Watford,2,0,11,5,3,8,1,0,Doncaster,2,1,7,3,7,14,3,0,D Sheldrake,D,A,5.0,7.0,14.0,9.0,1
2010-09-11,Scunthorpe,0,0,21,11,10,7,2,0,Bristol City,2,1,9,6,7,11,2,0,A Haines,A,A,6.0,2.0,11.0,22.0,0
2010-09-11,Reading,3,1,13,4,9,18,2,0,Crystal Palace,0,0,5,2,5,12,4,0,K Hill,H,H,5.0,3.0,14.0,21.0,2
2010-09-11,QPR,3,0,22,12,7,6,0,0,Middlesbrough,0,0,8,3,4,6,1,0,M Russell,H,D,10.0,4.0,1.0,17.0,2
2010-09-11,Portsmouth,0,0,13,4,6,8,1,0,Ipswich,0,0,6,2,8,13,0,0,S Tanner,D,D,1.0,10.0,24.0,3.0,1
2010-09-11,Nott'm Forest,1,0,19,14,6,4,1,0,Millwall,1,1,12,6,2,14,3,0,N Miller,D,A,3.0,9.0,20.0,4.0,1
