Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,FTR,HTR,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2012-08-17,Cardiff,1,0,13,5,7,11,1,0,Huddersfield,0,0,12,6,4,8,3,0,H,D,0.0,0.0,9.0,13.0,2
2012-08-18,Nott'm Forest,1,0,10,4,4,4,1,0,Bristol City,0,0,6,3,7,4,1,0,H,D,0.0,0.0,19.0,8.0,2
2012-08-18,Millwall,0,0,9,3,8,8,1,0,Blackpool,2,1,11,8,4,7,2,0,A,A,0.0,0.0,18.0,6.0,0
2012-08-18,Leicester,2,0,7,4,9,9,2,0,Peterboro,0,0,3,2,3,9,2,0,H,D,0.0,0.0,16.0,18.0,2
2012-08-18,Ipswich,1,0,12,7,5,8,1,0,Blackburn,1,1,7,2,2,19,2,0,D,A,0.0,0.0,15.0,7.0,1
2012-08-18,Hull,1,0,13,8,3,10,2,0,Brighton,0,0,18,4,4,16,1,0,H,D,0.0,0.0,15.0,10.0,2
2012-08-18,Leeds,1,1,12,7,8,10,4,0,Wolves,0,0,6,1,8,16,2,0,H,H,0.0,0.0,15.0,19.0,2
2012-08-18,Crystal Palace,2,2,4,2,4,10,0,0,Watford,3,1,13,5,4,8,2,0,A,H,0.0,0.0,14.0,18.0,0
2012-08-18,Burnley,2,1,14,7,7,10,1,0,Bolton,0,0,11,5,9,11,2,0,H,H,0.0,0.0,13.0,12.0,2
2012-08-18,Birmingham,1,0,14,7,3,9,0,0,Charlton,1,0,9,4,7,10,1,0,D,D,0.0,0.0,12.0,13.0,1
2012-08-18,Barnsley,1,1,16,9,11,9,3,0,Middlesbrough,0,0,12,5,3,9,2,0,H,H,0.0,0.0,13.0,15.0,2
2012-08-18,Derby,2,2,6,4,9,7,1,0,Sheffield Weds,2,1,7,6,4,14,2,0,D,H,0.0,0.0,14.0,15.0,1
2012-08-21,Peterboro,1,1,9,4,1,8,1,0,Millwall,2,1,18,10,8,11,2,0,A,D,0.0,0.0,24.0,23.0,0
2012-08-21,Wolves,3,1,14,9,6,11,0,0,Barnsley,1,0,13,4,3,13,1,0,H,H,0.0,3.0,22.0,5.0,2
