Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,Referee,FTR,HTR,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2015-08-08,Bournemouth,0,0,11,2,6,13,3,0,Aston Villa,1,0,7,3,3,13,4,0,M Clattenburg,A,D,0.0,0.0,3.0,2.0,0
2015-08-08,Chelsea,2,2,11,3,4,15,1,1,Swansea,2,1,18,10,8,16,3,0,M Oliver,D,H,0.0,0.0,3.0,15.0,1
2015-08-08,Everton,2,0,10,5,8,7,1,0,Watford,2,1,11,5,2,13,2,0,M Jones,D,A,0.0,0.0,6.0,17.0,1
2015-08-08,Leicester,4,3,19,8,6,13,2,0,Sunderland,2,0,10,5,3,17,4,0,L Mason,H,H,0.0,0.0,8.0,16.0,2
2015-08-08,Man United,1,1,9,1,1,12,2,0,Tottenham,0,0,9,4,2,12,3,0,J Moss,H,H,0.0,0.0,11.0,16.0,2
2015-08-08,Norwich,1,0,17,6,1,14,1,0,Crystal Palace,3,1,11,7,4,20,0,0,S Hooper,A,A,0.0,0.0,13.0,9.0,0
2015-08-09,Arsenal,0,0,22,6,5,12,1,0,West Ham,2,1,8,4,4,9,3,0,M Atkinson,A,A,0.0,0.0,9.0,16.0,0
2015-08-09,Newcastle,2,1,9,4,6,9,2,0,Southampton,2,1,15,5,6,12,4,0,C Pawson,D,D,0.0,0.0,12.0,13.0,1
2015-08-09,Stoke,0,0,7,1,3,9,2,0,Liverpool,1,0,8,3,5,16,4,0,A Taylor,A,D,0.0,0.0,14.0,12.0,0
2015-08-10,West Brom,0,0,9,2,6,12,4,0,Man City,3,2,19,7,6,9,1,0,M Dean,A,A,0.0,0.0,14.0,13.0,0
2015-08-14,Aston Villa,0,0,5,1,3,14,2,0,Man United,1,1,9,2,5,10,2,0,M Dean,A,A,3.0,3.0,5.0,7.0,0
2015-08-15,West Ham,1,0,10,3,8,11,1,1,Leicester,2,2,11,6,4,12,3,0,A Taylor,A,A,3.0,3.0,5.0,3.0,0
2015-08-15,Watford,0,0,16,5,2,13,1,0,West Brom,0,0,6,0,4,10,2,0,P Tierney,D,D,1.0,0.0,13.0,20.0,1
2015-08-15,Tottenham,2,2,13,7,4,15,2,0,Stoke,2,0,16,7,3,11,2,0,R Madley,D,H,0.0,0.0,17.0,16.0,1
2015-08-15,Southampton,0,0,17,4,9,11,4,0,Everton,3,2,10,4,9,10,2,0,M Oliver,A,A,1.0,1.0,12.0,10.0,0
2015-08-15,Sunderland,1,0,6,2,6,7,1,0,Norwich,3,2,19,6,6,7,2,0,K Friend,A,A,0.0,0.0,18.0,19.0,0
2015-08-15,Swansea,2,1,19,6,4,11,2,0,Newcastle,0,0,4,2,4,8,1,1,M Jones,H,H,1.0,1.0,13.0,12.0,2
2015-08-16,Crystal Palace,1,1,11,4,6,14,1,0,Arsenal,2,1,20,7,6,12,1,0,L Mason,A,D,3.0,0.0,6.0,19.0,0
2015-08-16,Man City,3,1,18,8,5,19,4,0,Chelsea,0,0,10,3,1,13,2,0,M Atkinson,H,H,3.0,1.0,5.0,13.0,2
2015-08-17,Liverpool,1,1,18,2,6,11,1,0,Bournemouth,0,0,13,2,8,18,4,0,C Pawson,H,H,3.0,0.0,8.0,19.0,2
2015-08-22,Sunderland,1,0,10,2,3,16,4,0,Swansea,1,1,20,9,4,9,2,0,N Swarbrick,D,A,0.0,4.0,20.0,6.0,1
2015-08-22,West Ham,3,0,10,4,5,8,0,1,Bournemouth,4,2,15,7,4,11,0,0,J Moss,A,A,3.0,0.0,8.0,20.0,0
2015-08-22,Norwich,1,1,21,7,9,16,4,0,Stoke,1,1,6,1,0,5,1,0,M Dean,D,D,3.0,1.0,9.0,14.0,1
2015-08-22,Leicester,1,0,13,2,2,7,1,0,Tottenham,1,0,19,6,7,14,4,0,M Atkinson,D,D,6.0,1.0,2.0,15.0,1
2015-08-22,Crystal Palace,2,0,16,6,6,12,3,0,Aston Villa,1,0,11,2,4,15,3,0,K Stroud,H,D,3.0,3.0,8.0,10.0,2
2015-08-22,Man United,0,0,20,8,11,15,2,0,Newcastle,0,0,7,0,5,11,2,0,C Pawson,D,D,6.0,1.0,5.0,16.0,1
2015-08-23,Everton,0,0,10,1,8,5,0,0,Man City,2,0,16,9,7,7,3,0,A Taylor,A,D,4.0,6.0,7.0,3.0,0
2015-08-23,Watford,0,0,13,0,5,10,0,0,Southampton,0,0,14,5,2,11,2,0,A Marriner,D,D,2.0,1.0,13.0,18.0,1
2015-08-23,West Brom,2,1,15,6,8,9,2,0,Chelsea,3,3,15,5,7,12,1,1,M Clattenburg,A,A,1.0,1.0,19.0,18.0,0
2015-08-24,Arsenal,0,0,19,5,7,2,1,0,Liverpool,0,0,15,8,8,13,4,0,M Oliver,D,D,3.0,6.0,13.0,5.0,1
2015-08-29,Liverpool,0,0,13,1,5,17,3,1,West Ham,3,2,12,5,7,11,1,1,K Friend,A,A,7.0,3.0,3.0,11.0,0
2015-08-29,Aston Villa,2,2,21,6,5,10,2,0,Sunderland,2,1,7,3,4,14,1,0,R Madley,D,H,3.0,1.0,14.0,19.0,1
2015-08-29,Bournemouth,1,1,5,2,4,9,2,0,Leicester,1,0,4,2,4,19,4,0,N Swarbrick,D,H,3.0,7.0,14.0,2.0,1
2015-08-29,Chelsea,1,0,26,9,7,9,1,0,Crystal Palace,2,0,13,6,7,15,1,0,C Pawson,A,D,4.0,6.0,13.0,6.0,0
2015-08-29,Man City,2,0,18,5,9,9,1,0,Watford,0,0,7,0,3,12,2,0,M Clattenburg,H,D,9.0,3.0,1.0,14.0,2
2015-08-29,Newcastle,0,0,1,0,0,15,6,1,Arsenal,1,0,22,9,9,8,1,0,A Marriner,A,D,2.0,4.0,17.0,12.0,0
2015-08-29,Stoke,0,0,13,5,6,4,1,2,West Brom,1,1,15,5,5,9,4,0,M Oliver,A,A,2.0,1.0,15.0,20.0,0
2015-08-29,Tottenham,0,0,20,6,6,20,4,0,Everton,0,0,8,3,2,9,1,0,M Jones,D,D,2.0,4.0,16.0,9.0,1
2015-08-30,Southampton,3,1,23,8,6,4,0,0,Norwich,0,0,6,1,4,12,0,1,J Moss,H,H,2.0,4.0,19.0,10.0,2
2015-08-30,Swansea,2,0,9,4,0,6,2,0,Man United,1,0,11,4,1,15,2,0,M Atkinson,H,D,5.0,7.0,8.0,4.0,2
2015-09-12,Norwich,3,1,12,4,4,10,2,0,Bournemouth,1,0,7,2,4,11,3,0,M Atkinson,H,H,4.0,4.0,14.0,11.0,2
