Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,Referee,FTR,HTR,AvgH,AvgD,AvgA,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AvgAHH,AvgAHA,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2020-09-12,Fulham,0,0,5,2,2,12,2,0,Arsenal,3,1,13,6,3,12,2,0,C Kavanagh,A,A,5.94,4.34,1.55,1.84,2.18,1.76,2.1,1.93,1.95,0.0,0.0,8.0,1.0,0
2020-09-12,Crystal Palace,1,1,5,3,7,14,2,0,Southampton,0,0,9,5,3,11,1,0,J Moss,H,H,3.18,3.22,2.39,2.36,1.73,2.24,1.67,1.84,2.03,0.0,0.0,6.0,15.0,2
2020-09-12,Liverpool,4,3,22,6,9,9,1,0,Leeds,3,2,6,3,0,6,0,0,M Oliver,H,H,1.3,5.96,9.68,1.56,2.68,1.52,2.53,1.9,1.97,0.0,0.0,10.0,8.0,2
2020-09-12,West Ham,0,0,15,3,8,13,2,0,Newcastle,2,0,15,2,7,7,2,0,S Attwell,A,D,2.15,3.48,3.42,2.05,1.95,1.97,1.86,2.12,1.75,0.0,0.0,16.0,12.0,0
2020-09-13,West Brom,0,0,7,1,2,12,1,0,Leicester,3,0,13,7,5,9,1,0,A Taylor,A,D,3.87,3.57,1.97,2.02,2.03,1.92,1.9,1.88,1.97,0.0,0.0,15.0,10.0,0
2020-09-13,Tottenham,0,0,9,5,5,15,1,0,Everton,1,0,15,4,3,7,0,0,M Atkinson,A,D,1.9,3.55,4.2,2.04,1.95,1.94,1.88,1.9,1.96,0.0,0.0,14.0,10.0,0
2020-09-14,Brighton,1,0,13,3,4,8,1,0,Chelsea,3,1,10,5,3,13,0,0,C Pawson,A,A,5.12,4.13,1.65,1.84,2.18,1.76,2.08,2.05,1.82,0.0,0.0,8.0,10.0,0
2020-09-14,Sheffield United,0,0,9,2,12,13,2,0,Wolves,2,2,11,4,5,7,1,0,M Dean,A,A,3.36,3.0,2.41,2.88,1.53,2.68,1.48,1.84,2.02,0.0,0.0,12.0,13.0,0
2020-09-19,Man United,1,0,13,4,9,13,2,0,Crystal Palace,3,1,14,5,3,10,1,0,M Atkinson,A,A,1.32,5.57,9.56,1.74,2.31,1.66,2.24,1.98,1.89,0.0,3.0,12.0,7.0,0
2020-09-19,Arsenal,2,1,7,3,7,11,0,0,West Ham,1,1,14,3,5,13,1,0,M Oliver,H,D,1.53,4.51,5.91,1.7,2.41,1.64,2.3,1.87,2.0,3.0,0.0,2.0,18.0,2
2020-09-19,Everton,5,2,17,7,11,9,1,0,West Brom,2,1,6,4,1,11,0,1,M Dean,H,H,1.54,4.25,6.3,1.9,2.13,1.81,2.03,1.91,1.97,3.0,0.0,8.0,20.0,2
2020-09-19,Leeds,4,2,10,7,5,13,1,0,Fulham,3,1,14,6,3,18,2,0,A Taylor,H,H,1.64,3.97,5.5,1.99,2.0,1.93,1.91,1.82,2.07,0.0,0.0,12.0,19.0,2
2020-09-20,Southampton,2,1,14,7,3,16,4,0,Tottenham,5,1,9,6,2,18,3,0,D Coote,A,D,3.1,3.35,2.37,2.06,1.96,1.97,1.87,1.85,2.03,0.0,0.0,13.0,14.0,0
2020-09-20,Newcastle,0,0,6,0,7,16,3,0,Brighton,3,2,13,6,1,15,0,1,K Friend,A,A,2.68,3.15,2.82,2.5,1.66,2.38,1.59,1.88,1.99,3.0,0.0,7.0,14.0,0
2020-09-20,Chelsea,0,0,5,3,1,10,0,1,Liverpool,2,0,18,6,11,6,0,0,P Tierney,A,D,3.15,3.72,2.18,1.68,2.46,1.61,2.35,1.96,1.91,3.0,3.0,6.0,9.0,0
2020-09-20,Leicester,4,1,14,6,15,11,1,0,Burnley,2,1,16,5,4,13,2,0,L Mason,H,D,1.63,3.98,5.64,2.03,1.96,1.95,1.88,1.8,2.09,3.0,0.0,5.0,13.0,2
2020-09-21,Aston Villa,1,0,18,2,10,12,3,0,Sheffield United,0,0,4,1,4,13,1,1,G Scott,H,D,2.71,3.19,2.75,2.38,1.75,2.25,1.66,1.91,1.95,0.0,0.0,12.0,16.0,2
