Date,HomeTeam,FTHG,HTHG,HS,HST,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AY,AR,FTR,HTR,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2005-07-29,Paris SG,4,2,16.0,9.0,2,0,Metz,1,0,11.0,7.0,3,0,H,H,0.0,0.0,14.0,9.0,2
2005-07-30,Lille,1,1,14.0,5.0,2,0,Rennes,0,0,8.0,5.0,3,0,H,H,0.0,0.0,7.0,14.0,2
2005-07-30,Marseille,0,0,7.0,3.0,2,1,Bordeaux,2,1,9.0,4.0,4,0,A,A,0.0,0.0,9.0,5.0,0
2005-07-30,Nancy,0,0,10.0,6.0,2,2,Monaco,1,0,5.0,3.0,2,0,A,D,0.0,0.0,10.0,9.0,0
2005-07-30,Nantes,2,2,10.0,3.0,1,0,Lens,0,0,10.0,3.0,3,0,H,H,0.0,0.0,10.0,8.0,2
2005-07-30,Nice,1,1,13.0,6.0,2,0,Troyes,1,0,5.0,5.0,2,1,D,H,0.0,0.0,10.0,15.0,1
2005-07-30,Sochaux,0,0,14.0,7.0,2,0,Toulouse,1,1,7.0,4.0,3,0,A,A,0.0,0.0,12.0,15.0,0
2005-07-30,St Etienne,0,0,10.0,6.0,1,0,Ajaccio,0,0,5.0,3.0,2,0,D,D,0.0,0.0,13.0,9.0,1
2005-07-30,Strasbourg,0,0,15.0,3.0,1,1,Auxerre,0,0,5.0,0.0,0,1,D,D,0.0,0.0,14.0,11.0,1
2005-07-31,Le Mans,1,0,11.0,4.0,1,0,Lyon,2,1,6.0,3.0,2,0,A,A,0.0,0.0,13.0,14.0,0
2005-08-06,Troyes,0,0,8.0,4.0,1,0,St Etienne,0,0,13.0,3.0,2,0,D,D,1.0,1.0,9.0,12.0,1
2005-08-06,Toulouse,0,0,8.0,2.0,1,0,Nice,2,2,7.0,4.0,2,0,A,A,3.0,1.0,7.0,10.0,0
2005-08-06,Sochaux,0,0,11.0,7.0,3,0,Paris SG,1,0,6.0,3.0,2,0,A,D,0.0,3.0,17.0,2.0,0
2005-08-06,Monaco,0,0,10.0,3.0,2,1,Auxerre,2,1,11.0,5.0,2,0,A,A,3.0,1.0,7.0,12.0,0
2005-08-06,Bordeaux,1,1,7.0,6.0,2,0,Nancy,0,0,9.0,4.0,2,0,H,H,3.0,0.0,4.0,15.0,2
2005-08-06,Lens,2,1,15.0,7.0,2,0,Marseille,0,0,3.0,2.0,3,0,H,H,0.0,0.0,16.0,17.0,2
2005-08-06,Ajaccio,3,2,17.0,6.0,1,0,Lille,3,2,10.0,6.0,3,0,D,D,1.0,3.0,13.0,7.0,1
2005-08-06,Metz,0,0,9.0,6.0,1,0,Le Mans,0,0,14.0,8.0,2,0,D,D,0.0,0.0,19.0,15.0,1
2005-08-07,Lyon,1,1,6.0,3.0,2,0,Strasbourg,0,0,6.0,3.0,1,0,H,H,3.0,1.0,7.0,14.0,2
2005-08-07,Rennes,0,0,10.0,6.0,1,1,Nantes,3,1,11.0,8.0,1,0,A,A,0.0,3.0,17.0,7.0,0
2005-08-13,Nice,1,1,8.0,1.0,3,1,Sochaux,2,0,7.0,6.0,3,2,A,H,4.0,0.0,5.0,18.0,0
2005-08-13,St Etienne,2,2,10.0,4.0,0,0,Metz,0,0,8.0,4.0,2,0,H,H,2.0,1.0,14.0,17.0,2
2005-08-13,Paris SG,2,1,16.0,9.0,3,0,Toulouse,0,0,6.0,1.0,2,1,H,H,6.0,3.0,2.0,12.0,2
2005-08-13,Nantes,0,0,10.0,3.0,0,0,Ajaccio,2,0,13.0,4.0,1,0,A,D,6.0,2.0,2.0,13.0,0
2005-08-13,Le Mans,4,2,17.0,9.0,2,0,Rennes,0,0,8.0,1.0,3,1,H,H,1.0,0.0,15.0,20.0,2
2005-08-13,Lille,1,0,12.0,6.0,2,0,Troyes,2,2,8.0,5.0,3,0,A,A,4.0,2.0,9.0,15.0,0
2005-08-13,Auxerre,1,1,12.0,7.0,0,0,Bordeaux,0,0,7.0,3.0,0,0,H,H,4.0,6.0,9.0,3.0,2
2005-08-13,Nancy,1,0,8.0,4.0,1,0,Lens,2,2,10.0,6.0,1,0,A,A,0.0,3.0,18.0,12.0,0
2005-08-14,Marseille,1,1,11.0,3.0,2,0,Lyon,1,1,7.0,3.0,1,0,D,D,0.0,6.0,19.0,5.0,1
2005-08-14,Strasbourg,1,0,12.0,4.0,2,0,Monaco,2,0,14.0,6.0,3,0,A,D,1.0,3.0,16.0,14.0,0
2005-08-20,Sochaux,0,0,11.0,5.0,0,0,Lille,0,0,10.0,2.0,2,0,D,D,3.0,4.0,14.0,13.0,1
2005-08-20,Rennes,3,2,15.0,10.0,1,0,Marseille,2,2,8.0,5.0,1,0,H,D,0.0,1.0,20.0,17.0,2
2005-08-20,Nice,1,1,11.0,8.0,2,0,Nantes,1,0,8.0,2.0,4,1,D,H,4.0,6.0,13.0,4.0,1
2005-08-20,Metz,0,0,15.0,4.0,3,0,Strasbourg,0,0,12.0,3.0,1,0,D,D,1.0,1.0,19.0,17.0,1
2005-08-20,Lens,7,3,14.0,13.0,0,0,Auxerre,0,0,8.0,5.0,1,0,H,H,6.0,7.0,6.0,3.0,2
2005-08-20,Bordeaux,1,0,9.0,6.0,2,0,Monaco,0,0,4.0,2.0,5,0,H,D,6.0,6.0,6.0,7.0,2
2005-08-20,Ajaccio,0,0,15.0,7.0,2,0,Le Mans,0,0,10.0,5.0,4,0,D,D,5.0,4.0,8.0,13.0,1
2005-08-20,Lyon,1,0,10.0,5.0,2,0,Nancy,0,0,7.0,3.0,4,0,H,D,7.0,0.0,5.0,20.0,2
2005-08-21,Toulouse,1,1,6.0,3.0,1,0,St Etienne,1,0,8.0,3.0,0,0,D,H,3.0,5.0,15.0,10.0,1
2005-08-21,Troyes,1,0,8.0,6.0,3,0,Paris SG,1,1,8.0,4.0,4,1,D,A,5.0,9.0,12.0,3.0,1
2005-08-24,Lille,0,0,12.0,4.0,1,0,Toulouse,0,0,4.0,2.0,0,0,D,D,5.0,4.0,13.0,15.0,1
