Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AY,AR,FTR,HTR,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2006-08-04,Nantes,1,1,10,4,7,2,0,Lyon,3,1,13,6,2,2,0,A,D,0.0,0.0,11.0,7.0,0
2006-08-05,Auxerre,1,0,14,6,4,5,1,Valenciennes,1,1,13,5,3,4,0,D,A,0.0,0.0,2.0,19.0,1
2006-08-05,Bordeaux,2,0,14,7,6,1,0,Toulouse,0,0,3,1,4,1,0,H,D,0.0,0.0,4.0,18.0,2
2006-08-05,Le Mans,1,1,12,4,10,1,0,Nice,0,0,8,3,2,3,0,H,H,0.0,0.0,5.0,12.0,2
2006-08-05,Lens,1,1,11,3,4,5,0,Troyes,0,0,5,1,1,3,0,H,H,0.0,0.0,6.0,17.0,2
2006-08-05,Nancy,1,0,11,3,3,4,0,Monaco,0,0,5,1,1,3,1,H,D,0.0,0.0,11.0,10.0,2
2006-08-05,Paris SG,2,2,11,8,6,0,0,Lorient,3,1,8,5,3,1,0,A,H,0.0,0.0,11.0,9.0,0
2006-08-05,Rennes,1,0,9,4,4,2,0,Lille,2,2,20,9,3,3,0,A,A,0.0,0.0,11.0,9.0,0
2006-08-05,St Etienne,1,1,4,3,3,0,0,Sochaux,2,1,8,6,4,1,0,A,D,0.0,0.0,13.0,12.0,0
2006-08-06,Sedan,0,0,10,5,1,1,0,Marseille,0,0,10,3,5,2,0,D,D,0.0,0.0,12.0,11.0,1
2006-08-12,Valenciennes,0,0,10,4,4,2,0,Paris SG,0,0,8,3,3,1,0,D,D,1.0,0.0,10.0,13.0,1
2006-08-12,Troyes,2,0,9,2,6,3,0,Le Mans,2,2,10,7,1,2,0,D,A,0.0,3.0,18.0,6.0,1
2006-08-12,Sochaux,1,0,10,4,10,0,0,Auxerre,1,1,9,7,3,1,0,D,A,3.0,1.0,6.0,10.0,1
2006-08-12,Nice,1,0,8,3,4,2,0,Nantes,1,0,3,1,2,1,0,D,D,0.0,0.0,18.0,19.0,1
2006-08-12,Nancy,3,0,15,7,8,1,0,Sedan,1,1,10,4,1,2,1,H,A,3.0,1.0,8.0,12.0,2
2006-08-12,Lorient,0,0,12,2,10,1,2,Bordeaux,1,1,14,6,5,5,0,A,A,3.0,3.0,6.0,5.0,0
2006-08-12,Lyon,1,0,16,6,3,1,0,Toulouse,1,0,10,5,3,5,0,D,D,3.0,0.0,5.0,20.0,1
2006-08-12,Monaco,1,0,11,5,3,3,1,St Etienne,2,1,13,6,2,2,0,A,A,0.0,0.0,20.0,19.0,0
2006-08-13,Marseille,2,1,11,3,4,2,0,Rennes,0,0,13,4,4,3,0,H,H,1.0,0.0,12.0,19.0,2
2006-08-13,Lille,4,2,11,7,4,2,0,Lens,0,0,3,1,1,4,1,H,H,3.0,3.0,7.0,8.0,2
2006-08-19,Rennes,1,0,12,5,11,2,0,Monaco,1,1,6,2,1,5,0,D,A,0.0,0.0,20.0,19.0,1
2006-08-19,St Etienne,1,0,9,1,3,3,0,Nancy,0,0,6,4,5,2,1,H,D,3.0,6.0,9.0,2.0,2
2006-08-19,Sedan,1,0,7,3,2,1,0,Sochaux,1,1,5,3,3,2,0,D,A,1.0,4.0,18.0,8.0,1
2006-08-19,Paris SG,1,0,19,9,8,2,0,Lille,0,0,14,6,5,2,1,H,D,1.0,6.0,14.0,1.0,2
2006-08-19,Le Mans,3,1,15,7,3,0,0,Valenciennes,2,2,5,2,2,1,0,H,A,4.0,2.0,8.0,13.0,2
2006-08-19,Lens,1,1,11,4,1,2,0,Lorient,1,0,11,4,4,3,0,D,H,3.0,3.0,11.0,10.0,1
2006-08-19,Auxerre,0,0,6,2,4,2,1,Marseille,3,1,5,2,3,2,0,A,A,2.0,4.0,12.0,8.0,0
2006-08-19,Nantes,1,1,6,2,2,1,0,Troyes,1,0,8,3,4,3,0,D,H,1.0,1.0,18.0,15.0,1
2006-08-20,Bordeaux,1,1,8,4,4,4,0,Lyon,2,1,15,3,4,3,0,A,D,6.0,4.0,4.0,8.0,0
2006-08-20,Toulouse,1,1,8,4,5,3,0,Nice,0,0,8,3,5,3,0,H,H,1.0,1.0,19.0,17.0,2
2006-08-26,Troyes,1,0,11,5,6,2,0,Toulouse,2,1,7,2,1,3,0,A,A,2.0,4.0,13.0,11.0,0
2006-08-26,Nice,1,1,5,1,0,3,0,Lyon,4,0,13,5,14,2,0,A,H,1.0,7.0,19.0,2.0,0
2006-08-26,Sochaux,3,2,15,6,5,1,0,Paris SG,2,0,5,3,0,4,0,H,H,5.0,4.0,9.0,11.0,2
2006-08-26,Lille,3,2,8,4,5,3,0,Bordeaux,0,0,8,2,4,2,0,H,H,6.0,6.0,6.0,7.0,2
