Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,FTR,HTR,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2013-08-09,Montpellier,1.0,1.0,6.0,1.0,1.0,22.0,2.0,1.0,Paris SG,1.0,0.0,12.0,4.0,8.0,18.0,2.0,0.0,D,H,0.0,0.0,11.0,14.0,1.0
2013-08-10,Bordeaux,0.0,0.0,11.0,2.0,3.0,16.0,1.0,0.0,Monaco,2.0,0.0,13.0,6.0,7.0,11.0,0.0,0.0,A,D,0.0,0.0,5.0,12.0,0.0
2013-08-10,Evian Thonon Gaillard,1.0,1.0,15.0,8.0,5.0,13.0,1.0,0.0,Sochaux,1.0,0.0,9.0,6.0,5.0,18.0,2.0,0.0,D,H,0.0,0.0,6.0,16.0,1.0
2013-08-10,Lille,1.0,1.0,6.0,3.0,4.0,18.0,1.0,0.0,Lorient,0.0,0.0,6.0,3.0,3.0,18.0,1.0,1.0,H,H,0.0,0.0,9.0,10.0,2.0
2013-08-10,Lyon,4.0,1.0,12.0,6.0,2.0,20.0,1.0,0.0,Nice,0.0,0.0,11.0,5.0,5.0,9.0,0.0,0.0,H,H,0.0,0.0,10.0,13.0,2.0
2013-08-10,Nantes,2.0,1.0,7.0,3.0,2.0,14.0,1.0,1.0,Bastia,0.0,0.0,9.0,0.0,2.0,14.0,3.0,1.0,H,H,0.0,0.0,12.0,9.0,2.0
2013-08-10,Rennes,2.0,1.0,13.0,6.0,4.0,7.0,1.0,0.0,Reims,1.0,1.0,15.0,5.0,8.0,15.0,2.0,0.0,H,D,0.0,0.0,13.0,12.0,2.0
2013-08-10,Valenciennes,3.0,1.0,19.0,7.0,6.0,22.0,2.0,0.0,Toulouse,0.0,0.0,2.0,1.0,0.0,12.0,0.0,1.0,H,H,0.0,0.0,15.0,14.0,2.0
2013-08-11,Ajaccio,0.0,0.0,7.0,1.0,1.0,16.0,0.0,1.0,St Etienne,1.0,1.0,8.0,2.0,3.0,20.0,1.0,0.0,A,A,0.0,0.0,11.0,14.0,0.0
2013-08-11,Guingamp,1.0,0.0,13.0,5.0,9.0,16.0,2.0,0.0,Marseille,3.0,3.0,16.0,7.0,3.0,19.0,4.0,0.0,A,A,0.0,0.0,12.0,13.0,0.0
