Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HFKC,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AFKC,AY,AR,FTR,HTR,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2017-07-28,Brest,2,1,16,5,9,11,1,0,Chateauroux,3,0,9,6,6,13,2,0,A,H,0.0,0.0,5.0,6.0,0
2017-07-28,Nimes,0,0,11,4,6,13,0,0,Reims,1,0,11,6,4,21,2,0,A,D,0.0,0.0,11.0,16.0,0
2017-07-28,Niort,0,0,14,10,5,18,3,0,Ajaccio,0,0,10,4,3,18,3,0,D,D,0.0,0.0,12.0,3.0,1
2017-07-28,Orleans,3,1,10,4,1,14,2,0,Nancy,1,1,8,2,1,15,2,0,H,D,0.0,0.0,13.0,12.0,2
2017-07-28,Paris FC,0,0,19,7,8,2,2,0,Clermont,0,0,6,2,6,3,0,0,D,D,0.0,0.0,13.0,9.0,1
2017-07-28,Sochaux,2,1,14,3,6,16,1,0,Bourg Peronnas,0,0,4,1,6,17,3,0,H,H,0.0,0.0,15.0,10.0,2
2017-07-28,Tours,0,0,4,1,3,12,2,0,Le Havre,3,1,16,9,4,20,2,0,A,A,0.0,0.0,15.0,11.0,0
2017-07-28,Valenciennes,1,0,8,3,5,18,0,0,Ajaccio GFCO,1,1,16,10,4,19,2,0,D,A,0.0,0.0,15.0,10.0,1
2017-07-29,Lorient,1,0,23,9,10,18,3,0,Quevilly Rouen,1,1,9,3,1,13,1,0,D,A,0.0,0.0,14.0,15.0,1
2017-07-31,Auxerre,1,0,12,6,2,18,3,0,Lens,0,0,13,5,6,11,2,0,H,D,0.0,0.0,14.0,15.0,2
2017-08-04,Quevilly Rouen,1,0,11,8,11,15,0,0,Sochaux,1,0,14,5,6,18,1,0,D,D,1.0,3.0,9.0,3.0,1
2017-08-04,Nancy,0,0,4,1,6,13,1,1,Niort,0,0,7,2,3,14,2,0,D,D,0.0,1.0,18.0,13.0,1
2017-08-04,Lens,1,1,7,4,2,19,4,0,Nimes,2,0,17,7,4,14,2,0,A,H,0.0,0.0,17.0,18.0,0
2017-08-04,Le Havre,4,0,13,4,5,8,1,0,Auxerre,1,1,6,3,1,14,6,2,H,A,3.0,3.0,2.0,5.0,2
2017-08-04,Ajaccio GFCO,0,0,7,2,4,11,1,0,Lorient,0,0,13,5,7,18,2,0,D,D,1.0,1.0,10.0,11.0,1
2017-08-04,Chateauroux,0,0,10,6,4,16,1,0,Valenciennes,1,0,10,4,7,14,1,0,A,D,3.0,1.0,4.0,12.0,0
2017-08-04,Bourg Peronnas,1,0,6,2,2,23,3,1,Paris FC,2,2,13,5,8,22,2,0,A,A,0.0,1.0,19.0,15.0,0
2017-08-04,Ajaccio,2,1,11,7,3,9,2,0,Brest,1,0,4,2,5,18,3,1,H,H,1.0,0.0,14.0,17.0,2
2017-08-04,Clermont,2,0,15,8,4,16,2,0,Tours,0,0,11,5,6,10,0,0,H,D,1.0,0.0,15.0,20.0,2
2017-08-05,Reims,2,1,10,5,4,15,3,0,Orleans,0,0,4,2,3,18,3,0,H,H,3.0,3.0,8.0,7.0,2
2017-08-11,Tours,0,0,4,4,2,20,1,0,Reims,1,0,13,8,10,18,2,0,A,D,0.0,6.0,20.0,2.0,0
2017-08-11,Valenciennes,0,0,11,4,2,13,1,0,Clermont,0,0,16,3,3,8,2,0,D,D,4.0,4.0,7.0,4.0,1
2017-08-11,Quevilly Rouen,1,0,12,8,6,15,4,0,Bourg Peronnas,4,1,8,6,1,24,2,0,A,A,2.0,0.0,12.0,19.0,0
2017-08-11,Niort,2,0,7,2,4,11,1,0,Auxerre,0,0,8,3,6,13,2,0,H,D,2.0,3.0,15.0,12.0,2
2017-08-11,Orleans,0,0,15,6,8,19,2,0,Ajaccio,0,0,5,1,2,17,5,0,D,D,3.0,4.0,11.0,7.0,1
2017-08-11,Brest,0,0,12,4,7,17,2,0,Ajaccio GFCO,0,0,4,3,2,21,3,0,D,D,0.0,2.0,18.0,14.0,1
2017-08-11,Paris FC,0,0,8,4,9,13,0,0,Le Havre,3,1,11,6,4,18,0,0,A,A,4.0,6.0,8.0,2.0,0
2017-08-12,Sochaux,3,1,17,9,2,27,4,0,Lens,2,0,19,11,4,12,2,0,H,H,4.0,0.0,7.0,19.0,2
2017-08-14,Lorient,3,0,14,4,8,10,0,0,Chateauroux,0,0,13,6,11,18,2,0,H,D,2.0,3.0,15.0,11.0,2
2017-08-14,Nimes,0,0,19,6,3,16,2,0,Nancy,0,0,5,1,3,20,2,0,D,D,3.0,1.0,12.0,18.0,1
2017-08-18,Reims,3,0,14,7,8,23,2,0,Bourg Peronnas,0,0,5,2,7,12,0,0,H,D,9.0,3.0,2.0,12.0,2
2017-08-18,Niort,2,1,9,5,7,19,4,0,Tours,1,0,7,3,2,21,3,0,H,H,5.0,0.0,6.0,20.0,2
2017-08-18,Nancy,2,2,7,3,3,14,0,0,Sochaux,2,1,9,6,8,15,3,0,D,H,2.0,7.0,16.0,4.0,1
2017-08-18,Le Havre,1,0,14,3,10,17,1,0,Valenciennes,0,0,3,1,5,16,4,0,H,D,9.0,5.0,2.0,8.0,2
2017-08-18,Clermont,0,0,14,7,9,14,2,0,Lorient,2,0,10,6,5,17,3,0,A,D,5.0,5.0,6.0,5.0,0
2017-08-18,Ajaccio GFCO,1,0,15,6,6,15,1,0,Quevilly Rouen,0,0,2,1,0,19,2,0,H,D,3.0,2.0,12.0,17.0,2
2017-08-18,Ajaccio,2,0,5,3,0,18,1,0,Paris FC,0,0,8,6,7,15,4,1,H,D,5.0,4.0,7.0,12.0,2
2017-08-18,Auxerre,1,1,14,5,8,13,0,0,Orleans,3,2,10,8,5,17,2,0,A,A,3.0,4.0,16.0,10.0,0
2017-08-19,Lens,2,1,11,7,1,8,0,0,Brest,4,1,12,8,9,18,1,0,A,D,0.0,1.0,19.0,18.0,0
2017-08-21,Chateauroux,1,0,12,6,3,22,6,1,Nimes,0,0,12,2,6,18,2,0,H,D,3.0,4.0,16.0,12.0,2
2017-08-25,Sochaux,1,0,6,1,9,14,2,1,Chateauroux,5,3,15,10,6,13,2,0,A,A,8.0,6.0,4.0,9.0,0
2017-08-25,Valenciennes,4,3,14,7,2,17,0,0,Niort,1,0,15,10,11,18,2,0,H,H,5.0,8.0,11.0,6.0,2
2017-08-25,Quevilly Rouen,0,0,8,4,6,13,2,0,Clermont,2,2,12,8,8,16,2,0,A,A,2.0,5.0,18.0,11.0,0
2017-08-25,Tours,1,0,23,11,13,9,2,0,Ajaccio,3,2,10,6,4,14,2,0,A,A,0.0,8.0,20.0,6.0,0
2017-08-25,Nimes,1,1,10,4,6,11,1,0,Le Havre,0,0,7,1,2,14,3,0,H,H,4.0,12.0,13.0,1.0,2
2017-08-25,Brest,2,0,12,5,14,15,1,0,Nancy,1,1,12,3,2,9,4,1,H,A,4.0,3.0,13.0,15.0,2
2017-08-25,Paris FC,2,1,8,3,5,18,2,0,Auxerre,1,0,7,4,3,15,2,0,H,H,4.0,3.0,14.0,17.0,2
2017-08-25,Bourg Peronnas,2,0,11,4,3,22,1,0,Ajaccio GFCO,0,0,11,3,3,17,3,0,H,D,3.0,6.0,15.0,14.0,2
2017-08-26,Lorient,2,1,13,7,11,13,1,0,Reims,1,1,13,3,4,14,2,0,H,D,8.0,12.0,5.0,2.0,2
2017-08-28,Orleans,2,2,6,2,3,12,1,0,Lens,0,0,8,2,4,13,1,0,H,H,7.0,0.0,10.0,19.0,2
2017-09-08,Niort,0,0,6,2,2,17,2,1,Paris FC,2,2,16,6,6,20,1,0,A,A,8.0,7.0,9.0,13.0,0
2017-09-08,Nancy,3,0,11,6,5,17,1,0,Valenciennes,0,0,10,5,6,16,3,0,H,D,3.0,8.0,16.0,8.0,2
2017-09-08,Le Havre,1,0,8,2,6,14,1,0,Orleans,1,1,10,4,10,17,2,0,D,A,12.0,10.0,1.0,5.0,1
2017-09-08,Clermont,4,1,17,10,6,17,1,0,Bourg Peronnas,1,0,7,5,4,20,3,0,H,H,8.0,6.0,8.0,15.0,2
2017-09-08,Chateauroux,3,2,11,10,3,19,0,0,Quevilly Rouen,2,0,12,9,10,16,1,0,H,H,9.0,2.0,8.0,18.0,2
2017-09-08,Auxerre,1,1,10,4,6,22,1,0,Tours,1,1,8,5,2,13,4,1,D,D,3.0,0.0,17.0,20.0,1
2017-09-08,Ajaccio GFCO,0,0,10,3,4,18,1,0,Sochaux,1,0,18,7,4,18,3,0,A,D,6.0,8.0,15.0,10.0,0
2017-09-08,Ajaccio,1,1,9,5,6,16,2,0,Nimes,4,2,9,7,6,12,3,0,A,A,11.0,7.0,6.0,13.0,0
2017-09-09,Lens,2,1,6,5,7,21,5,1,Lorient,3,1,9,7,4,11,4,0,A,D,0.0,11.0,20.0,4.0,0
2017-09-11,Reims,0,0,16,6,7,18,0,0,Brest,1,0,2,1,1,19,3,0,A,D,12.0,7.0,3.0,13.0,0
2017-09-15,Quevilly Rouen,2,0,7,4,5,11,2,0,Nancy,0,0,7,6,5,14,1,0,H,D,2.0,6.0,18.0,14.0,2
2017-09-15,Paris FC,2,1,5,3,6,19,1,0,Tours,0,0,7,3,4,14,1,0,H,H,10.0,1.0,11.0,19.0,2
2017-09-15,Orleans,3,2,6,5,4,28,1,0,Niort,1,0,11,3,8,11,2,0,H,H,11.0,8.0,7.0,13.0,2
2017-09-15,Nimes,3,0,13,10,6,14,2,0,Auxerre,0,0,3,1,3,18,4,1,H,D,10.0,4.0,10.0,18.0,2
2017-09-15,Valenciennes,1,0,6,1,6,22,3,0,Lens,0,0,5,1,5,25,3,0,H,D,8.0,0.0,12.0,20.0,2
2017-09-15,Brest,1,0,14,6,11,14,1,0,Le Havre,0,0,11,0,2,13,0,0,H,D,10.0,13.0,12.0,3.0,2
2017-09-15,Bourg Peronnas,3,3,8,6,7,22,2,0,Chateauroux,0,0,15,7,6,13,0,0,H,H,6.0,12.0,16.0,8.0,2
