Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,FTR,HTR,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2006-08-11,Burghausen,0,0,23,11,6,16,1,0,Karlsruhe,4,1,18,13,3,14,1,0,A,A,0.0,0.0,3.0,13.0,0
2006-08-11,Kaiserslautern,1,1,14,8,3,29,3,0,Essen,0,0,12,7,7,17,3,0,H,H,0.0,0.0,12.0,7.0,2
2006-08-11,Offenbach,2,2,10,6,4,27,2,0,CZ Jena,2,0,17,13,5,21,3,0,D,H,0.0,0.0,14.0,5.0,1
2006-08-13,Braunschweig,0,0,8,4,4,19,2,0,Paderborn,0,0,8,3,2,25,3,0,D,D,0.0,0.0,6.0,15.0,1
2006-08-13,Duisburg,2,1,14,10,4,32,3,0,Koblenz,1,0,8,4,6,29,3,0,H,H,0.0,0.0,8.0,14.0,2
2006-08-13,Erzgebirge Aue,1,0,10,9,5,29,2,0,Unterhaching,0,0,7,2,6,12,2,0,H,D,0.0,0.0,9.0,15.0,2
2006-08-13,Freiburg,0,0,20,10,6,19,2,0,Hansa Rostock,0,0,5,1,6,23,1,1,D,D,0.0,0.0,11.0,13.0,1
2006-08-13,Greuther Furth,1,0,11,6,2,22,2,0,Munich 1860,1,0,9,4,6,26,2,0,D,D,0.0,0.0,13.0,14.0,1
2006-08-14,Augsburg,0,0,15,5,8,6,0,0,FC Koln,2,1,11,6,6,18,3,0,A,A,0.0,0.0,13.0,14.0,0
2006-08-18,Munich 1860,3,0,12,5,3,26,4,0,Offenbach,0,0,9,5,3,17,2,0,H,D,1.0,1.0,9.0,7.0,2
2006-08-18,CZ Jena,0,0,13,6,2,24,3,0,Braunschweig,0,0,10,4,6,20,4,0,D,D,1.0,1.0,7.0,9.0,1
2006-08-18,Hansa Rostock,1,1,12,5,8,25,2,0,Erzgebirge Aue,0,0,10,5,2,19,1,0,H,H,1.0,3.0,11.0,5.0,2
2006-08-20,Essen,2,1,11,5,2,22,3,0,Freiburg,0,0,15,3,10,28,2,0,H,H,0.0,1.0,15.0,11.0,2
2006-08-20,FC Koln,5,3,24,13,8,17,0,0,Burghausen,1,0,9,3,5,18,3,0,H,H,3.0,0.0,4.0,18.0,2
2006-08-20,Koblenz,1,0,11,5,5,19,1,0,Greuther Furth,0,0,5,1,2,23,0,0,H,D,0.0,1.0,15.0,11.0,2
2006-08-20,Paderborn,1,0,11,7,11,11,0,0,Augsburg,0,0,9,5,2,13,1,0,H,D,1.0,0.0,12.0,17.0,2
2006-08-20,Unterhaching,0,0,9,4,10,11,0,0,Duisburg,1,1,15,6,7,25,4,0,A,A,0.0,3.0,16.0,6.0,0
2006-08-21,Karlsruhe,2,1,16,6,6,21,1,0,Kaiserslautern,0,0,17,11,7,22,4,1,H,H,3.0,3.0,6.0,8.0,2
2006-08-25,Offenbach,0,0,24,9,5,14,1,0,Karlsruhe,1,1,13,7,6,21,2,0,A,A,1.0,6.0,15.0,2.0,0
2006-08-25,CZ Jena,3,2,11,11,3,20,0,0,FC Koln,2,2,16,11,5,29,1,0,H,D,2.0,6.0,11.0,2.0,2
2006-08-25,Freiburg,1,0,26,15,11,18,2,0,Unterhaching,1,0,6,3,1,22,1,0,D,D,1.0,0.0,14.0,16.0,1
2006-08-27,Augsburg,0,0,14,5,9,17,2,0,Essen,0,0,9,6,2,6,0,0,D,D,0.0,3.0,17.0,8.0,1
2006-08-27,Braunschweig,0,0,14,6,4,13,2,0,Koblenz,2,0,16,9,3,19,1,0,A,D,2.0,3.0,12.0,9.0,0
2006-08-27,Duisburg,4,2,24,17,4,27,2,0,Erzgebirge Aue,2,1,11,8,3,25,2,0,H,H,6.0,3.0,4.0,10.0,2
2006-08-27,Greuther Furth,1,1,14,5,2,28,1,0,Hansa Rostock,3,1,16,11,4,18,4,0,A,D,1.0,4.0,14.0,8.0,0
2006-08-27,Kaiserslautern,2,2,26,13,3,18,0,0,Paderborn,0,0,15,8,4,21,3,0,H,H,3.0,4.0,10.0,9.0,2
2006-08-28,Burghausen,0,0,8,6,1,16,2,0,Munich 1860,2,1,13,12,5,12,0,0,A,A,0.0,4.0,18.0,8.0,0
2006-09-15,FC Koln,4,2,22,16,6,20,2,0,Braunschweig,1,1,8,5,3,11,3,0,H,H,6.0,2.0,5.0,13.0,2
2006-09-15,Essen,4,2,18,12,5,17,1,0,CZ Jena,4,1,13,8,4,28,3,0,D,H,4.0,5.0,9.0,8.0,1
2006-09-15,Unterhaching,0,0,12,8,2,18,3,0,Augsburg,1,0,19,11,4,20,1,0,A,D,1.0,1.0,14.0,16.0,0
2006-09-17,Erzgebirge Aue,0,0,12,3,5,26,4,0,Greuther Furth,3,2,24,10,5,26,1,0,A,A,3.0,1.0,12.0,15.0,0
2006-09-17,Karlsruhe,3,1,15,6,5,17,4,0,Duisburg,3,1,15,9,4,31,5,1,D,D,9.0,9.0,2.0,3.0,1
2006-09-17,Koblenz,1,1,8,5,6,21,2,0,Burghausen,2,0,10,6,4,12,2,0,A,H,6.0,0.0,6.0,18.0,0
2006-09-17,Munich 1860,1,0,24,14,6,24,1,0,Freiburg,1,0,12,6,4,10,1,0,D,D,7.0,2.0,4.0,15.0,1
2006-09-17,Paderborn,2,1,10,8,3,27,3,0,Offenbach,1,1,9,3,7,19,1,0,H,D,4.0,1.0,11.0,18.0,2
2006-09-18,Hansa Rostock,2,1,19,10,4,11,0,0,Kaiserslautern,0,0,18,9,7,20,1,1,H,H,7.0,6.0,5.0,9.0,2
2006-09-22,Freiburg,3,1,20,10,9,14,1,0,Greuther Furth,3,2,14,6,6,21,1,1,D,A,3.0,4.0,13.0,11.0,1
2006-09-22,Kaiserslautern,4,0,26,18,8,21,1,0,Koblenz,3,2,17,11,1,29,2,0,H,A,6.0,6.0,9.0,8.0,2
2006-09-22,Braunschweig,2,0,17,8,8,22,4,0,Karlsruhe,2,0,11,8,1,19,4,1,D,D,2.0,10.0,16.0,1.0,1
2006-09-24,Augsburg,1,0,9,4,4,26,3,0,Hansa Rostock,1,0,5,3,0,16,2,0,D,D,4.0,10.0,13.0,2.0,1
2006-09-24,Burghausen,1,1,14,7,7,19,4,0,Erzgebirge Aue,1,0,13,6,8,17,2,0,D,H,3.0,3.0,16.0,15.0,1
2006-09-24,CZ Jena,1,0,20,10,6,22,3,0,Paderborn,1,0,11,9,3,26,3,0,D,D,6.0,7.0,8.0,7.0,1
2006-09-24,Duisburg,0,0,14,6,7,21,3,0,Munich 1860,0,0,8,5,3,24,2,0,D,D,10.0,8.0,3.0,6.0,1
2006-09-24,Offenbach,1,1,11,5,5,20,3,0,Unterhaching,1,1,8,6,7,21,2,0,D,D,1.0,1.0,18.0,17.0,1
