Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,FTR,HTR,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2014-08-22,Bayern Munich,2,1,17,10,9,5,0,0,Wolfsburg,1,0,9,4,3,9,2,0,H,H,0.0,0.0,2.0,18.0,2
2014-08-23,Dortmund,0,0,11,4,8,13,1,0,Leverkusen,2,1,11,2,4,28,2,0,A,A,0.0,0.0,3.0,11.0,0
2014-08-23,Ein Frankfurt,1,1,10,3,6,17,1,0,Freiburg,0,0,13,7,5,22,3,0,H,H,0.0,0.0,4.0,6.0,2
2014-08-23,FC Koln,0,0,10,3,3,23,2,0,Hamburg,0,0,19,4,6,16,2,0,D,D,0.0,0.0,5.0,6.0,1
2014-08-23,Hannover,2,0,8,3,2,12,2,0,Schalke 04,1,0,12,5,4,15,1,0,H,D,0.0,0.0,7.0,13.0,2
2014-08-23,Hertha,2,1,19,5,9,17,1,0,Werder Bremen,2,0,9,5,5,18,2,0,D,H,0.0,0.0,8.0,14.0,1
2014-08-23,Hoffenheim,2,2,10,3,7,19,2,0,Augsburg,0,0,12,2,3,15,3,0,H,H,0.0,0.0,10.0,9.0,2
2014-08-24,Paderborn,2,1,10,3,4,16,2,0,Mainz,2,1,14,4,3,14,2,0,D,D,0.0,0.0,12.0,11.0,1
2014-08-24,M'gladbach,1,0,19,6,6,8,2,0,Stuttgart,1,0,7,3,3,16,1,0,D,D,0.0,0.0,12.0,13.0,1
2014-08-29,Augsburg,2,0,12,3,3,9,2,0,Dortmund,3,2,22,9,6,12,3,0,A,A,0.0,0.0,17.0,18.0,0
2014-08-30,Hamburg,0,0,13,4,8,16,0,0,Paderborn,3,1,15,7,3,16,0,0,A,A,1.0,1.0,14.0,9.0,0
2014-08-30,Leverkusen,4,0,21,7,5,11,0,0,Hertha,2,1,3,1,6,20,1,0,H,A,3.0,1.0,3.0,8.0,2
2014-08-30,Schalke 04,1,0,8,4,1,15,4,0,Bayern Munich,1,1,10,4,3,15,1,0,D,A,0.0,3.0,15.0,4.0,1
2014-08-30,Stuttgart,0,0,14,5,7,11,1,0,FC Koln,2,2,10,4,4,11,2,0,A,A,1.0,1.0,11.0,12.0,0
2014-08-30,Werder Bremen,1,0,15,1,6,20,3,0,Hoffenheim,1,1,12,1,6,13,0,0,D,A,1.0,3.0,10.0,5.0,1
2014-08-30,Wolfsburg,2,1,14,11,4,19,3,0,Ein Frankfurt,2,1,9,4,3,11,1,0,D,D,0.0,3.0,16.0,7.0,1
2014-08-31,Freiburg,0,0,17,4,4,11,1,0,M'gladbach,0,0,9,3,5,13,2,0,D,D,0.0,1.0,17.0,11.0,1
2014-08-31,Mainz,0,0,14,2,4,12,0,0,Hannover,0,0,11,6,2,14,1,0,D,D,1.0,3.0,11.0,7.0,1
2014-09-12,Leverkusen,3,1,26,9,6,14,4,0,Werder Bremen,3,1,8,5,4,20,2,0,D,D,6.0,2.0,1.0,9.0,1
2014-09-13,Bayern Munich,2,1,14,8,2,16,1,0,Stuttgart,0,0,7,0,4,18,2,0,H,H,4.0,1.0,5.0,16.0,2
2014-09-13,Dortmund,3,2,15,6,3,10,1,0,Freiburg,1,0,4,3,5,14,4,0,H,H,3.0,1.0,9.0,14.0,2
2014-09-13,Hertha,1,0,17,3,4,21,3,0,Mainz,3,1,7,6,1,20,3,0,A,A,1.0,2.0,14.0,10.0,0
2014-09-13,Hoffenheim,1,0,15,6,4,17,1,0,Wolfsburg,1,0,22,5,7,17,0,1,D,D,4.0,1.0,6.0,12.0,1
2014-09-13,M'gladbach,4,1,23,9,8,15,2,0,Schalke 04,1,0,11,6,2,13,3,0,H,H,2.0,1.0,11.0,13.0,2
2014-09-13,Paderborn,0,0,8,4,5,13,0,0,FC Koln,0,0,4,1,1,18,2,0,D,D,4.0,4.0,7.0,8.0,1
2014-09-14,Ein Frankfurt,0,0,14,5,5,14,3,0,Augsburg,1,0,17,7,6,21,4,0,A,D,4.0,0.0,9.0,18.0,0
2014-09-14,Hannover,2,2,11,4,4,18,3,0,Hamburg,0,0,11,0,2,16,3,0,H,H,4.0,1.0,9.0,15.0,2
2014-09-19,Freiburg,2,1,15,5,7,16,0,0,Hertha,2,1,7,2,6,26,4,1,D,D,1.0,1.0,14.0,15.0,1
2014-09-20,Stuttgart,0,0,17,2,9,17,0,0,Hoffenheim,2,1,10,4,4,21,2,0,A,A,1.0,5.0,17.0,8.0,0
2014-09-20,Schalke 04,2,1,8,3,1,15,1,2,Ein Frankfurt,2,2,15,4,3,15,2,1,D,A,1.0,4.0,16.0,10.0,1
2014-09-20,Paderborn,2,0,17,4,7,11,1,0,Hannover,0,0,14,2,5,13,0,0,H,D,5.0,7.0,7.0,4.0,2
2014-09-20,Augsburg,4,2,19,7,6,13,1,0,Werder Bremen,2,1,13,6,5,20,4,0,H,H,3.0,3.0,12.0,11.0,2
2014-09-20,Hamburg,0,0,4,0,3,22,4,0,Bayern Munich,0,0,15,3,9,11,2,0,D,D,1.0,7.0,17.0,4.0,1
2014-09-20,Mainz,2,0,8,5,1,17,2,0,Dortmund,0,0,20,4,7,18,1,0,H,D,5.0,6.0,9.0,6.0,2
2014-09-21,FC Koln,0,0,10,7,4,15,2,0,M'gladbach,0,0,9,1,3,13,2,0,D,D,5.0,5.0,10.0,9.0,1
2014-09-21,Wolfsburg,4,2,17,9,8,9,1,0,Leverkusen,1,1,12,1,3,12,1,1,H,H,2.0,7.0,13.0,5.0,2
2014-09-23,Werder Bremen,0,0,12,4,6,17,4,0,Schalke 04,3,0,11,4,5,15,3,0,A,D,3.0,2.0,13.0,16.0,0
2014-09-23,Hoffenheim,3,1,18,8,4,20,3,0,Freiburg,3,2,6,4,3,14,3,1,D,A,8.0,2.0,3.0,15.0,1
2014-09-23,Ein Frankfurt,2,1,16,8,9,16,3,0,Mainz,2,2,5,5,3,24,3,0,D,A,5.0,8.0,12.0,3.0,1
2014-09-23,Bayern Munich,4,2,25,9,9,8,0,0,Paderborn,0,0,6,2,3,7,0,0,H,H,8.0,8.0,4.0,3.0,2
2014-09-24,Dortmund,2,0,25,9,5,11,2,0,Stuttgart,2,0,10,5,4,10,2,0,D,D,6.0,1.0,11.0,18.0,1
2014-09-24,Hannover,1,1,9,4,2,9,0,0,FC Koln,0,0,9,3,6,11,2,0,H,H,7.0,6.0,6.0,9.0,2
2014-09-24,Hertha,1,1,3,3,6,15,3,0,Wolfsburg,0,0,13,3,5,10,2,0,H,H,2.0,5.0,16.0,12.0,2
2014-09-24,Leverkusen,1,1,17,3,6,13,3,0,Augsburg,0,0,11,4,7,13,2,0,H,H,7.0,6.0,6.0,10.0,2
2014-09-24,M'gladbach,1,1,20,9,9,19,1,0,Hamburg,0,0,14,1,9,17,1,0,H,H,6.0,2.0,8.0,17.0,2
2014-09-26,Mainz,0,0,10,3,5,13,1,0,Hoffenheim,0,0,13,3,4,25,2,0,D,D,9.0,9.0,5.0,4.0,1
2014-09-27,Wolfsburg,2,1,18,8,8,11,0,0,Werder Bremen,1,1,8,3,5,12,0,0,H,D,5.0,3.0,12.0,16.0,2
2014-09-27,Stuttgart,1,0,12,6,8,16,3,0,Hannover,0,0,12,4,1,16,2,0,H,D,2.0,10.0,17.0,5.0,2
2014-09-27,Schalke 04,2,2,11,6,3,15,1,0,Dortmund,1,1,17,5,9,15,1,0,H,H,5.0,7.0,13.0,9.0,2
2014-09-27,Paderborn,1,0,24,8,9,9,1,0,M'gladbach,2,2,11,4,0,18,1,0,A,A,8.0,9.0,8.0,6.0,0
2014-09-27,Freiburg,0,0,8,3,5,21,2,1,Leverkusen,0,0,16,8,3,24,4,1,D,D,3.0,10.0,16.0,5.0,1
2014-09-27,FC Koln,0,0,8,3,2,6,0,0,Bayern Munich,2,1,21,8,11,6,0,0,A,A,6.0,11.0,11.0,2.0,0
2014-09-28,Augsburg,1,1,8,3,3,18,2,0,Hertha,0,0,10,3,9,20,4,0,H,H,6.0,5.0,12.0,14.0,2
2014-09-28,Hamburg,1,0,14,6,8,21,2,0,Ein Frankfurt,2,1,7,4,3,18,2,0,A,A,2.0,6.0,18.0,12.0,0
2014-10-03,Hertha,3,1,12,9,3,18,2,0,Stuttgart,2,1,9,2,7,15,2,0,H,D,5.0,5.0,14.0,15.0,2
2014-10-04,Werder Bremen,1,1,18,7,10,13,0,0,Freiburg,1,1,7,3,5,14,1,0,D,D,3.0,4.0,17.0,16.0,1
2014-10-04,Leverkusen,2,1,21,10,9,25,3,0,Paderborn,2,1,8,5,2,18,3,1,D,D,11.0,8.0,3.0,11.0,1
2014-10-04,Hoffenheim,2,2,20,8,5,18,3,0,Schalke 04,1,0,13,3,3,16,4,1,H,H,10.0,8.0,4.0,11.0,2
2014-10-04,Ein Frankfurt,3,1,19,8,6,10,1,0,FC Koln,2,1,12,7,2,15,1,0,H,D,9.0,6.0,7.0,14.0,2
2014-10-04,Dortmund,0,0,17,3,8,10,2,0,Hamburg,1,1,10,5,4,19,4,0,A,A,7.0,2.0,13.0,18.0,0
2014-10-04,Bayern Munich,4,3,23,9,11,4,0,0,Hannover,0,0,6,3,1,11,0,0,H,H,14.0,10.0,1.0,7.0,2
2014-10-05,M'gladbach,1,1,18,10,2,12,0,0,Mainz,1,1,8,2,3,12,3,0,D,D,12.0,10.0,3.0,6.0,1
2014-10-05,Wolfsburg,1,0,15,4,4,15,0,0,Augsburg,0,0,7,1,1,13,2,0,H,D,8.0,9.0,10.0,9.0,2
2014-10-18,Stuttgart,3,0,13,6,6,14,3,0,Leverkusen,3,3,17,6,7,19,2,0,D,A,5.0,12.0,16.0,4.0,1
2014-10-18,Schalke 04,2,1,7,3,0,21,1,0,Hertha,0,0,15,4,5,21,1,0,H,H,8.0,8.0,11.0,12.0,2
2014-10-18,Hannover,0,0,11,4,7,15,1,0,M'gladbach,3,1,10,4,2,16,1,0,A,A,10.0,13.0,9.0,3.0,0
2014-10-18,Mainz,2,2,8,6,4,15,3,0,Augsburg,1,0,15,6,6,14,2,0,H,H,11.0,9.0,6.0,11.0,2
2014-10-18,FC Koln,2,1,5,2,3,11,1,0,Dortmund,1,0,16,3,6,14,3,0,H,H,6.0,7.0,14.0,13.0,2
2014-10-18,Bayern Munich,6,4,19,6,10,10,0,0,Werder Bremen,0,0,0,0,0,12,1,0,H,H,17.0,4.0,1.0,18.0,2
2014-10-18,Freiburg,1,0,14,7,6,11,1,0,Wolfsburg,2,1,15,8,2,18,1,0,A,A,5.0,11.0,16.0,7.0,0
2014-10-19,Hamburg,1,1,17,6,5,16,1,0,Hoffenheim,1,1,9,4,2,24,3,0,D,D,5.0,13.0,17.0,5.0,1
2014-10-19,Paderborn,3,0,14,5,3,10,0,0,Ein Frankfurt,1,0,11,3,4,13,1,0,H,D,9.0,12.0,10.0,7.0,2
2014-10-24,Werder Bremen,0,0,11,4,8,19,3,0,FC Koln,1,0,10,4,1,12,0,0,A,D,4.0,9.0,18.0,11.0,0
2014-10-25,Hoffenheim,1,0,19,5,6,14,2,0,Paderborn,0,0,11,1,4,15,3,0,H,D,14.0,12.0,3.0,7.0,2
2014-10-25,Leverkusen,1,0,24,7,8,8,1,1,Schalke 04,0,0,4,1,3,17,4,0,H,D,13.0,11.0,6.0,10.0,2
2014-10-25,Hertha,3,0,15,6,4,15,0,0,Hamburg,0,0,10,3,1,21,2,0,H,D,8.0,6.0,13.0,16.0,2
2014-10-25,Ein Frankfurt,4,1,21,13,3,17,5,1,Stuttgart,5,2,20,10,9,18,3,0,A,A,12.0,6.0,8.0,15.0,0
2014-10-25,Dortmund,0,0,17,4,14,13,3,0,Hannover,1,0,7,3,1,18,4,1,A,D,7.0,10.0,15.0,12.0,0
2014-10-25,Augsburg,2,1,15,4,2,17,3,0,Freiburg,0,0,10,3,5,13,1,0,H,H,9.0,5.0,13.0,17.0,2
2014-10-26,M'gladbach,0,0,11,5,4,8,1,0,Bayern Munich,0,0,20,5,10,11,3,0,D,D,16.0,20.0,3.0,1.0,1
2014-10-26,Wolfsburg,3,1,24,12,10,16,1,0,Mainz,0,0,16,4,3,15,3,0,H,H,14.0,14.0,6.0,5.0,2
2014-10-31,Schalke 04,1,1,13,7,4,10,2,0,Augsburg,0,0,20,5,2,16,2,0,H,H,11.0,12.0,12.0,9.0,2
2014-11-01,Stuttgart,0,0,13,4,4,13,1,0,Wolfsburg,4,2,15,6,6,11,0,0,A,A,9.0,17.0,14.0,3.0,0
2014-11-01,Hannover,1,0,14,3,10,13,2,0,Ein Frankfurt,0,0,6,4,4,20,2,0,H,D,13.0,12.0,8.0,11.0,2
2014-11-01,Mainz,1,1,21,3,8,17,4,0,Werder Bremen,2,1,9,7,1,15,3,0,A,D,14.0,4.0,7.0,18.0,0
2014-11-01,Bayern Munich,2,0,25,14,9,13,1,0,Dortmund,1,1,10,4,2,5,2,0,H,A,21.0,7.0,1.0,15.0,2
2014-11-01,Hamburg,1,1,5,1,1,29,6,0,Leverkusen,0,0,11,2,3,25,3,0,H,H,6.0,16.0,17.0,5.0,2
2014-11-02,FC Koln,0,0,10,3,5,5,1,0,Freiburg,1,0,8,3,2,12,3,0,A,D,12.0,5.0,10.0,18.0,0
2014-11-02,M'gladbach,3,2,13,7,6,15,1,0,Hoffenheim,1,1,15,3,3,12,1,0,H,H,17.0,17.0,3.0,4.0,2
2014-11-02,Paderborn,3,1,18,6,6,14,0,0,Hertha,1,1,10,4,1,27,2,0,H,D,12.0,11.0,9.0,13.0,2
2014-11-07,Hertha,0,0,7,1,4,24,3,0,Hannover,2,1,12,5,7,22,2,0,A,A,11.0,16.0,13.0,6.0,0
2014-11-08,Leverkusen,0,0,24,6,13,17,1,0,Mainz,0,0,6,1,0,20,3,0,D,D,16.0,14.0,6.0,9.0,1
2014-11-08,Werder Bremen,2,1,12,4,4,13,1,0,Stuttgart,0,0,8,1,4,13,1,0,H,H,7.0,9.0,18.0,15.0,2
2014-11-08,Hoffenheim,3,3,22,6,7,15,1,0,FC Koln,4,3,11,7,4,12,2,0,A,D,17.0,12.0,5.0,11.0,0
2014-11-08,Freiburg,2,1,19,9,3,13,1,0,Schalke 04,0,0,11,4,1,13,3,0,H,H,8.0,14.0,17.0,10.0,2
2014-11-08,Ein Frankfurt,0,0,6,2,4,21,2,0,Bayern Munich,4,1,19,9,8,15,1,0,A,A,12.0,24.0,12.0,1.0,0
2014-11-08,Augsburg,3,1,11,4,3,16,2,0,Paderborn,0,0,16,3,6,13,3,0,H,H,12.0,15.0,11.0,7.0,2
2014-11-09,Dortmund,1,0,22,6,7,7,3,0,M'gladbach,0,0,1,0,0,11,2,0,H,D,7.0,20.0,18.0,3.0,2
2014-11-09,Wolfsburg,2,1,13,5,2,12,2,0,Hamburg,0,0,10,2,1,14,3,0,H,H,20.0,9.0,2.0,17.0,2
2014-11-22,Bayern Munich,4,2,17,9,9,16,2,0,Hoffenheim,0,0,11,5,5,17,2,1,H,H,27.0,17.0,1.0,5.0,2
2014-11-22,FC Koln,1,0,12,2,3,11,0,0,Hertha,2,1,10,6,5,14,3,0,A,A,15.0,11.0,10.0,14.0,0
2014-11-22,Hannover,1,0,10,5,2,16,3,0,Leverkusen,3,0,20,4,3,16,1,0,A,D,19.0,17.0,4.0,5.0,0
2014-11-22,Mainz,2,1,11,2,9,15,0,0,Freiburg,2,1,10,3,3,13,1,0,D,D,15.0,11.0,8.0,14.0,1
2014-11-22,M'gladbach,1,1,9,3,8,10,1,1,Ein Frankfurt,3,0,25,13,11,16,3,0,A,H,20.0,12.0,3.0,14.0,0
2014-11-22,Paderborn,2,0,8,4,1,15,3,0,Dortmund,2,2,13,5,6,11,1,0,D,A,15.0,10.0,9.0,15.0,1
2014-11-22,Schalke 04,3,3,9,6,2,10,1,0,Wolfsburg,2,1,17,2,7,16,1,0,H,H,14.0,23.0,12.0,2.0,2
