Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,FTR,HTR,AvgH,AvgD,AvgA,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AvgAHH,AvgAHA,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2023-08-18,Werder Bremen,0,0,6,1,0,16,2,0,Bayern Munich,4,1,25,10,6,11,1,0,A,A,8.5,6.09,1.32,1.37,3.55,1.33,3.34,1.84,2.01,0.0,0.0,17.0,2.0,0
2023-08-19,Augsburg,4,3,20,8,8,9,1,0,M'gladbach,4,3,9,6,7,14,2,0,D,D,2.72,3.69,2.47,1.66,2.43,1.61,2.34,2.02,1.84,0.0,0.0,2.0,12.0,1
2023-08-19,Hoffenheim,1,0,24,5,4,9,0,0,Freiburg,2,2,17,8,2,9,1,0,A,A,2.35,3.63,2.94,1.71,2.32,1.66,2.24,2.03,1.82,0.0,0.0,11.0,9.0,0
2023-08-19,Leverkusen,3,2,11,7,4,13,1,0,RB Leipzig,2,1,13,6,5,10,2,0,H,H,2.47,3.62,2.78,1.77,2.28,1.68,2.2,1.82,2.05,0.0,0.0,11.0,13.0,2
2023-08-19,Stuttgart,5,2,19,9,7,5,1,0,Bochum,0,0,4,1,0,12,1,0,H,H,1.69,4.17,4.69,1.71,2.38,1.64,2.29,1.86,1.98,0.0,0.0,13.0,6.0,2
2023-08-19,Wolfsburg,2,2,18,8,1,10,3,0,Heidenheim,0,0,13,1,7,9,0,0,H,H,1.62,4.31,5.19,1.66,2.44,1.61,2.34,2.01,1.84,0.0,0.0,14.0,11.0,2
2023-08-19,Dortmund,1,0,12,2,6,13,1,0,FC Koln,0,0,11,4,3,11,0,0,H,D,1.4,5.21,7.24,1.45,3.0,1.43,2.83,1.82,2.03,0.0,0.0,9.0,11.0,2
2023-08-20,Union Berlin,4,2,12,7,3,15,1,0,Mainz,1,0,9,3,1,16,5,0,H,H,2.01,3.45,3.92,2.16,1.82,2.1,1.75,2.01,1.85,0.0,0.0,12.0,11.0,2
2023-08-20,Ein Frankfurt,1,1,10,4,7,9,2,0,Darmstadt,0,0,11,2,3,14,3,0,H,H,1.39,5.12,7.82,1.71,2.33,1.67,2.23,1.85,2.0,0.0,0.0,11.0,10.0,2
2023-08-25,RB Leipzig,5,0,20,11,4,12,1,0,Stuttgart,1,1,8,3,4,10,1,0,H,A,1.51,4.71,6.09,1.57,2.63,1.54,2.49,1.81,2.06,0.0,3.0,11.0,1.0,2
2023-08-26,M'gladbach,0,0,13,2,5,7,2,0,Leverkusen,3,2,24,10,8,8,3,0,A,A,3.68,4.1,1.91,1.52,2.72,1.49,2.63,1.95,1.9,1.0,3.0,11.0,6.0,0
2023-08-26,Heidenheim,2,1,19,9,10,13,1,0,Hoffenheim,3,0,16,6,6,9,5,0,A,H,2.98,3.73,2.3,1.71,2.34,1.67,2.25,1.86,1.98,0.0,0.0,15.0,12.0,0
2023-08-26,Freiburg,1,0,23,6,5,9,2,0,Werder Bremen,0,0,16,2,5,8,2,0,H,D,1.71,4.06,4.75,1.73,2.31,1.68,2.22,1.89,1.96,3.0,0.0,7.0,17.0,2
2023-08-26,Bochum,1,1,17,6,5,21,2,0,Dortmund,1,0,13,3,4,7,1,0,D,H,6.72,5.29,1.42,1.39,3.3,1.36,3.17,1.81,2.05,0.0,3.0,17.0,8.0,1
2023-08-26,Darmstadt,1,1,18,6,3,15,2,0,Union Berlin,4,3,12,6,5,12,2,1,A,A,3.88,3.44,2.03,2.17,1.82,2.08,1.77,1.84,2.02,0.0,3.0,14.0,6.0,0
2023-08-26,FC Koln,1,0,14,2,6,6,1,0,Wolfsburg,2,0,9,6,1,10,5,0,A,D,2.36,3.56,2.98,1.82,2.2,1.75,2.09,2.02,1.83,0.0,3.0,14.0,7.0,0
2023-08-27,Mainz,1,1,13,7,5,23,3,0,Ein Frankfurt,1,0,8,2,4,12,4,1,D,H,2.43,3.63,2.83,1.78,2.25,1.71,2.17,2.07,1.79,0.0,3.0,16.0,9.0,1
2023-08-27,Bayern Munich,3,2,19,6,10,13,1,0,Augsburg,1,0,11,2,4,8,2,0,H,H,1.08,12.99,24.71,1.21,5.4,1.19,4.78,2.02,1.82,3.0,1.0,7.0,11.0,2
2023-09-01,Dortmund,2,2,20,9,3,9,3,0,Heidenheim,2,0,15,6,6,22,3,0,D,H,1.25,6.82,10.4,1.37,3.6,1.33,3.34,1.85,2.01,4.0,0.0,6.0,16.0,1
2023-09-02,Werder Bremen,4,1,12,6,1,18,2,0,Mainz,0,0,12,3,7,14,2,0,H,H,2.7,3.57,2.55,1.79,2.2,1.74,2.12,1.99,1.87,0.0,1.0,18.0,14.0,2
2023-09-02,M'gladbach,1,1,8,3,1,5,0,0,Bayern Munich,2,0,25,9,15,20,2,0,A,H,8.28,6.34,1.31,1.25,4.42,1.24,4.09,1.92,1.92,1.0,6.0,14.0,2.0,0
2023-09-02,Stuttgart,5,3,13,6,2,9,1,0,Freiburg,0,0,11,5,4,10,1,0,H,H,2.18,3.68,3.2,1.79,2.3,1.72,2.15,1.89,1.96,3.0,6.0,9.0,5.0,2
2023-09-02,Augsburg,2,1,11,3,3,15,2,0,Bochum,2,1,22,9,5,13,2,0,D,D,2.03,3.7,3.56,1.8,2.2,1.73,2.14,2.02,1.83,1.0,1.0,12.0,15.0,1
2023-09-02,Hoffenheim,3,1,11,5,3,12,2,0,Wolfsburg,1,1,14,7,3,15,2,0,H,D,2.47,3.77,2.67,1.57,2.57,1.53,2.51,1.86,2.0,3.0,6.0,10.0,5.0,2
2023-09-02,Leverkusen,5,1,24,13,4,8,3,0,Darmstadt,1,1,5,1,2,11,2,0,H,D,1.2,7.3,13.64,1.44,3.02,1.41,2.9,1.91,1.93,6.0,0.0,4.0,18.0,2
2023-09-03,Ein Frankfurt,1,0,12,4,8,10,1,0,FC Koln,1,1,6,2,1,10,3,0,D,A,2.13,3.49,3.49,1.99,1.95,1.94,1.89,1.82,2.02,4.0,0.0,9.0,17.0,1
2023-09-03,Union Berlin,0,0,4,1,3,16,3,1,RB Leipzig,3,0,15,8,7,9,1,0,A,D,3.22,3.45,2.26,1.99,1.97,1.94,1.89,1.9,1.93,6.0,3.0,4.0,10.0,0
2023-09-15,Bayern Munich,2,1,15,9,7,6,0,0,Leverkusen,2,1,12,5,4,6,3,0,D,D,1.62,4.66,4.76,1.41,3.2,1.37,3.09,2.0,1.86,9.0,9.0,2.0,1.0,1
2023-09-16,Bochum,1,0,24,10,8,13,3,0,Ein Frankfurt,1,0,8,6,2,14,2,0,D,D,2.93,3.63,2.35,1.79,2.25,1.72,2.15,1.82,2.02,2.0,5.0,13.0,10.0,1
2023-09-16,Wolfsburg,2,2,8,3,3,6,1,0,Union Berlin,1,1,17,5,7,8,0,0,H,H,2.26,3.47,3.22,1.99,1.95,1.94,1.9,1.93,1.91,6.0,6.0,7.0,5.0,2
2023-09-16,RB Leipzig,3,3,9,6,1,16,0,0,Augsburg,0,0,16,4,6,12,0,0,H,H,1.23,6.98,11.49,1.4,3.22,1.37,3.1,2.03,1.82,6.0,2.0,5.0,13.0,2
2023-09-16,Freiburg,2,2,14,4,6,12,2,1,Dortmund,4,1,14,6,8,16,3,0,A,H,3.16,3.84,2.15,1.53,2.7,1.51,2.58,1.97,1.86,6.0,5.0,9.0,10.0,0
2023-09-16,FC Koln,1,0,17,7,13,15,4,1,Hoffenheim,3,2,17,5,4,14,4,0,A,A,2.22,3.78,3.05,1.66,2.45,1.61,2.35,1.93,1.91,1.0,6.0,14.0,8.0,0
2023-09-16,Mainz,1,0,15,3,6,12,1,0,Stuttgart,3,0,16,6,4,9,2,0,A,D,2.55,3.65,2.66,1.76,2.3,1.69,2.2,1.9,1.96,1.0,6.0,17.0,7.0,0
2023-09-17,Heidenheim,4,2,19,4,10,21,1,0,Werder Bremen,2,0,11,4,1,9,1,0,H,H,2.35,3.79,2.83,1.69,2.36,1.64,2.29,2.03,1.82,1.0,3.0,14.0,11.0,2
2023-09-17,Darmstadt,3,3,15,8,6,12,1,1,M'gladbach,3,0,21,10,6,8,1,0,D,H,2.96,3.61,2.34,1.85,2.11,1.78,2.06,1.83,2.0,0.0,1.0,18.0,15.0,1
2023-09-22,Stuttgart,3,2,18,11,5,7,1,0,Darmstadt,1,1,3,0,4,12,6,0,H,H,1.38,5.14,7.89,1.6,2.7,1.56,2.47,2.04,1.81,9.0,1.0,4.0,17.0,2
2023-09-23,Union Berlin,0,0,22,6,11,11,1,0,Hoffenheim,2,2,11,4,6,13,3,0,A,A,2.12,3.67,3.36,1.83,2.12,1.79,2.05,1.83,2.01,6.0,9.0,8.0,5.0,0
2023-09-23,Werder Bremen,2,1,17,6,9,18,2,0,FC Koln,1,1,13,5,8,16,1,0,H,D,2.54,3.62,2.68,1.74,2.25,1.71,2.17,1.87,1.99,3.0,1.0,12.0,16.0,2
2023-09-23,M'gladbach,0,0,13,1,11,14,1,0,RB Leipzig,1,0,8,4,6,7,1,0,A,D,5.07,4.69,1.58,1.42,3.12,1.4,2.96,1.93,1.92,2.0,9.0,14.0,5.0,0
2023-09-23,Augsburg,2,2,6,3,3,16,2,1,Mainz,1,1,13,3,4,14,3,0,H,H,2.59,3.63,2.62,1.72,2.31,1.68,2.22,1.91,1.95,2.0,1.0,15.0,17.0,2
2023-09-23,Bayern Munich,7,4,26,16,8,8,0,0,Bochum,0,0,4,1,1,10,1,0,H,H,1.1,11.34,20.92,1.23,4.8,1.21,4.41,1.98,1.86,10.0,3.0,5.0,14.0,2
