Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,Referee,FTR,HTR,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2005-08-27,Fiorentina,2,2,15.0,9.0,9.0,18.0,1,0,Sampdoria,1,0,9.0,4.0,3.0,23.0,4,0,G. Paparesta,H,H,0.0,0.0,5.0,17.0,2
2005-08-27,Livorno,2,1,17.0,7.0,9.0,27.0,2,0,Lecce,1,1,6.0,5.0,2.0,21.0,3,0,G. Rocchi,H,D,0.0,0.0,10.0,9.0,2
2005-08-28,Ascoli,1,0,8.0,3.0,0.0,22.0,2,0,Milan,1,0,16.0,9.0,5.0,16.0,1,0,M. De Santis,D,D,0.0,0.0,3.0,11.0,1
2005-08-28,Inter,3,1,16.0,9.0,6.0,13.0,1,0,Treviso,0,0,7.0,3.0,1.0,20.0,3,0,P. Tagliavento,H,H,0.0,0.0,8.0,17.0,2
2005-08-28,Juventus,1,1,16.0,7.0,6.0,16.0,1,0,Chievo,0,0,2.0,0.0,2.0,12.0,2,0,M. Trefoloni,H,H,0.0,0.0,9.0,7.0,2
2005-08-28,Lazio,1,1,7.0,4.0,6.0,18.0,3,0,Messina,0,0,16.0,7.0,10.0,20.0,1,0,P. Dondarini,H,H,0.0,0.0,9.0,10.0,2
2005-08-28,Parma,1,0,8.0,3.0,3.0,18.0,3,0,Palermo,1,1,14.0,9.0,8.0,9.0,0,0,T. Pieri,D,A,0.0,0.0,11.0,10.0,1
2005-08-28,Reggina,0,0,5.0,3.0,2.0,19.0,0,1,Roma,3,1,13.0,9.0,4.0,18.0,0,0,R. Rosetti,A,A,0.0,0.0,12.0,13.0,0
2005-08-28,Siena,2,1,10.0,6.0,4.0,21.0,2,1,Cagliari,1,1,9.0,6.0,4.0,19.0,2,0,C. Brighi,H,D,0.0,0.0,13.0,11.0,2
2005-08-28,Udinese,1,1,12.0,8.0,6.0,20.0,2,0,Empoli,0,0,8.0,4.0,5.0,12.0,1,0,A. De Marco,H,H,0.0,0.0,13.0,12.0,2
2005-09-10,Milan,3,2,21.0,11.0,3.0,7.0,1,0,Siena,1,1,7.0,3.0,4.0,16.0,2,0,S. Farina,H,H,1.0,3.0,10.0,5.0,2
2005-09-10,Palermo,3,1,24.0,13.0,9.0,15.0,2,0,Inter,2,0,15.0,6.0,6.0,14.0,1,0,G. Paparesta,H,H,1.0,3.0,11.0,2.0,2
2005-09-11,Treviso,0,0,4.0,2.0,3.0,14.0,3,0,Livorno,1,0,7.0,4.0,6.0,19.0,2,0,M. Saccani,A,D,0.0,3.0,20.0,6.0,0
2005-09-11,Sampdoria,3,1,16.0,7.0,5.0,22.0,1,0,Reggina,2,1,11.0,7.0,5.0,24.0,3,1,L. Palanca,H,D,0.0,0.0,15.0,19.0,2
2005-09-11,Roma,0,0,13.0,4.0,7.0,15.0,0,0,Udinese,1,1,10.0,5.0,4.0,20.0,4,0,D. Messina,A,A,3.0,3.0,4.0,9.0,0
2005-09-11,Messina,2,0,8.0,4.0,7.0,19.0,3,0,Fiorentina,2,2,12.0,7.0,7.0,20.0,3,0,P. Rodomonti,D,A,0.0,3.0,18.0,7.0,1
2005-09-11,Cagliari,1,1,9.0,3.0,6.0,12.0,2,1,Lazio,1,1,6.0,3.0,6.0,16.0,2,0,P. Bertini,D,D,0.0,3.0,15.0,9.0,1
2005-09-11,Empoli,0,0,9.0,1.0,3.0,16.0,1,0,Juventus,4,3,13.0,8.0,6.0,23.0,0,0,A. Dattilo,A,A,0.0,3.0,18.0,9.0,0
2005-09-11,Chievo,1,1,12.0,8.0,9.0,16.0,1,0,Parma,0,0,5.0,2.0,2.0,15.0,1,0,O. Girardi,H,H,0.0,1.0,17.0,13.0,2
2005-09-11,Lecce,0,0,9.0,6.0,9.0,18.0,2,0,Ascoli,0,0,6.0,4.0,2.0,9.0,3,1,A. Romeo,D,D,0.0,1.0,17.0,13.0,1
2005-09-17,Inter,3,2,12.0,8.0,5.0,16.0,1,0,Lecce,0,0,7.0,5.0,3.0,19.0,1,0,T. Pieri,H,H,3.0,1.0,8.0,16.0,2
2005-09-17,Parma,1,1,27.0,12.0,10.0,22.0,1,0,Empoli,0,0,16.0,3.0,7.0,19.0,0,0,M. Bergonzi,H,H,1.0,0.0,16.0,20.0,2
2005-09-18,Reggina,1,1,16.0,8.0,5.0,11.0,3,0,Chievo,3,1,8.0,5.0,3.0,12.0,2,1,S. Racalbuto,A,D,0.0,3.0,18.0,12.0,0
2005-09-18,Siena,1,1,10.0,3.0,4.0,13.0,3,0,Palermo,2,1,14.0,10.0,6.0,15.0,2,0,G. Rocchi,A,D,3.0,4.0,13.0,8.0,0
2005-09-18,Sampdoria,2,1,7.0,4.0,4.0,20.0,3,0,Milan,1,1,12.0,5.0,7.0,16.0,1,0,P. Bertini,H,D,3.0,4.0,12.0,7.0,2
2005-09-18,Livorno,0,0,6.0,4.0,5.0,17.0,2,0,Roma,0,0,8.0,5.0,3.0,13.0,2,0,M. Trefoloni,D,D,6.0,3.0,5.0,12.0,1
2005-09-18,Cagliari,1,1,16.0,8.0,8.0,20.0,1,0,Messina,1,1,8.0,5.0,4.0,25.0,4,0,A. Giannoccaro,D,D,1.0,1.0,15.0,16.0,1
