Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,FTR,HTR,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2008-08-30,Sampdoria,1,0,18,3,9,19,2,0,Inter,1,1,15,4,8,20,2,0,D,A,0.0,0.0,17.0,8.0,1
2008-08-30,Udinese,3,2,22,7,10,17,2,0,Palermo,1,0,14,4,4,15,4,0,H,H,0.0,0.0,20.0,15.0,2
2008-08-31,Atalanta,1,1,10,3,3,18,1,0,Siena,0,0,5,1,6,24,1,1,H,H,0.0,0.0,4.0,18.0,2
2008-08-31,Cagliari,1,1,18,4,8,12,4,1,Lazio,4,0,17,8,3,17,1,0,A,H,0.0,0.0,6.0,12.0,0
2008-08-31,Catania,1,0,7,4,3,22,5,0,Genoa,0,0,12,3,8,30,3,0,H,D,0.0,0.0,7.0,10.0,2
2008-08-31,Chievo,2,0,15,7,4,15,3,1,Reggina,1,0,9,2,9,16,1,0,H,D,0.0,0.0,8.0,14.0,2
2008-08-31,Fiorentina,1,0,13,2,3,18,1,1,Juventus,1,1,18,5,3,25,3,0,D,A,0.0,0.0,9.0,10.0,1
2008-08-31,Milan,1,1,23,8,4,16,1,0,Bologna,2,1,13,3,1,12,3,0,A,D,0.0,0.0,12.0,10.0,0
2008-08-31,Roma,1,1,17,7,6,17,2,0,Napoli,1,0,19,5,8,22,1,1,D,H,0.0,0.0,13.0,12.0,1
2008-08-31,Torino,3,2,13,6,6,11,1,0,Lecce,0,0,18,4,6,17,3,0,H,H,0.0,0.0,14.0,13.0,2
2008-09-13,Inter,2,1,21,6,8,15,2,1,Catania,1,1,12,1,5,27,5,0,H,D,1.0,3.0,9.0,7.0,2
2008-09-13,Palermo,3,1,18,6,5,24,1,0,Roma,1,1,20,7,3,13,2,0,H,D,0.0,1.0,18.0,12.0,2
2008-09-14,Siena,2,1,9,6,7,16,3,0,Cagliari,0,0,10,3,6,12,3,0,H,H,0.0,0.0,18.0,19.0,2
2008-09-14,Reggina,1,1,12,1,9,22,3,0,Torino,1,1,7,5,5,25,1,0,D,D,0.0,3.0,17.0,3.0,1
2008-09-14,Napoli,2,0,15,5,4,14,3,0,Fiorentina,1,1,19,7,4,13,3,0,H,A,1.0,1.0,13.0,11.0,2
2008-09-14,Lecce,2,0,11,4,3,24,2,0,Chievo,0,0,12,1,5,23,2,0,H,D,0.0,3.0,19.0,7.0,2
2008-09-14,Bologna,0,0,6,2,7,19,2,0,Atalanta,1,1,13,2,5,25,6,0,A,A,3.0,3.0,6.0,8.0,0
2008-09-14,Juventus,1,0,19,6,7,17,0,0,Udinese,0,0,7,3,2,16,1,0,H,D,1.0,3.0,13.0,6.0,2
2008-09-14,Genoa,2,1,16,8,6,11,2,0,Milan,0,0,18,6,5,17,4,0,H,H,0.0,0.0,19.0,18.0,2
2008-09-14,Lazio,2,1,14,4,5,13,0,0,Sampdoria,0,0,9,3,10,20,2,0,H,H,3.0,1.0,6.0,15.0,2
2008-09-20,Catania,1,0,8,1,4,24,1,0,Atalanta,0,0,22,5,5,10,1,0,H,D,3.0,6.0,12.0,2.0,2
2008-09-20,Roma,3,1,25,9,9,16,0,0,Reggina,0,0,11,1,3,15,2,0,H,H,1.0,1.0,17.0,16.0,2
2008-09-21,Sampdoria,1,0,10,3,4,16,2,0,Chievo,1,0,6,1,0,15,2,0,D,D,1.0,3.0,17.0,14.0,1
