Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,FTR,HTR,AvgH,AvgD,AvgA,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AvgAHH,AvgAHA,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2022-08-13,Milan,4,2,14,5,5,16,1,0,Udinese,2,2,9,4,1,13,4,0,H,D,1.41,4.75,8.14,1.82,2.21,1.73,2.14,1.92,1.94,0.0,0.0,10.0,19.0,2
2022-08-13,Sampdoria,0,0,11,1,3,13,4,0,Atalanta,2,1,9,3,2,21,6,0,A,A,4.45,3.91,1.77,1.76,2.26,1.69,2.18,1.88,1.97,0.0,0.0,15.0,2.0,0
2022-08-13,Lecce,1,0,10,4,6,21,4,0,Inter,2,1,19,9,8,19,2,0,A,A,10.22,5.67,1.3,1.65,2.46,1.6,2.37,2.0,1.87,0.0,0.0,10.0,7.0,0
2022-08-13,Monza,1,0,15,4,2,6,1,0,Torino,2,1,13,6,7,17,2,0,A,A,2.58,3.29,2.84,2.21,1.84,2.09,1.76,1.84,2.04,0.0,0.0,10.0,16.0,0
2022-08-14,Fiorentina,3,2,27,11,11,10,0,0,Cremonese,2,1,13,4,4,19,3,1,H,H,1.38,5.02,8.16,1.7,2.4,1.63,2.25,1.85,2.02,0.0,0.0,8.0,6.0,2
2022-08-14,Lazio,2,0,9,6,3,11,2,1,Bologna,1,1,11,3,2,18,6,1,H,A,1.58,4.3,5.49,1.71,2.35,1.65,2.26,1.97,1.89,0.0,0.0,9.0,6.0,2
2022-08-14,Salernitana,0,0,13,2,4,18,3,0,Roma,1,1,20,5,2,9,2,0,A,A,6.42,4.57,1.49,1.83,2.15,1.77,2.08,2.06,1.81,0.0,0.0,11.0,10.0,0
2022-08-14,Spezia,1,1,9,2,6,15,2,0,Empoli,0,0,18,5,4,8,1,0,H,H,2.49,3.33,2.91,1.99,2.0,1.9,1.92,1.78,2.1,0.0,0.0,12.0,8.0,2
2022-08-15,Verona,2,1,6,3,4,15,2,0,Napoli,5,2,25,8,8,6,2,0,A,A,3.46,3.58,2.1,1.86,2.13,1.78,2.05,2.05,1.81,0.0,0.0,12.0,10.0,0
2022-08-15,Juventus,3,2,14,4,3,7,1,0,Sassuolo,0,0,19,7,2,5,3,0,H,H,1.46,4.81,6.65,1.57,2.6,1.52,2.52,1.96,1.9,0.0,0.0,10.0,11.0,2
2022-08-20,Sassuolo,1,1,12,3,5,14,5,0,Lecce,0,0,7,1,4,12,1,0,H,H,1.79,3.99,4.24,1.69,2.39,1.63,2.29,2.01,1.85,0.0,0.0,20.0,13.0,2
2022-08-20,Inter,3,1,19,8,10,11,0,0,Spezia,0,0,2,0,4,7,0,0,H,H,1.17,7.9,15.8,1.38,3.6,1.33,3.34,1.99,1.87,3.0,3.0,6.0,10.0,2
2022-08-20,Udinese,0,0,15,2,6,9,2,1,Salernitana,0,0,17,6,6,12,4,0,D,D,1.75,3.89,4.63,1.83,2.14,1.78,2.06,1.95,1.9,0.0,0.0,17.0,16.0,1
2022-08-20,Torino,0,0,10,1,6,11,0,0,Lazio,0,0,7,2,4,12,5,0,D,D,2.99,3.45,2.38,1.93,2.05,1.87,1.95,1.81,2.06,3.0,3.0,8.0,7.0,1
2022-08-21,Empoli,0,0,4,2,1,13,1,1,Fiorentina,0,0,19,2,9,11,3,0,D,D,3.73,3.83,1.94,1.71,2.28,1.66,2.23,1.92,1.94,0.0,3.0,17.0,8.0,1
2022-08-21,Napoli,4,2,22,5,10,11,2,0,Monza,0,0,4,1,4,13,1,0,H,H,1.35,5.4,8.49,1.58,2.66,1.52,2.55,1.95,1.9,3.0,0.0,5.0,17.0,2
2022-08-21,Atalanta,1,1,11,2,4,15,4,0,Milan,1,0,18,7,6,6,3,0,D,H,2.79,3.49,2.5,1.83,2.19,1.74,2.11,1.74,2.15,3.0,3.0,8.0,7.0,1
2022-08-21,Bologna,1,1,17,5,9,10,3,1,Verona,1,1,19,3,8,14,3,0,D,D,2.2,3.5,3.3,1.86,2.07,1.82,2.01,1.89,1.96,0.0,0.0,16.0,19.0,1
2022-08-22,Roma,1,0,27,12,5,7,0,0,Cremonese,0,0,14,3,6,14,3,0,H,D,1.24,6.14,13.06,1.7,2.37,1.63,2.29,1.96,1.9,3.0,0.0,9.0,17.0,2
2022-08-22,Sampdoria,0,0,10,1,3,8,3,0,Juventus,0,0,10,4,4,14,2,0,D,D,5.74,4.06,1.61,1.93,2.06,1.85,1.96,1.82,2.05,0.0,3.0,19.0,9.0,1
2022-08-26,Monza,1,1,10,5,3,16,3,0,Udinese,2,1,15,4,5,10,2,0,A,D,3.15,3.43,2.3,1.91,2.05,1.86,1.97,1.89,1.97,0.0,1.0,20.0,15.0,0
2022-08-26,Lazio,3,1,11,7,2,5,2,0,Inter,1,0,19,7,4,12,1,0,H,H,4.08,3.76,1.88,1.72,2.29,1.67,2.21,1.99,1.89,4.0,6.0,8.0,2.0,2
2022-08-27,Spezia,2,2,7,2,2,17,2,1,Sassuolo,2,1,21,8,6,10,1,0,D,H,3.02,3.61,2.29,1.68,2.43,1.62,2.32,1.87,1.99,3.0,3.0,12.0,11.0,1
2022-08-27,Milan,2,1,19,7,5,13,2,0,Bologna,0,0,8,0,1,9,1,0,H,H,1.35,5.37,8.74,1.64,2.41,1.61,2.34,1.99,1.88,4.0,1.0,6.0,13.0,2
2022-08-27,Juventus,1,1,14,3,4,16,2,0,Roma,1,0,8,4,5,7,2,0,D,H,2.38,3.22,3.21,2.15,1.87,2.06,1.78,2.03,1.85,4.0,6.0,6.0,5.0,1
2022-08-27,Cremonese,1,0,16,6,3,9,0,0,Torino,2,1,14,5,3,21,3,0,A,A,3.23,3.39,2.29,2.04,1.93,1.98,1.85,1.9,1.95,0.0,4.0,18.0,9.0,0
2022-08-28,Salernitana,4,2,9,6,6,19,2,0,Sampdoria,0,0,17,6,3,14,2,0,H,H,2.47,3.24,3.04,2.06,1.9,1.99,1.84,2.1,1.79,1.0,1.0,14.0,15.0,2
2022-08-28,Verona,0,0,14,2,7,15,3,0,Atalanta,1,0,15,7,6,7,3,0,A,D,4.3,3.94,1.8,1.69,2.34,1.65,2.25,1.86,2.01,1.0,4.0,15.0,9.0,0
