Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,FTR,HTR,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2018-08-24,Brescia,1,1.0,7.0,4.0,3.0,25.0,0.0,1.0,Perugia,1,0.0,7.0,1.0,3.0,17.0,2.0,0.0,D,H,0.0,0.0,3.0,14.0,1
2018-08-25,Cremonese,1,1.0,5.0,2.0,3.0,14.0,0.0,1.0,Pescara,1,0.0,12.0,3.0,7.0,18.0,2.0,1.0,D,H,0.0,0.0,8.0,15.0,1
2018-08-25,Salernitana,0,0.0,6.0,2.0,3.0,22.0,2.0,0.0,Palermo,0,0.0,6.0,2.0,4.0,17.0,2.0,0.0,D,D,0.0,0.0,16.0,15.0,1
2018-08-25,Venezia,1,1.0,11.0,3.0,6.0,11.0,1.0,0.0,Spezia,0,0.0,11.0,2.0,4.0,23.0,3.0,0.0,H,H,0.0,0.0,18.0,17.0,2
2018-08-26,Ascoli,1,0.0,11.0,4.0,8.0,16.0,2.0,0.0,Cosenza,1,1.0,8.0,3.0,5.0,23.0,3.0,0.0,D,A,0.0,0.0,8.0,12.0,1
2018-08-26,Cittadella,3,1.0,18.0,8.0,5.0,18.0,3.0,0.0,Crotone,0,0.0,11.0,2.0,6.0,12.0,2.0,1.0,H,H,0.0,0.0,12.0,13.0,2
2018-08-26,Foggia,4,1.0,16.0,10.0,8.0,8.0,0.0,0.0,Carpi,2,0.0,14.0,6.0,6.0,21.0,3.0,0.0,H,H,0.0,0.0,13.0,12.0,2
2018-08-26,Verona,1,1.0,10.0,5.0,5.0,13.0,2.0,0.0,Padova,1,1.0,7.0,4.0,4.0,20.0,3.0,0.0,D,D,0.0,0.0,16.0,15.0,1
2018-08-27,Benevento,3,0.0,13.0,6.0,5.0,15.0,1.0,0.0,Lecce,3,1.0,3.0,3.0,4.0,12.0,4.0,0.0,D,A,0.0,0.0,14.0,15.0,1
2018-08-31,Palermo,2,1.0,18.0,9.0,7.0,15.0,3.0,0.0,Cremonese,2,0.0,18.0,3.0,9.0,9.0,0.0,0.0,D,H,1.0,1.0,14.0,9.0,1
2018-09-01,Spezia,3,2.0,14.0,5.0,3.0,19.0,3.0,0.0,Brescia,2,2.0,13.0,7.0,4.0,16.0,1.0,0.0,H,D,0.0,1.0,17.0,9.0,2
2018-09-01,Padova,1,1.0,16.0,6.0,4.0,16.0,4.0,0.0,Venezia,0,0.0,9.0,3.0,8.0,15.0,1.0,0.0,H,H,1.0,3.0,11.0,3.0,2
2018-09-01,Carpi,0,0.0,4.0,4.0,6.0,22.0,4.0,0.0,Cittadella,1,0.0,4.0,4.0,6.0,18.0,4.0,0.0,A,D,0.0,3.0,18.0,2.0,0
2018-09-01,Cosenza,0,,,,,,,,Verona,3,,,,,,,,A,,1.0,1.0,11.0,14.0,0
2018-09-02,Crotone,4,1.0,14.0,9.0,7.0,,1.0,0.0,Foggia,1,0.0,13.0,4.0,4.0,,1.0,0.0,H,H,0.0,3.0,19.0,4.0,2
2018-09-02,Lecce,2,1.0,10.0,4.0,5.0,20.0,2.0,0.0,Salernitana,2,0.0,9.0,2.0,2.0,26.0,3.0,0.0,D,H,1.0,1.0,11.0,15.0,1
2018-09-02,Perugia,2,1.0,13.0,6.0,5.0,14.0,2.0,1.0,Ascoli,0,0.0,13.0,6.0,5.0,8.0,1.0,0.0,H,H,1.0,1.0,14.0,13.0,2
2018-09-02,Pescara,2,0.0,14.0,5.0,7.0,13.0,3.0,0.0,Livorno,1,0.0,15.0,7.0,11.0,12.0,1.0,0.0,H,D,1.0,0.0,14.0,18.0,2
2018-09-14,Venezia,2,0.0,16.0,9.0,5.0,17.0,2.0,0.0,Benevento,3,2.0,11.0,5.0,2.0,20.0,3.0,0.0,A,A,3.0,1.0,8.0,14.0,0
2018-09-15,Cremonese,2,2.0,5.0,2.0,3.0,16.0,0.0,0.0,Spezia,0,0.0,9.0,3.0,5.0,21.0,2.0,0.0,H,H,2.0,3.0,12.0,8.0,2
2018-09-15,Cittadella,2,0.0,10.0,2.0,7.0,15.0,2.0,0.0,Cosenza,0,0.0,4.0,0.0,0.0,10.0,4.0,0.0,H,D,6.0,1.0,1.0,17.0,2
2018-09-15,Ascoli,1,0.0,9.0,2.0,2.0,19.0,3.0,0.0,Lecce,0,0.0,9.0,3.0,6.0,15.0,2.0,0.0,H,D,1.0,2.0,16.0,12.0,2
2018-09-15,Brescia,1,0.0,9.0,3.0,5.0,14.0,3.0,0.0,Pescara,1,0.0,13.0,6.0,4.0,9.0,2.0,0.0,D,D,1.0,4.0,16.0,6.0,1
2018-09-16,Foggia,1,1.0,6.0,3.0,4.0,15.0,3.0,0.0,Palermo,2,0.0,16.0,4.0,6.0,20.0,3.0,0.0,A,H,3.0,2.0,10.0,13.0,0
2018-09-16,Salernitana,3,1.0,16.0,8.0,5.0,4.0,3.0,0.0,Padova,0,0.0,7.0,3.0,4.0,2.0,2.0,0.0,H,H,2.0,4.0,14.0,8.0,2
2018-09-16,Verona,4,2.0,12.0,7.0,4.0,4.0,2.0,0.0,Carpi,1,0.0,11.0,3.0,3.0,4.0,2.0,0.0,H,H,4.0,0.0,6.0,19.0,2
2018-09-17,Livorno,0,0.0,8.0,5.0,5.0,12.0,2.0,0.0,Crotone,1,0.0,13.0,10.0,5.0,9.0,2.0,0.0,A,D,0.0,3.0,18.0,11.0,0
2018-09-21,Benevento,4,1.0,17.0,9.0,8.0,20.0,3.0,0.0,Salernitana,0,0.0,5.0,2.0,2.0,15.0,3.0,0.0,H,H,4.0,5.0,9.0,4.0,2
2018-09-22,Crotone,1,0.0,10.0,3.0,7.0,11.0,2.0,0.0,Verona,2,1.0,11.0,4.0,5.0,13.0,3.0,0.0,A,A,6.0,7.0,4.0,2.0,0
2018-09-22,Carpi,1,1.0,9.0,3.0,5.0,17.0,0.0,0.0,Brescia,1,1.0,10.0,2.0,3.0,13.0,2.0,0.0,D,D,0.0,2.0,19.0,16.0,1
2018-09-22,Cosenza,1,1.0,13.0,3.0,7.0,12.0,1.0,0.0,Livorno,1,0.0,10.0,3.0,2.0,17.0,3.0,0.0,D,H,1.0,0.0,17.0,19.0,1
2018-09-22,Lecce,2,0.0,8.0,4.0,4.0,22.0,2.0,0.0,Venezia,1,0.0,4.0,2.0,1.0,15.0,2.0,0.0,H,D,2.0,3.0,16.0,13.0,2
2018-09-22,Palermo,4,2.0,10.0,6.0,4.0,0.0,1.0,0.0,Perugia,1,0.0,13.0,5.0,4.0,0.0,2.0,0.0,H,H,5.0,4.0,6.0,10.0,2
2018-09-22,Pescara,1,0.0,14.0,3.0,3.0,11.0,4.0,0.0,Foggia,0,0.0,21.0,3.0,4.0,9.0,2.0,0.0,H,D,5.0,3.0,7.0,14.0,2
2018-09-22,Spezia,1,0.0,15.0,9.0,4.0,17.0,2.0,0.0,Cittadella,0,0.0,8.0,0.0,6.0,17.0,2.0,1.0,H,D,3.0,9.0,15.0,2.0,2
2018-09-23,Padova,1,1.0,4.0,1.0,3.0,10.0,2.0,0.0,Cremonese,1,0.0,13.0,5.0,14.0,9.0,1.0,0.0,D,H,4.0,5.0,13.0,8.0,1
2018-09-25,Pescara,2,1.0,3.0,2.0,6.0,16.0,1.0,0.0,Crotone,1,0.0,8.0,2.0,6.0,14.0,3.0,0.0,H,H,8.0,6.0,4.0,7.0,2
2018-09-25,Verona,2,1.0,6.0,5.0,4.0,18.0,1.0,0.0,Spezia,1,1.0,5.0,2.0,1.0,20.0,3.0,0.0,H,D,10.0,6.0,2.0,8.0,2
2018-09-25,Perugia,0,0.0,10.0,2.0,3.0,13.0,1.0,0.0,Carpi,1,0.0,14.0,2.0,6.0,15.0,1.0,0.0,A,D,4.0,1.0,12.0,19.0,0
2018-09-25,Salernitana,1,0.0,13.0,3.0,4.0,17.0,2.0,0.0,Ascoli,1,1.0,6.0,1.0,3.0,17.0,3.0,0.0,D,A,5.0,4.0,10.0,12.0,1
2018-09-25,Cittadella,0,0.0,10.0,1.0,5.0,24.0,2.0,0.0,Benevento,1,1.0,9.0,3.0,6.0,15.0,1.0,0.0,A,A,9.0,7.0,3.0,5.0,0
2018-09-25,Brescia,2,2.0,12.0,6.0,7.0,19.0,3.0,0.0,Palermo,1,0.0,8.0,5.0,2.0,11.0,1.0,0.0,H,H,3.0,8.0,15.0,5.0,2
2018-09-25,Livorno,0,0.0,7.0,0.0,8.0,13.0,2.0,0.0,Lecce,3,1.0,8.0,5.0,6.0,16.0,2.0,0.0,A,A,1.0,5.0,19.0,11.0,0
2018-09-26,Cremonese,2,1.0,7.0,4.0,3.0,14.0,1.0,0.0,Cosenza,0,0.0,11.0,3.0,5.0,13.0,1.0,0.0,H,H,6.0,2.0,7.0,18.0,2
