Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,FTR,HTR,AvgH,AvgD,AvgA,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AvgAHH,AvgAHA,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2019-08-23,Pisa,0,0,8,0,7,15,4,0,Benevento,0,0,13,4,1,18,1,0,D,D,3.85,3.19,2.01,2.13,1.83,2.03,1.77,1.8,2.05,0.0,0.0,14.0,2.0,1
2019-08-24,Crotone,0,0,15,3,6,13,1,0,Cosenza,0,0,7,5,4,19,3,1,D,D,2.03,3.09,3.91,2.33,1.69,2.21,1.64,2.04,1.8,0.0,0.0,8.0,6.0,1
2019-08-24,Salernitana,3,1,20,11,4,11,2,0,Pescara,1,0,10,2,5,12,2,0,H,H,2.39,3.09,3.03,2.25,1.77,2.13,1.7,2.06,1.8,0.0,0.0,16.0,14.0,2
2019-08-24,Ascoli,3,1,9,6,4,14,0,1,Trapani,1,0,12,3,4,20,5,1,H,H,1.93,3.22,4.15,2.27,1.73,2.18,1.66,1.94,1.9,0.0,0.0,6.0,17.0,2
2019-08-24,Cittadella,0,0,10,3,5,14,2,0,Spezia,3,0,9,3,3,21,1,0,A,D,2.4,3.04,3.07,2.23,1.78,2.1,1.72,2.06,1.79,0.0,0.0,8.0,16.0,0
2019-08-24,Venezia,1,0,12,1,6,7,2,0,Cremonese,2,0,11,5,5,19,3,0,A,D,2.9,2.98,2.56,2.45,1.63,2.34,1.57,2.05,1.81,0.0,0.0,16.0,9.0,0
2019-08-24,Virtus Entella,1,1,6,3,4,18,2,0,Livorno,0,0,5,2,4,18,3,0,H,H,2.17,3.01,3.59,2.35,1.68,2.24,1.63,1.85,1.99,0.0,0.0,16.0,13.0,2
2019-08-25,Empoli,2,1,15,4,1,14,1,0,Juve Stabia,1,0,4,3,0,11,1,0,H,H,1.55,3.73,6.24,2.0,1.95,1.91,1.88,2.0,1.84,0.0,0.0,11.0,13.0,2
2019-08-25,Perugia,2,1,16,4,4,16,3,0,Chievo,1,1,10,6,8,10,2,0,H,D,2.3,3.07,3.23,2.27,1.74,2.18,1.67,1.99,1.86,0.0,0.0,13.0,11.0,2
2019-08-26,Pordenone,3,1,18,5,3,14,1,0,Frosinone,0,0,16,5,4,24,3,0,H,H,3.54,3.1,2.14,2.14,1.8,2.07,1.73,2.01,1.83,0.0,0.0,13.0,12.0,2
2019-08-30,Chievo,1,1,14,5,4,12,0,0,Empoli,1,1,13,6,3,15,0,0,D,D,2.55,3.06,2.85,2.19,1.79,2.1,1.72,1.82,2.04,0.0,3.0,13.0,6.0,1
2019-08-31,Trapani,0,0,11,4,6,19,2,0,Venezia,1,1,13,4,7,16,2,0,A,A,2.31,2.98,3.31,2.35,1.67,2.26,1.61,1.97,1.88,0.0,0.0,18.0,15.0,0
2019-08-31,Livorno,0,0,12,3,12,17,1,0,Perugia,1,0,6,1,2,13,4,1,A,D,2.95,2.97,2.53,2.31,1.69,2.21,1.64,2.08,1.78,0.0,3.0,16.0,7.0,0
2019-08-31,Cremonese,0,0,15,5,6,10,1,0,Virtus Entella,1,1,11,4,6,8,2,0,A,A,1.77,3.3,5.03,2.25,1.77,2.1,1.71,2.03,1.83,3.0,3.0,7.0,8.0,0
2019-08-31,Benevento,4,1,17,7,7,16,1,0,Cittadella,1,0,9,7,4,15,1,0,H,H,1.82,3.25,4.68,2.21,1.77,2.11,1.71,1.83,2.02,1.0,0.0,10.0,19.0,2
2019-08-31,Spezia,1,1,8,6,6,8,0,0,Crotone,2,2,6,3,2,17,3,0,A,A,2.01,3.19,3.86,2.28,1.75,2.14,1.69,2.03,1.83,3.0,1.0,6.0,12.0,0
2019-08-31,Cosenza,0,0,8,3,3,20,3,0,Salernitana,1,0,6,3,1,16,4,0,A,D,2.35,2.95,3.27,2.35,1.67,2.23,1.63,2.01,1.84,1.0,3.0,12.0,9.0,0
2019-09-01,Juve Stabia,0,0,14,1,8,23,4,0,Pisa,2,1,11,3,2,14,2,1,A,A,2.14,2.97,3.76,2.56,1.58,2.44,1.53,1.83,2.02,0.0,1.0,15.0,12.0,0
2019-09-01,Pescara,4,1,19,4,5,17,3,0,Pordenone,2,2,11,2,3,18,2,0,H,A,2.04,3.16,3.82,2.16,1.81,2.06,1.75,1.75,2.12,0.0,3.0,15.0,8.0,2
2019-09-01,Frosinone,2,0,20,8,7,19,5,1,Ascoli,1,1,11,5,2,28,4,0,H,A,1.77,3.37,4.8,2.01,1.92,1.94,1.85,2.04,1.82,0.0,3.0,19.0,9.0,2
2019-09-13,Pordenone,1,0,12,5,5,18,1,0,Spezia,0,0,11,1,4,24,3,0,H,D,2.67,2.99,2.78,2.24,1.75,2.15,1.69,1.89,1.95,3.0,3.0,9.0,8.0,2
2019-09-14,Venezia,0,0,5,2,2,13,2,1,Chievo,2,1,8,4,3,16,3,0,A,A,2.73,2.95,2.74,2.39,1.65,2.29,1.6,1.92,1.93,3.0,1.0,13.0,15.0,0
2019-09-14,Virtus Entella,1,0,8,3,4,15,3,0,Frosinone,0,0,17,8,5,13,3,0,H,D,3.05,3.04,2.43,2.13,1.83,2.05,1.75,1.78,2.07,6.0,3.0,4.0,14.0,2
2019-09-14,Ascoli,2,1,11,4,4,16,4,0,Livorno,0,0,9,4,3,19,3,0,H,H,2.15,3.02,3.67,2.41,1.65,2.31,1.59,1.83,2.01,3.0,0.0,10.0,17.0,2
2019-09-14,Cittadella,2,0,13,6,7,24,3,0,Trapani,0,0,8,4,5,16,3,0,H,D,1.82,3.29,4.63,2.17,1.8,2.07,1.74,2.09,1.77,0.0,0.0,20.0,18.0,2
2019-09-14,Perugia,0,0,11,4,6,13,0,0,Juve Stabia,0,0,12,5,7,24,4,1,D,D,1.68,3.5,5.31,2.12,1.83,2.03,1.77,1.9,1.95,6.0,0.0,5.0,18.0,1
2019-09-15,Cosenza,1,0,13,5,7,15,1,0,Pescara,2,1,6,1,1,14,2,0,A,A,2.39,2.98,3.17,2.35,1.67,2.24,1.63,2.04,1.8,1.0,3.0,17.0,12.0,0
2019-09-15,Crotone,0,0,19,6,14,12,1,0,Empoli,0,0,10,1,2,17,1,0,D,D,2.61,3.03,2.81,2.13,1.83,2.05,1.76,1.85,1.99,4.0,4.0,11.0,10.0,1
2019-09-15,Pisa,4,1,15,8,4,9,2,0,Cremonese,1,0,21,5,6,15,3,0,H,H,2.79,2.92,2.7,2.55,1.58,2.44,1.53,1.95,1.9,4.0,3.0,10.0,13.0,2
2019-09-16,Salernitana,0,0,10,0,4,18,3,0,Benevento,2,0,14,4,7,14,0,0,A,D,2.77,2.97,2.68,2.25,1.74,2.14,1.69,1.95,1.88,6.0,4.0,5.0,10.0,0
2019-09-20,Frosinone,1,0,10,4,4,17,2,0,Venezia,1,0,10,4,5,24,4,0,D,D,1.64,3.55,5.62,2.1,1.95,2.0,1.8,1.86,1.98,3.0,3.0,15.0,13.0,1
2019-09-21,Chievo,2,0,18,8,4,12,1,0,Pisa,2,1,14,4,1,10,2,0,D,A,2.07,3.09,3.82,2.29,1.7,2.22,1.64,1.78,2.08,4.0,7.0,11.0,3.0,1
2019-09-21,Spezia,2,2,13,5,4,19,1,0,Perugia,2,1,11,5,7,14,4,0,D,H,2.38,3.05,3.11,2.24,1.73,2.16,1.68,2.05,1.8,3.0,7.0,14.0,4.0,1
2019-09-21,Pescara,1,0,11,5,3,10,2,1,Virtus Entella,1,1,5,3,1,12,3,0,D,A,2.49,3.13,2.87,2.17,1.79,2.09,1.73,1.8,2.06,6.0,9.0,7.0,1.0,1
2019-09-21,Livorno,2,1,10,4,4,16,1,0,Pordenone,1,0,11,4,6,24,3,0,H,H,2.1,3.07,3.76,2.42,1.65,2.31,1.59,1.79,2.06,0.0,6.0,19.0,7.0,2
2019-09-21,Empoli,1,1,10,3,3,17,1,0,Cittadella,0,0,16,2,4,21,4,0,H,H,1.72,3.43,5.11,2.05,1.91,1.98,1.82,1.97,1.87,5.0,3.0,10.0,17.0,2
2019-09-21,Cremonese,2,2,15,7,6,15,2,0,Crotone,1,1,18,6,3,17,2,0,H,H,2.2,3.09,3.42,2.33,1.68,2.23,1.63,1.91,1.94,3.0,5.0,15.0,11.0,2
2019-09-21,Benevento,1,0,14,3,6,14,1,0,Cosenza,0,0,10,5,3,18,5,0,H,D,1.6,3.62,6.03,2.19,1.8,2.09,1.73,2.12,1.74,7.0,1.0,5.0,18.0,2
2019-09-21,Juve Stabia,1,0,20,9,4,18,4,1,Ascoli,5,0,19,9,3,12,3,0,A,D,2.31,3.05,3.24,2.26,1.73,2.17,1.67,1.99,1.86,1.0,6.0,19.0,7.0,0
2019-09-22,Trapani,0,0,12,5,4,20,5,0,Salernitana,1,0,4,1,2,18,2,0,A,D,2.64,3.01,2.8,2.29,1.71,2.2,1.65,1.86,1.98,0.0,6.0,20.0,9.0,0
2019-09-24,Pisa,2,1,9,6,7,12,2,0,Empoli,3,1,15,5,3,15,4,0,A,D,2.61,3.04,2.8,2.26,1.73,2.17,1.68,1.87,1.97,8.0,8.0,5.0,7.0,0
2019-09-24,Virtus Entella,0,0,15,1,2,15,2,0,Venezia,2,1,11,8,5,20,2,1,A,A,1.88,3.26,4.39,2.13,1.81,2.06,1.74,1.9,1.93,10.0,4.0,3.0,14.0,0
2019-09-24,Perugia,3,2,19,7,7,20,1,0,Frosinone,1,1,5,2,5,14,3,0,H,H,2.35,3.05,3.18,2.25,1.76,2.14,1.69,2.02,1.83,8.0,4.0,7.0,15.0,2
2019-09-24,Pordenone,1,1,14,4,5,21,4,0,Benevento,1,1,12,6,3,24,2,0,D,D,3.07,3.05,2.41,2.17,1.8,2.08,1.73,2.17,1.71,6.0,10.0,10.0,3.0,1
2019-09-24,Cosenza,1,0,9,5,6,19,2,0,Livorno,1,0,12,4,2,20,1,0,D,D,2.39,2.87,3.32,2.73,1.53,2.59,1.48,2.03,1.81,1.0,3.0,18.0,16.0,1
2019-09-24,Ascoli,3,2,8,4,2,11,3,0,Spezia,0,0,15,1,7,16,4,1,H,H,2.45,3.07,2.99,2.17,1.8,2.06,1.75,1.74,2.12,9.0,4.0,5.0,14.0,2
2019-09-24,Crotone,2,0,26,9,15,13,3,0,Juve Stabia,0,0,5,0,0,12,3,0,H,D,1.82,3.31,4.62,2.23,1.75,2.12,1.7,1.82,2.02,5.0,1.0,13.0,19.0,2
