Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,FTR,HTR,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2018-08-10,Zwolle,2,1,18,4,5,13,2,0,Heerenveen,3,3,7,3,1,11,5,1,A,A,0.0,0.0,18.0,10.0,0
2018-08-11,Ajax,1,0,17,7,12,13,0,0,Heracles,1,0,11,2,7,25,3,0,D,D,0.0,0.0,3.0,11.0,1
2018-08-11,Excelsior,1,1,13,3,4,12,3,1,For Sittard,1,0,18,6,8,11,1,0,D,H,0.0,0.0,6.0,9.0,1
2018-08-11,PSV Eindhoven,4,1,14,10,9,11,2,0,Utrecht,0,0,6,2,1,12,2,0,H,H,0.0,0.0,13.0,14.0,2
2018-08-11,Willem II,0,0,15,6,13,11,2,0,VVV Venlo,1,1,7,1,2,18,2,0,A,A,0.0,0.0,16.0,14.0,0
2018-08-12,Graafschap,2,1,9,5,3,16,2,0,Feyenoord,0,0,14,6,5,15,4,2,H,H,0.0,0.0,12.0,11.0,2
2018-08-12,Vitesse,5,2,14,8,6,15,0,0,Groningen,1,1,11,6,1,15,2,0,H,H,0.0,0.0,14.0,12.0,2
2018-08-12,AZ Alkmaar,5,3,29,12,14,9,0,0,NAC Breda,0,0,5,4,1,9,2,0,H,H,0.0,0.0,10.0,13.0,2
2018-08-12,Den Haag,1,0,14,5,8,12,2,0,FC Emmen,2,2,10,5,3,20,1,0,A,A,0.0,0.0,11.0,12.0,0
2018-08-17,Groningen,0,0,15,4,5,18,1,0,Willem II,1,1,7,2,2,11,1,0,A,A,0.0,0.0,16.0,14.0,0
2018-08-18,Heracles,4,3,17,7,5,13,2,0,Den Haag,2,2,19,7,10,17,4,0,H,H,1.0,0.0,12.0,14.0,2
2018-08-18,NAC Breda,3,1,7,3,3,9,0,0,Graafschap,0,0,7,2,4,18,2,0,H,H,0.0,3.0,18.0,5.0,2
2018-08-18,For Sittard,1,0,10,6,5,13,1,0,PSV Eindhoven,2,1,17,8,8,16,1,0,A,A,1.0,3.0,13.0,4.0,0
2018-08-18,VVV Venlo,0,0,9,1,5,8,0,0,Ajax,1,0,18,9,7,9,1,0,A,D,3.0,1.0,7.0,11.0,0
2018-08-19,Heerenveen,1,1,7,3,1,17,3,0,Vitesse,1,0,20,4,8,15,2,0,D,H,3.0,3.0,6.0,5.0,1
2018-08-19,FC Emmen,1,1,14,7,6,10,0,0,AZ Alkmaar,4,3,16,8,3,15,1,0,A,A,3.0,3.0,7.0,6.0,0
2018-08-19,Feyenoord,3,1,23,6,10,14,0,0,Excelsior,0,0,9,2,1,8,0,0,H,H,0.0,1.0,15.0,12.0,2
2018-08-19,Utrecht,2,2,7,2,6,8,2,1,Zwolle,0,0,17,4,10,14,1,0,H,H,0.0,0.0,17.0,15.0,2
2018-08-24,Den Haag,3,2,12,6,14,10,5,0,For Sittard,1,0,14,3,10,13,1,0,H,H,0.0,1.0,16.0,14.0,2
2018-08-25,Ajax,5,2,22,10,11,10,0,0,FC Emmen,0,0,6,2,1,9,1,0,H,H,4.0,3.0,6.0,12.0,2
2018-08-25,Graafschap,0,0,10,4,7,10,2,0,Groningen,1,1,12,3,3,13,3,0,A,A,3.0,0.0,11.0,18.0,0
2018-08-25,NAC Breda,0,0,12,3,3,7,3,0,Excelsior,2,1,10,3,3,13,2,0,A,A,3.0,1.0,11.0,17.0,0
2018-08-25,Zwolle,1,0,18,5,6,11,1,0,PSV Eindhoven,2,1,15,6,6,8,2,0,A,A,0.0,6.0,18.0,3.0,0
2018-08-26,AZ Alkmaar,0,0,18,3,6,13,3,0,Vitesse,0,0,13,3,4,14,3,0,D,D,6.0,4.0,3.0,4.0,1
2018-08-26,Heerenveen,3,0,13,5,5,8,0,0,Feyenoord,5,3,13,6,4,8,0,0,A,A,4.0,3.0,6.0,8.0,0
2018-08-26,Utrecht,1,1,21,4,3,12,1,0,VVV Venlo,1,0,11,2,0,10,1,0,D,H,3.0,3.0,13.0,9.0,1
2018-08-26,Willem II,5,3,13,7,4,11,2,0,Heracles,0,0,6,3,4,14,1,0,H,H,3.0,4.0,11.0,6.0,2
2018-08-31,FC Emmen,1,0,26,11,13,9,1,0,Graafschap,1,0,13,6,1,12,3,0,D,D,3.0,3.0,16.0,13.0,1
2018-09-01,VVV Venlo,1,0,19,4,4,9,1,0,Heerenveen,1,1,8,4,2,15,1,0,D,A,4.0,4.0,7.0,8.0,1
2018-09-01,PSV Eindhoven,6,4,16,10,2,8,0,0,Willem II,1,0,6,2,3,11,4,0,H,H,9.0,6.0,1.0,4.0,2
2018-09-01,Excelsior,2,0,13,4,4,12,1,0,Den Haag,4,2,16,7,6,14,3,0,A,A,4.0,3.0,9.0,14.0,0
2018-09-01,For Sittard,1,0,9,2,6,13,2,0,Utrecht,1,0,14,5,6,14,0,0,D,D,1.0,4.0,17.0,11.0,1
2018-09-02,Feyenoord,4,1,20,8,14,6,1,0,NAC Breda,2,1,7,4,2,12,1,0,H,D,6.0,3.0,4.0,15.0,2
2018-09-02,Groningen,0,0,14,2,6,9,3,0,Zwolle,1,0,9,6,4,19,4,0,A,D,3.0,0.0,15.0,18.0,0
2018-09-02,Heracles,3,1,23,14,5,16,4,0,AZ Alkmaar,2,1,17,8,2,12,2,0,H,D,4.0,7.0,13.0,3.0,2
2018-09-02,Vitesse,0,0,21,7,7,14,3,0,Ajax,4,3,16,8,5,15,0,0,A,A,5.0,7.0,8.0,4.0,0
2018-09-15,Willem II,2,0,21,6,13,9,3,0,Excelsior,2,1,16,4,9,9,3,0,D,A,6.0,4.0,7.0,13.0,1
2018-09-15,Graafschap,1,0,14,2,6,12,2,0,VVV Venlo,2,2,12,6,3,18,2,0,A,A,4.0,5.0,13.0,9.0,0
2018-09-15,Ajax,3,1,17,5,4,6,2,0,Groningen,0,0,7,2,2,16,0,0,H,H,10.0,3.0,2.0,16.0,2
2018-09-15,Den Haag,0,0,5,2,3,14,2,0,PSV Eindhoven,7,2,27,10,5,9,0,0,A,A,6.0,12.0,8.0,2.0,0
2018-09-16,AZ Alkmaar,1,1,11,3,4,8,1,0,Feyenoord,1,1,9,3,10,10,1,0,D,D,7.0,9.0,5.0,3.0,1
2018-09-16,Heerenveen,3,1,11,6,4,15,1,0,Heracles,5,1,10,7,3,14,2,0,A,D,5.0,7.0,10.0,7.0,0
2018-09-16,NAC Breda,2,1,14,4,6,15,2,0,For Sittard,3,1,12,4,2,9,2,0,A,D,3.0,2.0,16.0,18.0,0
2018-09-16,Utrecht,1,1,15,4,4,10,1,1,FC Emmen,2,0,10,2,4,17,4,0,A,H,5.0,4.0,11.0,15.0,0
2018-09-16,Zwolle,0,0,12,6,6,14,1,0,Vitesse,2,2,9,4,6,14,3,0,A,A,3.0,5.0,16.0,10.0,0
2018-09-21,Heracles,4,1,27,10,11,14,2,0,Graafschap,0,0,13,4,3,15,1,1,H,H,10.0,4.0,4.0,15.0,2
2018-09-22,VVV Venlo,3,2,14,5,3,9,0,0,NAC Breda,0,0,6,1,2,16,4,1,H,H,8.0,3.0,7.0,17.0,2
2018-09-22,Vitesse,1,1,15,4,3,12,1,1,Den Haag,1,0,11,3,6,14,2,0,D,H,8.0,6.0,7.0,10.0,1
2018-09-22,For Sittard,4,2,10,7,2,10,2,0,Willem II,4,2,12,6,10,14,4,0,D,D,5.0,7.0,11.0,8.0,1
2018-09-22,Excelsior,3,2,12,8,6,4,0,0,Heerenveen,3,0,10,5,7,11,1,0,D,H,5.0,5.0,13.0,12.0,1
2018-09-23,FC Emmen,0,0,9,3,7,14,2,0,Zwolle,1,1,12,4,7,18,3,0,A,A,7.0,3.0,10.0,16.0,0
