Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,FTR,HTR,AvgH,AvgD,AvgA,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AvgAHH,AvgAHA,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2024-08-09,Groningen,4,3,17,9,8,7,1,0,NAC Breda,1,0,7,3,1,7,3,1,H,H,1.61,4.06,5.33,1.68,2.38,1.62,2.27,2.02,1.83,0.0,0.0,7.0,10.0,2
2024-08-10,Feyenoord,1,1,21,7,14,8,1,0,Willem II,1,0,2,1,3,21,4,0,D,H,1.12,9.35,18.53,1.41,3.17,1.37,2.98,1.88,1.94,0.0,0.0,5.0,16.0,1
2024-08-10,Nijmegen,1,1,12,2,7,5,0,0,Twente,2,1,15,5,5,6,0,0,A,D,3.63,3.66,1.97,1.76,2.27,1.68,2.15,1.87,1.97,0.0,0.0,11.0,14.0,0
2024-08-10,Almere City,0,0,7,2,2,13,1,2,AZ Alkmaar,1,1,6,3,8,9,2,1,A,A,5.37,4.18,1.58,1.75,2.22,1.69,2.13,1.83,2.0,0.0,0.0,7.0,5.0,0
2024-08-10,PSV Eindhoven,5,3,19,12,7,4,0,0,Waalwijk,1,0,8,4,3,8,0,0,H,H,1.09,10.89,21.72,1.31,3.95,1.26,3.68,1.83,1.99,0.0,0.0,11.0,14.0,2
2024-08-11,Sparta Rotterdam,0,0,9,1,3,12,1,0,Heracles,0,0,10,2,4,14,1,0,D,D,1.5,4.58,5.88,1.57,2.57,1.52,2.48,1.8,2.03,0.0,0.0,12.0,11.0,1
2024-08-11,Go Ahead Eagles,0,0,18,4,6,13,1,0,For Sittard,2,0,13,4,3,10,1,0,A,D,2.0,3.52,3.65,1.9,2.05,1.84,1.96,2.01,1.83,0.0,0.0,11.0,10.0,0
2024-08-11,Utrecht,1,1,9,2,2,18,0,0,Zwolle,0,0,5,1,1,10,3,0,H,H,1.44,4.72,6.51,1.62,2.45,1.57,2.37,1.96,1.85,0.0,0.0,12.0,13.0,2
2024-08-11,Ajax,1,1,12,4,5,10,0,0,Heerenveen,0,0,7,2,2,8,2,0,H,H,1.46,4.83,5.99,1.43,3.07,1.4,2.85,1.95,1.86,0.0,0.0,11.0,12.0,2
2024-08-16,For Sittard,3,1,20,9,9,8,2,0,Almere City,0,0,8,4,3,12,3,0,H,H,1.79,3.67,4.44,2.04,1.92,1.94,1.86,2.02,1.81,3.0,0.0,3.0,13.0,2
2024-08-17,Heerenveen,1,0,21,7,6,15,4,0,Utrecht,1,1,6,4,4,8,2,0,D,A,2.64,3.57,2.52,1.68,2.38,1.62,2.28,1.97,1.88,0.0,3.0,13.0,7.0,1
2024-08-17,Twente,1,0,21,3,5,7,1,0,Sparta Rotterdam,1,0,11,3,4,8,0,0,D,D,1.51,4.49,5.8,1.63,2.45,1.58,2.34,1.82,2.01,3.0,1.0,5.0,11.0,1
