Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,FTR,HTR,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2017-08-06,Aves,0,0,12,2,6,15,1,0,Sp Lisbon,2,1,12,9,3,16,0,0,A,A,0.0,0.0,1.0,17.0,0
2017-08-06,Setubal,1,1,6,2,4,18,1,1,Moreirense,1,0,12,4,8,22,3,0,D,H,0.0,0.0,15.0,10.0,1
2017-08-07,Feirense,1,0,12,5,5,19,4,0,Tondela,1,1,13,6,3,25,1,0,D,A,0.0,0.0,9.0,17.0,1
2017-08-07,Portimonense,2,0,12,4,9,14,1,0,Boavista,1,1,5,2,4,10,1,0,H,A,0.0,0.0,14.0,8.0,2
2017-08-07,Rio Ave,1,1,11,5,4,17,2,0,Belenenses,0,0,10,3,8,23,2,0,H,H,0.0,0.0,15.0,7.0,2
2017-08-08,Maritimo,1,0,7,3,0,13,2,0,Pacos Ferreira,0,0,4,1,7,14,2,0,H,D,0.0,0.0,12.0,13.0,2
2017-08-09,Benfica,3,2,15,9,6,13,2,0,Sp Braga,1,1,6,1,2,18,3,0,H,H,0.0,0.0,9.0,14.0,2
2017-08-09,Porto,4,1,17,8,10,18,1,0,Estoril,0,0,10,4,5,12,1,0,H,H,0.0,0.0,13.0,11.0,2
2017-08-10,Guimaraes,3,2,16,8,9,21,1,0,Chaves,2,0,15,3,7,13,4,0,H,H,0.0,0.0,12.0,11.0,2
2017-08-11,Sp Lisbon,1,0,12,5,7,16,1,0,Setubal,0,0,3,1,1,24,2,0,H,D,3.0,1.0,3.0,10.0,2
2017-08-12,Belenenses,1,0,10,4,9,20,3,0,Maritimo,0,0,7,5,4,18,1,0,H,D,0.0,3.0,14.0,6.0,2
2017-08-12,Boavista,1,0,5,2,2,17,3,0,Rio Ave,2,1,7,2,3,17,3,0,A,A,0.0,3.0,14.0,6.0,0
2017-08-12,Moreirense,0,0,11,0,8,18,1,0,Feirense,0,0,6,4,4,23,2,0,D,D,1.0,1.0,10.0,9.0,1
2017-08-13,Pacos Ferreira,2,0,16,5,2,17,1,0,Aves,2,2,7,3,3,20,3,0,D,A,0.0,0.0,14.0,17.0,1
2017-08-13,Sp Braga,2,1,8,4,5,14,3,0,Portimonense,1,1,8,1,7,21,3,0,H,D,0.0,3.0,17.0,6.0,2
2017-08-13,Tondela,0,0,5,2,2,22,3,0,Porto,1,1,15,6,6,10,2,0,A,A,1.0,3.0,12.0,3.0,0
2017-08-14,Chaves,0,0,9,4,5,12,1,0,Benfica,1,0,21,9,13,15,2,0,A,D,0.0,3.0,16.0,4.0,0
2017-08-14,Estoril,3,1,18,5,4,16,2,1,Guimaraes,0,0,11,1,7,13,3,2,H,H,0.0,3.0,18.0,5.0,2
2017-08-18,Rio Ave,2,0,11,7,4,15,0,0,Portimonense,0,0,11,4,6,11,0,0,H,D,6.0,3.0,4.0,5.0,2
2017-08-19,Benfica,5,3,20,14,6,22,0,0,Belenenses,0,0,7,4,2,11,1,0,H,H,6.0,3.0,3.0,5.0,2
2017-08-19,Guimaraes,0,0,8,3,5,18,3,0,Sp Lisbon,5,3,13,10,3,20,2,0,A,A,3.0,6.0,8.0,4.0,0
