Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,FTR,HTR,AvgH,AvgD,AvgA,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AvgAHH,AvgAHA,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2023-08-11,Sp Braga,1,1,13,2,3,17,4,0,Famalicao,2,0,12,4,4,12,4,0,A,H,1.43,4.61,7.0,1.73,2.28,1.67,2.19,1.97,1.86,0.0,0.0,16.0,8.0,0
2023-08-12,Gil Vicente,5,2,8,5,1,11,0,0,Portimonense,0,0,9,3,1,14,0,0,H,H,2.01,3.35,3.83,2.25,1.75,2.15,1.69,2.01,1.84,0.0,0.0,10.0,13.0,2
2023-08-12,Farense,0,0,12,5,5,13,2,0,Casa Pia,3,1,14,5,6,13,4,0,A,A,2.49,3.08,3.02,2.41,1.64,2.31,1.6,2.11,1.74,0.0,0.0,10.0,6.0,0
2023-08-12,Sp Lisbon,3,2,19,6,8,16,4,0,Vizela,2,0,10,4,3,9,0,0,H,H,1.17,7.23,16.63,1.61,2.47,1.56,2.4,1.9,1.92,0.0,0.0,14.0,15.0,2
2023-08-13,Rio Ave,2,0,21,8,14,12,3,0,Chaves,0,0,6,1,3,20,4,1,H,D,2.1,3.33,3.54,2.2,1.77,2.13,1.7,1.8,2.03,0.0,0.0,14.0,8.0,2
2023-08-13,Estrela,0,0,5,0,3,13,3,1,Guimaraes,1,1,11,3,10,18,3,0,A,A,2.55,3.2,2.81,2.38,1.65,2.3,1.6,1.83,2.02,0.0,0.0,10.0,11.0,0
2023-08-13,Arouca,4,1,11,5,2,11,4,1,Estoril,3,1,12,8,6,17,2,0,H,D,2.13,3.19,3.64,2.43,1.63,2.33,1.59,1.82,2.01,0.0,0.0,7.0,10.0,2
2023-08-14,Boavista,3,0,11,3,3,18,6,1,Benfica,2,1,15,5,3,15,4,1,H,A,9.89,5.54,1.29,1.62,2.45,1.59,2.33,1.96,1.87,0.0,0.0,9.0,8.0,2
2023-08-14,Moreirense,1,0,8,1,5,22,4,0,Porto,2,0,18,7,10,15,7,1,A,D,8.11,5.05,1.35,1.7,2.34,1.65,2.22,1.81,2.02,0.0,0.0,9.0,10.0,0
2023-08-18,Casa Pia,1,0,13,3,4,14,4,0,Sp Lisbon,2,1,17,5,5,11,1,0,A,A,7.3,4.56,1.43,1.8,2.14,1.75,2.07,1.85,1.98,3.0,3.0,2.0,6.0,0
