Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,Referee,FTR,HTR,AvgH,AvgD,AvgA,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AvgAHH,AvgAHA,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2025-08-02,Kilmarnock,2,2,8,2,3,11,2,1,Livingston,2,0,15,6,5,14,2,0,M MacDermid,D,H,2.0,3.47,3.55,2.0,1.91,1.92,1.82,1.97,1.77,0.0,0.0,8.0,9.0,1
2025-08-02,Motherwell,1,0,17,5,1,11,1,0,Rangers,1,1,15,5,12,13,4,0,S McLean,D,A,6.8,5.03,1.38,1.46,2.85,1.43,2.69,1.97,1.76,0.0,0.0,10.0,11.0,1
2025-08-03,Falkirk,2,0,14,4,2,9,1,0,Dundee United,2,1,11,5,4,13,5,0,J Beaton,D,A,1.88,3.65,3.8,1.83,2.03,1.78,1.97,1.85,1.89,0.0,0.0,9.0,8.0,1
2025-08-03,Dundee,1,1,2,1,3,6,3,0,Hibernian,2,2,15,5,11,8,1,0,D Dickinson,A,A,3.92,3.69,1.83,1.68,2.21,1.66,2.13,1.94,1.8,0.0,0.0,9.0,11.0,0
2025-08-03,Celtic,1,0,14,6,12,10,2,0,St Mirren,0,0,4,2,1,6,1,0,D Robertson,H,D,1.16,7.16,14.4,1.44,3.0,1.39,2.82,1.79,1.95,0.0,0.0,9.0,11.0,2
2025-08-04,Hearts,2,1,13,3,3,19,3,0,Aberdeen,0,0,11,1,3,18,2,0,N Walsh,H,H,2.08,3.5,3.3,1.8,2.08,1.77,1.98,1.74,1.98,0.0,0.0,10.0,9.0,2
2025-08-09,Livingston,3,2,8,5,4,23,4,0,Falkirk,1,0,8,3,5,15,2,0,C Graham,H,H,2.61,3.22,2.64,2.1,1.73,2.05,1.71,1.85,1.89,1.0,1.0,7.0,5.0,2
2025-08-09,St Mirren,0,0,9,4,7,16,5,0,Motherwell,0,0,7,3,4,4,1,0,R Hardie,D,D,1.97,3.47,3.6,2.0,1.85,1.95,1.8,1.93,1.8,0.0,1.0,11.0,7.0,1
2025-08-09,Rangers,1,0,20,5,7,13,2,1,Dundee,1,0,7,2,4,4,1,0,D Robertson,D,D,1.14,7.77,15.53,1.36,3.25,1.34,3.09,1.82,1.85,1.0,0.0,8.0,11.0,1
2025-08-10,Dundee United,2,2,13,5,2,14,3,0,Hearts,3,1,16,8,9,11,4,0,D Dickinson,A,H,3.64,3.55,1.93,1.85,2.0,1.79,1.94,1.83,1.9,1.0,3.0,7.0,2.0,0
2025-08-10,Hibernian,2,2,12,6,4,10,1,0,Kilmarnock,2,1,10,2,7,15,2,0,N Walsh,D,H,1.68,3.87,4.55,1.8,2.04,1.75,2.0,1.83,1.84,3.0,1.0,3.0,7.0,1
2025-08-10,Aberdeen,0,0,6,2,1,15,2,0,Celtic,2,1,13,4,6,11,3,0,J Beaton,A,A,6.49,4.94,1.4,1.5,2.65,1.47,2.57,1.92,1.76,0.0,3.0,12.0,4.0,0
2025-08-23,Celtic,3,0,19,9,10,12,0,0,Livingston,0,0,6,2,4,8,1,0,K Clancy,H,D,1.13,8.19,15.78,1.33,3.4,1.3,3.28,1.78,1.91,6.0,4.0,2.0,3.0,2
2025-08-23,Hearts,3,0,19,9,9,14,3,0,Motherwell,3,1,9,3,3,19,2,0,J Beaton,D,A,1.58,4.03,5.31,1.93,1.98,1.83,1.91,1.71,1.98,6.0,2.0,2.0,7.0,1
2025-08-23,Kilmarnock,0,0,12,5,7,17,3,0,Dundee,0,0,6,1,3,13,3,0,R Lee,D,D,1.87,3.48,3.97,2.0,1.85,1.96,1.79,1.85,1.88,2.0,1.0,6.0,9.0,1
2025-08-24,St Mirren,1,1,13,4,6,17,3,0,Rangers,1,0,13,6,6,8,3,0,N Walsh,D,H,4.06,3.96,1.74,1.66,2.3,1.6,2.23,1.75,1.92,1.0,2.0,10.0,7.0,1
2025-08-30,Livingston,1,1,6,2,5,16,7,0,Hearts,2,0,14,3,9,16,2,0,D Nicolson,A,H,3.32,3.45,2.07,1.95,1.91,1.88,1.85,1.95,1.71,4.0,7.0,4.0,2.0,0
2025-08-30,Motherwell,2,1,15,4,9,17,2,0,Kilmarnock,2,1,7,5,0,18,5,0,D McFarlane,D,D,2.09,3.39,3.31,2.0,1.85,1.95,1.8,1.76,1.93,3.0,3.0,6.0,5.0,1
2025-08-31,Rangers,0,0,4,0,8,17,3,0,Celtic,0,0,5,2,1,17,0,0,D Robertson,D,D,3.41,3.92,1.91,1.5,2.75,1.46,2.58,1.84,1.87,3.0,9.0,7.0,2.0,1
2025-08-31,Dundee,0,0,5,1,3,8,0,0,Dundee United,2,1,10,5,2,10,1,0,S McLean,A,A,2.56,3.2,2.66,2.02,1.85,1.95,1.79,1.85,1.89,2.0,1.0,8.0,10.0,0
2025-08-31,Aberdeen,0,0,12,4,5,16,3,1,Falkirk,1,0,19,9,6,13,5,0,R Hardie,A,D,1.96,3.59,3.48,1.85,2.0,1.79,1.94,1.94,1.79,0.0,1.0,12.0,11.0,0
2025-08-31,Hibernian,1,0,17,5,10,7,1,0,St Mirren,1,0,10,4,7,7,1,0,M MacDermid,D,D,1.89,3.51,3.85,1.94,1.93,1.89,1.84,1.86,1.86,4.0,2.0,4.0,10.0,1
2025-09-13,Rangers,0,0,14,5,9,13,2,0,Hearts,2,1,12,5,2,9,1,0,S McLean,A,A,1.72,3.96,4.17,1.62,2.3,1.58,2.27,1.9,1.82,4.0,10.0,7.0,2.0,0
2025-09-13,Falkirk,1,0,10,2,4,6,1,0,St Mirren,2,0,13,5,2,13,2,0,D Nicolson,A,D,2.22,3.37,3.08,2.0,1.88,1.93,1.81,1.89,1.83,4.0,3.0,7.0,10.0,0
2025-09-13,Hibernian,3,1,27,12,6,11,2,0,Dundee United,3,2,13,9,4,20,4,1,D McFarlane,D,A,1.63,3.97,4.87,1.8,2.12,1.73,2.02,1.79,1.94,5.0,4.0,4.0,5.0,1
2025-09-13,Aberdeen,0,0,16,2,6,14,4,0,Livingston,0,0,6,2,6,17,3,0,N Walsh,D,D,1.97,3.56,3.55,1.95,2.0,1.85,1.89,1.92,1.81,0.0,4.0,12.0,8.0,1
2025-09-13,Dundee,1,0,7,4,2,7,1,1,Motherwell,1,1,16,4,6,12,1,0,C Scott,D,A,3.65,3.45,1.97,2.1,1.8,1.99,1.76,1.8,1.93,2.0,4.0,11.0,8.0,1
2025-09-14,Kilmarnock,1,0,12,2,6,10,2,0,Celtic,2,0,21,6,7,10,3,0,J Beaton,A,D,10.47,5.9,1.24,1.5,2.63,1.48,2.55,1.85,1.87,4.0,10.0,8.0,2.0,0
2025-09-20,Dundee,3,1,11,4,8,10,1,0,Livingston,2,0,10,6,3,12,3,0,R Hardie,H,H,2.68,3.3,2.51,2.05,1.8,2.0,1.75,1.93,1.81,3.0,5.0,11.0,7.0,2
2025-09-23,Dundee United,2,1,15,5,11,11,2,0,Aberdeen,0,0,16,2,3,11,1,0,S McLean,H,H,2.79,3.27,2.43,2.0,1.8,1.96,1.78,2.01,1.75,5.0,1.0,6.0,12.0,2
2025-09-23,Falkirk,2,1,7,6,5,11,2,0,Hibernian,2,2,16,8,5,13,0,0,C Scott,D,A,2.76,3.46,2.4,1.8,2.05,1.76,1.99,1.71,2.0,4.0,6.0,10.0,4.0,1
2025-09-27,Celtic,0,0,26,6,7,16,2,0,Hibernian,0,0,4,1,2,1,1,0,D Robertson,D,D,1.26,5.75,9.43,1.46,3.0,1.4,2.78,1.88,1.83,13.0,7.0,1.0,4.0,1
2025-09-27,Dundee United,0,0,18,7,9,8,4,0,Kilmarnock,2,1,17,7,6,12,2,0,R Hardie,A,A,2.08,3.4,3.36,2.05,1.95,1.94,1.8,1.76,1.97,8.0,4.0,3.0,10.0,0
2025-09-27,Hearts,3,2,20,10,9,7,0,0,Falkirk,0,0,10,3,5,11,1,0,L Wilson,H,H,1.6,4.01,5.07,1.73,2.12,1.7,2.07,1.97,1.77,13.0,5.0,2.0,9.0,2
2025-09-27,St Mirren,1,1,10,4,5,12,3,0,Dundee,0,0,11,4,5,7,2,0,M MacDermid,H,H,1.58,3.92,5.42,1.95,1.98,1.86,1.87,1.98,1.76,6.0,6.0,6.0,7.0,2
2025-09-27,Motherwell,2,0,10,3,3,10,0,0,Aberdeen,0,0,10,4,4,18,3,0,R Lee,H,D,2.14,3.43,3.2,1.93,1.93,1.88,1.86,1.81,1.91,5.0,1.0,8.0,12.0,2
2025-09-28,Livingston,1,0,9,3,4,18,4,0,Rangers,2,1,15,7,8,11,1,0,J Beaton,A,A,4.58,3.94,1.66,1.73,2.16,1.68,2.09,1.91,1.82,5.0,4.0,9.0,11.0,0
2025-10-04,Hearts,1,0,11,3,4,10,2,0,Hibernian,0,0,5,1,2,10,1,0,D Dickinson,H,D,1.82,3.64,4.05,1.84,2.08,1.77,1.97,1.8,1.93,16.0,8.0,1.0,6.0,2
2025-10-04,Kilmarnock,2,2,9,5,4,8,1,0,St Mirren,0,0,7,0,9,21,2,0,N Walsh,H,H,2.74,3.22,2.52,2.1,1.78,2.01,1.75,1.94,1.79,7.0,9.0,7.0,3.0,2
2025-10-04,Dundee United,1,0,19,6,4,16,1,0,Livingston,1,1,7,4,5,11,1,0,D Nicolson,D,A,1.93,3.52,3.7,1.93,1.93,1.85,1.88,1.9,1.83,8.0,5.0,6.0,10.0,1
2025-10-05,Aberdeen,4,3,20,9,11,16,1,0,Dundee,0,0,8,2,2,7,0,0,D Robertson,H,H,1.71,3.72,4.54,1.95,1.91,1.9,1.85,1.87,1.85,1.0,6.0,12.0,9.0,2
2025-10-05,Celtic,3,1,16,9,10,17,2,0,Motherwell,2,1,5,3,0,11,0,0,C Scott,H,D,1.19,6.97,12.21,1.4,3.05,1.37,2.93,1.84,1.9,14.0,8.0,2.0,6.0,2
2025-10-05,Falkirk,1,0,16,4,7,15,1,0,Rangers,1,1,11,2,6,16,4,0,M MacDermid,D,A,4.04,4.01,1.74,1.62,2.3,1.59,2.25,1.82,1.9,5.0,7.0,11.0,8.0,1
2025-10-18,Hibernian,4,1,23,12,7,11,1,0,Livingston,0,0,8,2,10,14,2,0,R Lee,H,H,1.52,4.24,5.6,1.73,2.12,1.69,2.08,1.86,1.87,8.0,6.0,7.0,9.0,2
2025-10-18,Motherwell,1,1,15,5,6,14,1,0,Falkirk,2,0,9,5,4,19,5,0,S McLean,A,H,1.94,3.63,3.57,1.73,2.1,1.71,2.05,1.9,1.82,8.0,6.0,7.0,9.0,0
2025-10-18,Rangers,2,1,29,8,7,12,0,0,Dundee United,2,0,10,4,2,14,4,0,D Robertson,D,H,1.39,5.01,6.78,1.57,2.5,1.53,2.4,1.8,1.92,8.0,9.0,9.0,5.0,1
2025-10-18,St Mirren,0,0,9,1,5,11,2,0,Aberdeen,1,0,17,4,2,13,4,0,L Wilson,A,D,2.42,3.31,2.81,2.1,1.81,1.99,1.76,2.04,1.7,9.0,4.0,7.0,12.0,0
2025-10-18,Kilmarnock,0,0,7,2,4,16,2,0,Hearts,3,1,19,5,5,12,2,0,R Hardie,A,A,4.16,3.6,1.81,1.93,1.93,1.89,1.84,1.96,1.78,10.0,19.0,4.0,1.0,0
2025-10-19,Dundee,2,2,10,2,2,6,2,0,Celtic,0,0,23,3,12,12,2,0,M MacDermid,H,H,10.81,6.32,1.22,1.45,2.75,1.43,2.68,1.94,1.78,6.0,17.0,11.0,2.0,2
2025-10-25,Livingston,1,1,11,4,0,18,2,0,Motherwell,2,0,15,2,3,11,2,0,N Walsh,A,H,3.36,3.47,2.06,1.83,2.03,1.79,1.95,1.97,1.72,6.0,8.0,12.0,10.0,0
2025-10-25,Dundee United,3,1,13,5,4,7,1,0,St Mirren,1,1,23,3,12,10,1,1,J Beaton,H,D,2.27,3.42,2.96,1.98,1.91,1.88,1.85,1.92,1.8,10.0,9.0,5.0,8.0,2
2025-10-25,Falkirk,2,0,12,5,5,11,2,0,Dundee,1,1,13,3,3,12,2,0,R Hardie,H,A,1.67,3.88,4.7,1.81,2.0,1.78,1.97,1.83,1.89,9.0,9.0,8.0,10.0,2
2025-10-26,Rangers,3,1,13,6,9,9,1,0,Kilmarnock,1,1,7,3,2,13,2,0,K Clancy,H,D,1.32,5.22,8.21,1.57,2.5,1.54,2.37,1.88,1.84,9.0,10.0,8.0,7.0,2
2025-10-26,Aberdeen,1,0,16,5,6,13,0,0,Hibernian,2,1,19,6,3,11,2,0,D Robertson,A,A,2.56,3.32,2.65,1.93,1.93,1.87,1.86,1.87,1.86,7.0,11.0,11.0,6.0,0
2025-10-26,Hearts,3,1,12,7,5,11,4,0,Celtic,1,1,8,2,9,10,1,0,S McLean,H,D,3.19,3.58,2.1,1.8,2.1,1.72,2.03,1.92,1.76,22.0,17.0,1.0,2.0,2
