Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,FTR,HTR,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2018-08-17,Albacete,1,0.0,15.0,4.0,2.0,16.0,2.0,0.0,La Coruna,1,0.0,8.0,2.0,3.0,12.0,5.0,1.0,D,D,0.0,0.0,1.0,10.0,1
2018-08-17,Cadiz,1,0.0,12.0,4.0,5.0,11.0,4.0,0.0,Almeria,0,0.0,3.0,1.0,1.0,16.0,4.0,0.0,H,D,0.0,0.0,5.0,4.0,2
2018-08-18,Alcorcon,1,0.0,12.0,4.0,2.0,14.0,1.0,0.0,Sp Gijon,1,0.0,13.0,8.0,1.0,16.0,0.0,0.0,D,D,0.0,0.0,4.0,19.0,1
2018-08-18,Cordoba,3,1.0,10.0,4.0,5.0,12.0,1.0,0.0,Numancia,3,0.0,15.0,6.0,7.0,11.0,2.0,0.0,D,H,0.0,0.0,6.0,15.0,1
2018-08-18,Elche,0,0.0,8.0,1.0,7.0,17.0,2.0,0.0,Granada,0,0.0,6.0,2.0,4.0,20.0,3.0,0.0,D,D,0.0,0.0,8.0,11.0,1
2018-08-18,Lugo,1,1.0,7.0,3.0,4.0,13.0,1.0,0.0,Malaga,2,0.0,13.0,4.0,7.0,17.0,2.0,0.0,A,H,0.0,0.0,13.0,14.0,0
2018-08-19,Las Palmas,2,1.0,5.0,3.0,1.0,10.0,2.0,0.0,Reus Deportiu,0,0.0,4.0,1.0,0.0,13.0,1.0,0.0,H,H,0.0,0.0,13.0,18.0,2
2018-08-19,Mallorca,1,1.0,13.0,6.0,9.0,16.0,5.0,0.0,Osasuna,0,0.0,8.0,3.0,1.0,14.0,1.0,0.0,H,H,0.0,0.0,14.0,15.0,2
2018-08-19,Oviedo,1,1.0,18.0,7.0,9.0,20.0,1.0,0.0,Extremadura UD,1,0.0,3.0,1.0,1.0,12.0,1.0,0.0,D,H,0.0,0.0,15.0,13.0,1
2018-08-19,Zaragoza,2,2.0,15.0,4.0,5.0,19.0,3.0,0.0,Rayo Majadahonda,1,0.0,7.0,3.0,3.0,14.0,1.0,0.0,H,H,0.0,0.0,18.0,16.0,2
2018-08-20,Gimnastic,1,1.0,8.0,4.0,6.0,20.0,5.0,0.0,Tenerife,1,0.0,18.0,6.0,3.0,12.0,2.0,0.0,D,H,0.0,0.0,16.0,17.0,1
2018-08-24,Extremadura UD,0,0.0,12.0,3.0,10.0,19.0,4.0,0.0,La Coruna,1,0.0,9.0,2.0,3.0,17.0,2.0,0.0,A,D,1.0,1.0,10.0,12.0,0
2018-08-24,Malaga,1,0.0,10.0,5.0,4.0,11.0,1.0,1.0,Alcorcon,0,0.0,6.0,2.0,1.0,18.0,3.0,1.0,H,D,3.0,1.0,3.0,10.0,2
2018-08-25,Reus Deportiu,0,0.0,7.0,1.0,2.0,12.0,1.0,0.0,Zaragoza,0,0.0,10.0,4.0,6.0,19.0,3.0,0.0,D,D,0.0,3.0,22.0,4.0,1
2018-08-25,Numancia,1,1.0,15.0,4.0,12.0,17.0,4.0,0.0,Cadiz,1,1.0,5.0,1.0,2.0,12.0,3.0,1.0,D,D,1.0,3.0,8.0,5.0,1
