Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,FTR,HTR,AvgH,AvgD,AvgA,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AvgAHH,AvgAHA,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2020-09-12,Ponferradina,1,1,10,2,3,10,0,0,Castellon,2,1,9,3,5,12,0,0,A,D,2.18,2.98,3.58,2.56,1.58,2.44,1.53,1.86,1.97,0.0,0.0,17.0,5.0,0
2020-09-12,Leganes,1,0,12,6,2,15,2,0,Las Palmas,0,0,9,1,2,16,4,1,H,D,1.9,3.2,4.27,2.48,1.61,2.4,1.55,1.91,1.9,0.0,0.0,10.0,9.0,2
2020-09-12,Sp Gijon,1,0,15,5,7,14,1,0,Logrones,0,0,3,1,2,10,1,0,H,D,1.99,3.09,4.04,2.59,1.6,2.45,1.52,1.99,1.83,0.0,0.0,17.0,10.0,2
2020-09-12,Espanol,3,2,19,6,8,12,0,0,Albacete,0,0,7,1,5,14,2,0,H,H,1.66,3.43,5.62,2.43,1.63,2.33,1.58,1.88,1.94,0.0,0.0,8.0,4.0,2
2020-09-13,Oviedo,0,0,16,6,7,23,2,0,Cartagena,0,0,7,0,3,15,4,0,D,D,2.15,3.03,3.56,2.64,1.56,2.51,1.5,1.85,1.97,0.0,0.0,14.0,7.0,1
2020-09-13,Mallorca,0,0,7,4,6,17,1,0,Vallecano,1,0,11,5,4,20,4,0,A,D,2.36,3.18,2.97,2.25,1.76,2.12,1.69,2.04,1.79,0.0,0.0,13.0,17.0,0
2020-09-13,Fuenlabrada,2,0,8,4,3,11,1,0,Lugo,0,0,4,1,0,18,3,0,H,D,2.16,3.0,3.59,2.58,1.59,2.44,1.53,1.86,1.96,0.0,0.0,10.0,12.0,2
2020-09-13,Mirandes,0,0,8,4,5,18,3,0,Alcorcon,0,0,6,3,3,9,1,0,D,D,2.81,2.95,2.62,2.51,1.65,2.4,1.54,1.98,1.85,0.0,0.0,13.0,9.0,1
2020-09-13,Tenerife,2,1,10,3,1,26,2,0,Malaga,0,0,6,2,2,16,3,0,H,H,1.79,3.32,4.7,2.49,1.64,2.37,1.55,1.79,2.03,0.0,0.0,15.0,13.0,2
2020-09-19,Castellon,0,0,8,1,3,15,3,0,Malaga,1,1,7,2,3,18,7,0,A,A,2.29,2.75,3.7,3.0,1.46,2.82,1.41,1.92,1.9,3.0,0.0,4.0,21.0,0
2020-09-19,Vallecano,2,0,13,4,6,16,1,0,Sabadell,1,1,7,2,1,17,3,0,H,A,1.65,3.54,5.42,2.19,1.77,2.11,1.71,1.89,1.94,3.0,0.0,6.0,15.0,2
2020-09-19,Mirandes,1,0,13,5,4,17,3,0,Oviedo,1,0,6,2,2,17,3,0,D,D,2.68,2.83,2.91,2.63,1.56,2.49,1.51,1.83,2.0,1.0,1.0,11.0,12.0,1
2020-09-19,Alcorcon,2,0,9,4,3,13,0,0,Tenerife,0,0,10,3,4,18,3,0,H,D,2.57,2.75,3.17,2.73,1.53,2.59,1.47,1.73,2.13,1.0,3.0,11.0,4.0,2
2020-09-20,Lugo,2,0,10,4,6,14,3,0,Leganes,1,1,13,3,4,10,2,0,H,A,3.91,2.95,2.1,2.77,1.53,2.64,1.46,2.04,1.8,0.0,3.0,21.0,5.0,2
2020-09-20,Espanol,0,0,9,3,3,18,3,1,Mallorca,0,0,7,3,2,17,2,0,D,D,1.73,3.31,5.2,2.33,1.71,2.23,1.63,1.99,1.83,3.0,0.0,3.0,21.0,1
2020-09-20,Albacete,0,0,8,0,3,13,4,1,Ponferradina,2,1,14,4,3,16,2,0,A,A,2.29,2.91,3.4,2.77,1.54,2.62,1.47,1.96,1.86,0.0,0.0,22.0,18.0,0
2020-09-20,Cartagena,0,0,10,3,4,15,3,1,Sp Gijon,1,0,10,3,5,15,1,0,A,D,2.96,2.7,2.74,2.73,1.54,2.57,1.48,1.98,1.84,1.0,3.0,14.0,6.0,0
2020-09-20,Las Palmas,3,1,12,7,2,26,6,0,Fuenlabrada,3,0,15,5,5,15,3,0,D,H,2.42,2.92,3.16,2.7,1.55,2.57,1.49,2.05,1.78,0.0,3.0,20.0,5.0,1
2020-09-26,Zaragoza,2,1,7,1,6,17,6,1,Las Palmas,2,1,10,5,2,19,3,1,D,D,1.9,3.1,4.52,2.88,1.49,2.72,1.44,1.91,1.91,0.0,1.0,19.0,14.0,1
2020-09-26,Logrones,1,0,17,4,12,13,0,0,Castellon,1,0,5,1,2,14,3,1,D,D,2.42,2.87,3.22,2.7,1.53,2.55,1.49,2.04,1.79,0.0,3.0,21.0,7.0,1
2020-09-26,Malaga,1,1,8,1,3,15,1,0,Alcorcon,0,0,5,2,0,19,2,1,H,H,2.6,2.8,3.03,2.95,1.44,2.79,1.41,1.77,2.08,3.0,4.0,11.0,5.0,2
2020-09-26,Sp Gijon,2,0,10,3,5,8,2,1,Girona,0,0,23,9,11,8,2,1,H,D,2.64,2.9,2.88,2.79,1.52,2.64,1.46,1.83,2.01,6.0,0.0,2.0,20.0,2
2020-09-26,Fuenlabrada,1,0,13,6,5,21,2,0,Albacete,0,0,4,1,4,16,3,0,H,D,1.98,2.96,4.37,2.95,1.47,2.78,1.42,1.99,1.83,4.0,0.0,5.0,22.0,2
2020-09-27,Tenerife,1,1,10,5,2,15,2,2,Mirandes,2,1,9,2,8,7,2,0,A,D,1.88,3.17,4.44,2.69,1.53,2.57,1.48,1.89,1.93,3.0,2.0,10.0,12.0,0
2020-09-27,Ponferradina,3,3,7,4,2,23,1,0,Vallecano,0,0,10,3,8,14,3,0,H,H,3.1,2.92,2.46,2.52,1.61,2.38,1.55,2.14,1.72,3.0,6.0,9.0,3.0,2
2020-09-27,Leganes,3,3,14,5,2,13,4,0,Cartagena,1,0,11,5,4,9,2,0,H,H,1.79,3.21,5.02,2.8,1.51,2.67,1.45,2.07,1.76,3.0,1.0,10.0,17.0,2
2020-09-27,Mallorca,1,0,16,5,6,11,1,0,Sabadell,0,0,12,2,2,18,4,1,H,D,1.72,3.39,5.15,2.41,1.65,2.31,1.58,1.97,1.86,1.0,0.0,17.0,20.0,2
2020-09-27,Lugo,0,0,7,0,6,19,0,0,Almeria,2,2,10,4,2,17,4,1,A,A,2.81,2.98,2.64,2.7,1.53,2.56,1.48,1.97,1.86,3.0,0.0,13.0,19.0,0
2020-09-27,Oviedo,0,0,7,2,7,17,2,0,Espanol,2,0,5,2,4,12,0,0,A,D,3.96,2.89,2.12,2.64,1.57,2.5,1.51,2.04,1.78,2.0,4.0,15.0,8.0,0
2020-10-03,Alcorcon,0,0,7,0,7,5,1,0,Zaragoza,0,0,12,1,7,10,1,1,D,D,2.65,2.83,2.93,2.56,1.6,2.42,1.54,1.82,2.01,4.0,1.0,9.0,17.0,1
2020-10-03,Mirandes,0,0,6,1,3,21,3,0,Ponferradina,1,0,10,4,5,9,2,0,A,D,2.47,2.8,3.22,2.63,1.56,2.5,1.5,2.08,1.77,5.0,6.0,8.0,4.0,0
2020-10-03,Albacete,1,0,11,4,7,17,5,0,Oviedo,1,1,5,3,2,22,5,2,D,A,2.57,2.82,3.04,2.76,1.52,2.62,1.46,1.77,2.08,0.0,2.0,22.0,17.0,1
2020-10-03,Mallorca,2,1,8,2,3,12,1,0,Tenerife,0,0,18,6,4,10,2,0,H,H,1.99,2.98,4.32,2.62,1.56,2.51,1.51,1.98,1.84,4.0,3.0,11.0,13.0,2
2020-10-03,Las Palmas,2,0,10,3,7,21,4,0,Logrones,1,0,7,3,4,19,1,0,H,D,1.89,3.07,4.63,2.83,1.49,2.68,1.44,1.91,1.91,2.0,1.0,17.0,18.0,2
2020-10-03,Vallecano,4,2,13,7,8,17,1,0,Malaga,0,0,7,2,2,16,1,0,H,H,1.9,3.12,4.44,2.66,1.54,2.53,1.49,1.9,1.92,6.0,6.0,8.0,7.0,2
2020-10-04,Girona,0,0,6,0,6,14,4,0,Fuenlabrada,1,1,9,2,3,15,4,1,A,A,2.18,2.87,3.77,2.89,1.48,2.76,1.42,1.85,1.98,0.0,7.0,22.0,5.0,0
2020-10-04,Sabadell,0,0,7,2,7,11,1,0,Espanol,1,0,15,7,5,12,2,0,A,D,5.0,3.22,1.78,2.58,1.57,2.47,1.52,1.77,2.06,0.0,7.0,21.0,5.0,0
2020-10-04,Almeria,0,0,11,3,9,12,0,0,Sp Gijon,1,0,4,3,2,16,6,0,A,D,2.19,3.03,3.48,2.78,1.51,2.66,1.45,1.87,1.95,3.0,9.0,13.0,4.0,0
2020-10-04,Castellon,2,1,8,3,5,17,2,0,Leganes,0,0,15,6,10,9,1,0,H,H,3.45,2.86,2.3,2.6,1.56,2.5,1.5,1.88,1.94,4.0,6.0,12.0,7.0,2
2020-10-04,Cartagena,2,1,11,6,3,18,3,0,Lugo,1,0,11,5,8,12,5,0,H,H,2.63,2.91,2.85,2.72,1.52,2.6,1.47,1.84,1.98,1.0,3.0,19.0,16.0,2
2020-10-10,Tenerife,1,0,4,2,1,24,1,0,Vallecano,0,0,12,2,8,14,2,0,H,D,2.71,2.85,2.84,2.51,1.62,2.39,1.56,1.88,1.96,3.0,9.0,16.0,5.0,2
2020-10-10,Logrones,1,0,6,2,7,19,0,0,Almeria,0,0,4,0,4,18,3,0,H,D,2.94,2.82,2.66,2.63,1.57,2.49,1.51,2.03,1.81,1.0,3.0,19.0,15.0,2
2020-10-10,Espanol,1,0,13,5,6,9,0,0,Alcorcon,0,0,8,3,2,13,2,0,H,D,1.58,3.71,5.92,2.31,1.7,2.22,1.64,1.79,2.07,10.0,5.0,2.0,11.0,2
2020-10-10,Sabadell,0,0,6,1,6,14,2,0,Mirandes,2,0,9,5,7,13,0,0,A,D,3.13,2.8,2.54,2.66,1.58,2.49,1.52,1.73,2.14,0.0,5.0,21.0,12.0,0
2020-10-11,Fuenlabrada,1,1,12,5,5,21,3,0,Castellon,1,0,12,2,9,6,2,1,D,H,1.98,2.98,4.34,2.68,1.55,2.54,1.49,1.98,1.85,10.0,7.0,3.0,7.0,1
2020-10-11,Lugo,0,0,3,2,2,15,6,2,Mallorca,1,0,9,3,3,21,4,0,A,D,3.05,2.91,2.48,2.6,1.58,2.48,1.51,1.74,2.11,3.0,7.0,18.0,8.0,0
2020-10-11,Leganes,0,0,15,2,8,18,5,0,Girona,1,1,9,4,3,27,5,0,A,A,2.15,2.86,3.83,2.87,1.54,2.69,1.44,1.83,1.99,6.0,0.0,9.0,21.0,0
2020-10-11,Malaga,0,0,12,1,5,12,3,0,Las Palmas,0,0,11,2,0,20,2,1,D,D,2.57,2.98,2.87,2.72,1.54,2.58,1.48,1.81,2.02,6.0,5.0,11.0,12.0,1
2020-10-11,Zaragoza,1,0,12,3,8,14,3,0,Albacete,0,0,7,3,8,13,2,0,H,D,1.95,3.13,4.09,2.53,1.6,2.41,1.54,1.97,1.84,2.0,1.0,20.0,21.0,2
2020-10-11,Ponferradina,0,0,8,2,3,14,3,0,Cartagena,2,0,11,4,7,16,4,0,A,D,2.86,2.66,2.89,3.1,1.44,2.92,1.38,1.89,1.93,9.0,4.0,5.0,16.0,0
2020-10-11,Oviedo,1,1,12,2,2,13,2,0,Sp Gijon,0,0,11,3,2,10,2,0,H,H,3.15,2.8,2.5,2.93,1.47,2.82,1.41,2.13,1.72,3.0,12.0,18.0,2.0,2
2020-10-17,Albacete,3,1,10,6,3,7,1,0,Sabadell,0,0,10,4,4,14,1,0,H,H,2.29,2.88,3.49,2.71,1.58,2.57,1.48,1.95,1.89,1.0,0.0,21.0,22.0,2
2020-10-17,Castellon,0,0,8,1,7,12,2,0,Lugo,1,0,12,4,2,13,3,0,A,D,2.17,2.87,3.82,2.65,1.57,2.5,1.51,1.84,2.0,8.0,3.0,7.0,21.0,0
2020-10-17,Cartagena,1,0,7,1,4,17,3,0,Fuenlabrada,1,0,13,4,4,26,5,0,D,D,2.78,2.74,2.88,2.88,1.49,2.7,1.44,1.89,1.95,7.0,11.0,9.0,3.0,1
2020-10-17,Las Palmas,2,1,9,4,4,21,3,0,Almeria,0,0,8,3,2,19,3,0,H,H,2.62,2.84,2.98,2.68,1.54,2.55,1.49,1.81,2.03,6.0,3.0,11.0,20.0,2
2020-10-17,Logrones,0,0,13,3,7,19,1,0,Leganes,1,1,9,3,4,17,3,0,A,A,3.37,2.74,2.44,2.84,1.54,2.65,1.45,1.78,2.07,4.0,6.0,18.0,12.0,0
2020-10-18,Sp Gijon,1,0,5,3,2,13,1,0,Tenerife,1,0,10,3,5,10,3,0,D,D,2.29,2.83,3.54,2.77,1.52,2.62,1.46,1.93,1.9,12.0,6.0,3.0,14.0,1
