Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,FTR,HTR,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2010-08-28,Hercules,0,0,9,3,10,15,2,1,Ath Bilbao,1,0,14,5,1,18,4,0,A,D,0.0,0.0,7.0,2.0,0
2010-08-28,Levante,1,1,7,4,4,20,4,0,Sevilla,4,2,14,8,2,22,4,0,A,A,0.0,0.0,8.0,14.0,0
2010-08-28,Malaga,1,1,19,5,7,16,2,0,Valencia,3,1,21,8,10,15,5,0,A,D,0.0,0.0,9.0,16.0,0
2010-08-29,Espanol,3,1,17,8,8,17,3,0,Getafe,1,0,13,1,4,9,4,0,H,H,0.0,0.0,7.0,8.0,2
2010-08-29,La Coruna,0,0,8,2,4,16,0,0,Zaragoza,0,0,8,3,6,19,1,0,D,D,0.0,0.0,8.0,16.0,1
2010-08-29,Mallorca,0,0,7,2,1,16,2,0,Real Madrid,0,0,16,5,4,15,2,0,D,D,0.0,0.0,10.0,12.0,1
2010-08-29,Osasuna,0,0,13,2,9,22,4,0,Almeria,0,0,3,0,3,18,1,1,D,D,0.0,0.0,12.0,9.0,1
2010-08-29,Santander,0,0,11,7,6,21,4,0,Barcelona,3,2,9,5,5,14,1,0,A,A,0.0,0.0,13.0,12.0,0
2010-08-29,Sociedad,1,0,10,3,7,15,3,0,Villarreal,0,0,23,5,4,21,3,0,H,D,0.0,0.0,13.0,15.0,2
2010-08-30,Ath Madrid,4,2,16,7,2,13,3,0,Sp Gijon,0,0,18,8,3,22,3,0,H,H,0.0,0.0,13.0,14.0,2
2010-09-11,Valencia,1,1,14,5,6,19,4,0,Santander,0,0,15,7,8,15,2,0,H,H,3.0,0.0,5.0,19.0,2
2010-09-11,Real Madrid,1,0,25,7,9,20,2,0,Osasuna,0,0,4,1,3,27,2,0,H,D,1.0,1.0,12.0,11.0,2
2010-09-11,Ath Bilbao,1,0,18,3,6,22,4,0,Ath Madrid,2,1,11,5,1,13,5,0,A,A,3.0,3.0,7.0,3.0,0
2010-09-11,Barcelona,0,0,17,9,14,7,2,0,Hercules,2,1,9,7,2,8,2,0,A,A,3.0,0.0,5.0,14.0,0
2010-09-12,Getafe,4,2,21,10,13,19,3,0,Levante,1,1,7,2,7,14,4,0,H,H,0.0,0.0,16.0,18.0,2
2010-09-12,Sevilla,0,0,26,10,8,9,3,0,La Coruna,0,0,12,2,5,12,3,0,D,D,3.0,1.0,4.0,12.0,1
2010-09-12,Sp Gijon,2,0,12,6,2,19,2,0,Mallorca,0,0,9,1,2,11,2,1,H,D,0.0,1.0,19.0,13.0,2
2010-09-12,Villarreal,4,2,11,5,3,16,6,0,Espanol,0,0,15,5,8,19,6,1,H,H,0.0,3.0,17.0,5.0,2
2010-09-12,Zaragoza,3,1,32,10,10,11,2,0,Malaga,5,5,12,8,1,13,2,0,A,A,1.0,0.0,15.0,18.0,0
2010-09-13,Almeria,2,1,18,7,6,17,4,0,Sociedad,2,2,15,6,4,13,2,0,D,A,1.0,3.0,15.0,9.0,1
2010-09-18,Sp Gijon,2,2,10,5,5,15,3,0,Ath Bilbao,2,1,17,7,6,13,3,0,D,H,3.0,3.0,13.0,11.0,1
2010-09-18,Sociedad,1,0,10,1,8,13,1,0,Real Madrid,2,0,22,10,3,15,2,0,A,D,4.0,4.0,4.0,5.0,0
2010-09-18,Espanol,1,0,13,4,7,23,3,0,Almeria,0,0,4,1,2,12,3,0,H,D,3.0,2.0,13.0,14.0,2
2010-09-18,Mallorca,2,1,13,5,6,8,0,0,Osasuna,0,0,12,4,5,20,2,0,H,H,1.0,1.0,18.0,16.0,2
2010-09-19,Ath Madrid,1,1,7,4,6,21,4,1,Barcelona,2,2,16,8,6,15,5,0,A,A,6.0,3.0,2.0,12.0,0
2010-09-19,Hercules,1,1,13,7,5,12,2,0,Valencia,2,2,8,4,1,12,4,1,A,A,3.0,6.0,13.0,3.0,0
2010-09-19,Levante,1,0,15,2,6,9,1,0,Villarreal,2,2,8,5,2,17,1,0,A,A,0.0,3.0,20.0,11.0,0
2010-09-19,Malaga,1,1,8,5,3,13,2,0,Sevilla,2,2,19,6,8,22,6,0,A,A,3.0,4.0,13.0,7.0,0
2010-09-19,Santander,2,0,8,4,3,14,1,0,Zaragoza,0,0,7,1,2,22,4,0,H,D,0.0,1.0,19.0,17.0,2
2010-09-20,La Coruna,2,0,26,11,5,7,1,0,Getafe,2,1,12,2,7,13,4,1,D,A,2.0,3.0,16.0,12.0,1
2010-09-21,Real Madrid,3,1,20,7,8,15,2,1,Espanol,0,0,9,3,5,11,2,2,H,H,7.0,6.0,3.0,7.0,2
2010-09-21,Ath Bilbao,3,1,12,6,9,22,1,0,Mallorca,0,0,15,3,3,12,0,0,H,H,4.0,4.0,9.0,11.0,2
2010-09-21,Osasuna,3,2,17,5,7,22,3,0,Sociedad,1,1,8,2,5,10,2,0,H,H,1.0,4.0,18.0,10.0,2
2010-09-22,Zaragoza,0,0,20,5,8,22,4,0,Hercules,0,0,5,4,2,17,2,0,D,D,1.0,3.0,19.0,14.0,1
2010-09-22,Valencia,1,0,16,4,13,15,5,0,Ath Madrid,1,1,6,2,2,17,3,0,D,A,9.0,6.0,2.0,5.0,1
2010-09-22,Almeria,0,0,19,5,6,10,4,0,Levante,1,1,6,2,5,12,2,0,A,A,2.0,0.0,18.0,20.0,0
2010-09-22,Barcelona,1,0,16,5,8,14,2,0,Sp Gijon,0,0,3,0,4,15,5,0,H,D,6.0,4.0,7.0,13.0,2
2010-09-23,Getafe,0,0,24,7,10,21,1,1,Malaga,2,0,15,5,4,16,3,1,A,D,4.0,3.0,9.0,16.0,0
2010-09-23,Sevilla,1,1,14,4,9,14,0,0,Santander,1,0,13,4,5,13,2,0,D,H,7.0,3.0,5.0,17.0,1
