Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,FTR,HTR,AvgH,AvgD,AvgA,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AvgAHH,AvgAHA,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2024-08-15,Ath Bilbao,1,1,7,4,5,15,4,0,Getafe,1,0,9,2,6,12,1,0,D,H,1.51,4.04,7.61,2.34,1.71,2.24,1.67,1.9,1.96,0.0,0.0,2.0,8.0,1
2024-08-15,Betis,1,1,19,4,4,11,2,0,Girona,1,0,13,2,4,7,0,0,D,H,2.4,3.38,3.02,1.98,1.99,1.93,1.9,2.04,1.81,0.0,0.0,6.0,9.0,1
2024-08-16,Celta,2,0,6,4,3,8,3,0,Alaves,1,1,10,2,3,23,2,0,H,A,2.03,3.32,4.02,2.34,1.71,2.25,1.67,2.03,1.85,0.0,0.0,8.0,5.0,2
2024-08-16,Las Palmas,2,1,13,5,6,12,0,0,Sevilla,2,1,16,5,3,13,0,0,D,D,2.83,3.21,2.65,2.25,1.75,2.18,1.71,2.01,1.88,0.0,0.0,9.0,14.0,1
2024-08-17,Osasuna,1,0,16,5,6,14,3,0,Leganes,1,1,10,4,4,12,2,0,D,A,1.88,3.44,4.48,2.45,1.68,2.34,1.62,1.88,1.98,0.0,0.0,13.0,11.0,1
2024-08-17,Valencia,1,1,6,1,3,11,2,0,Barcelona,2,1,18,8,8,13,3,0,A,D,4.76,3.87,1.74,1.88,2.07,1.82,2.02,1.91,1.92,0.0,0.0,16.0,11.0,0
2024-08-18,Sociedad,1,0,11,5,10,14,2,0,Vallecano,2,0,12,5,5,21,4,0,A,D,1.59,3.74,6.63,2.44,1.65,2.34,1.61,2.06,1.8,0.0,0.0,15.0,17.0,0
2024-08-18,Mallorca,1,0,12,5,8,11,1,0,Real Madrid,1,1,13,4,7,6,0,1,D,A,7.33,4.34,1.47,2.0,1.97,1.92,1.91,2.08,1.78,0.0,0.0,14.0,15.0,1
2024-08-19,Valladolid,1,1,12,3,3,15,2,0,Espanol,0,0,10,2,2,8,2,0,H,H,2.36,3.1,3.34,2.43,1.66,2.33,1.61,1.99,1.85,0.0,0.0,16.0,15.0,2
2024-08-19,Villarreal,2,2,8,3,2,6,1,0,Ath Madrid,2,2,10,5,3,10,3,0,D,D,3.33,3.67,2.12,1.76,2.27,1.7,2.19,2.01,1.82,0.0,0.0,16.0,15.0,1
