Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,FTR,HTR,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2018-08-10,Ankaragucu,1,1,3,1,2,15,2,0,Galatasaray,3,2,12,4,4,9,2,0.0,A,A,0.0,0.0,3.0,10.0,0
2018-08-11,Fenerbahce,2,2,7,2,4,12,3,0,Bursaspor,1,1,6,3,4,15,3,0.0,H,H,0.0,0.0,9.0,6.0,2
2018-08-11,Rizespor,2,1,8,5,3,13,2,0,Kasimpasa,3,0,14,6,6,14,1,0.0,A,H,0.0,0.0,13.0,10.0,0
2018-08-11,Sivasspor,1,0,12,5,4,13,1,0,Alanyaspor,0,0,9,3,7,16,3,0.0,H,D,0.0,0.0,13.0,5.0,2
2018-08-12,Besiktas,2,2,13,4,12,17,3,0,Akhisar Belediyespor,1,0,8,4,3,16,6,0.0,H,H,0.0,0.0,7.0,5.0,2
2018-08-12,Buyuksehyr,2,1,15,5,9,16,2,0,Trabzonspor,0,0,8,0,2,15,2,0.0,H,H,0.0,0.0,7.0,12.0,2
2018-08-12,Goztep,1,0,10,4,4,11,4,2,Yeni Malatyaspor,3,1,6,3,0,11,5,1.0,A,A,0.0,0.0,9.0,12.0,0
2018-08-12,Konyaspor,3,2,16,9,4,11,1,0,Erzurum BB,2,1,6,4,7,14,2,0.0,H,H,0.0,0.0,11.0,9.0,2
2018-08-13,Kayserispor,2,1,8,5,6,16,0,0,Antalyaspor,0,0,4,1,2,8,2,1.0,H,H,0.0,0.0,10.0,9.0,2
2018-08-17,Trabzonspor,3,3,10,8,8,12,1,0,Sivasspor,1,1,12,3,5,19,4,0.0,H,H,0.0,3.0,18.0,9.0,2
2018-08-18,Antalyaspor,3,1,12,9,7,17,1,0,Konyaspor,3,2,10,4,3,19,5,1.0,D,A,0.0,3.0,18.0,6.0,1
