Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,FTR,HTR,AvgH,AvgD,AvgA,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AvgAHH,AvgAHA,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2020-09-11,Rizespor,1,0,9,3,3,11,1,0,Fenerbahce,2,0,17,8,11,12,2,0,A,D,3.77,3.66,1.9,1.85,2.12,1.77,2.04,1.92,1.91,0.0,0.0,18.0,8.0,0
2020-09-12,Karagumruk,3,1,7,6,8,19,4,0,Yeni Malatyaspor,0,0,20,7,6,10,3,0,H,H,2.79,3.35,2.43,1.92,2.03,1.84,1.95,2.05,1.79,0.0,0.0,14.0,20.0,2
2020-09-12,Sivasspor,0,0,10,4,7,14,4,0,Alanyaspor,2,1,12,6,6,11,2,0,A,A,2.25,3.53,2.93,1.73,2.27,1.67,2.17,1.99,1.85,0.0,0.0,18.0,3.0,0
2020-09-12,Galatasaray,3,3,23,12,8,13,2,0,Gaziantep,1,0,9,2,6,12,3,0,H,H,1.5,4.32,5.92,1.67,2.36,1.62,2.27,1.84,1.99,0.0,0.0,10.0,11.0,2
2020-09-12,Goztep,5,3,10,6,4,15,0,0,Denizlispor,1,0,8,1,6,13,3,0,H,H,2.21,3.31,3.2,2.2,1.8,2.09,1.73,1.92,1.91,0.0,0.0,12.0,9.0,2
2020-09-13,Ankaragucu,1,0,8,5,6,16,3,0,Erzurum BB,2,0,12,4,3,12,0,0,A,D,2.45,3.23,2.82,2.13,1.82,2.05,1.75,1.78,2.05,0.0,0.0,6.0,10.0,0
2020-09-13,Kayserispor,1,1,6,2,1,12,3,0,Kasimpasa,0,0,12,3,6,16,2,0,H,H,2.7,3.45,2.44,1.8,2.16,1.75,2.07,2.01,1.82,0.0,0.0,13.0,12.0,2
2020-09-13,Antalyaspor,2,1,9,5,2,12,1,0,Genclerbirligi,0,0,6,1,3,18,1,0,H,H,2.18,3.36,3.18,1.76,2.19,1.71,2.11,1.9,1.92,0.0,0.0,8.0,11.0,2
2020-09-13,Trabzonspor,1,0,8,4,4,7,3,1,Besiktas,3,1,12,5,3,17,2,0,A,A,2.1,3.48,3.29,1.65,2.38,1.6,2.3,1.84,1.99,0.0,0.0,13.0,9.0,0
2020-09-14,Hatayspor,2,1,12,6,1,13,1,0,Buyuksehyr,0,0,15,2,6,14,2,0,H,H,4.62,3.57,1.74,2.06,1.88,1.99,1.8,1.85,1.97,0.0,0.0,11.0,10.0,2
2020-09-18,Yeni Malatyaspor,1,1,14,1,5,13,0,0,Goztep,1,1,3,1,6,19,0,0,D,D,2.64,3.36,2.55,1.93,2.05,1.84,1.97,1.94,1.9,0.0,3.0,20.0,1.0,1
2020-09-19,Besiktas,1,1,12,3,5,18,5,0,Antalyaspor,1,0,8,4,3,26,4,0,D,H,1.6,4.12,5.1,1.65,2.41,1.61,2.3,2.02,1.81,3.0,3.0,3.0,6.0,1
2020-09-19,Alanyaspor,2,1,18,8,5,10,1,0,Kayserispor,0,0,10,1,1,12,3,0,H,H,1.44,4.43,6.71,1.76,2.18,1.72,2.11,2.04,1.81,3.0,3.0,6.0,10.0,2
2020-09-19,Genclerbirligi,0,0,12,1,6,10,0,0,Konyaspor,0,0,10,1,1,13,3,0,D,D,2.32,3.22,3.07,2.25,1.73,2.18,1.68,2.01,1.84,0.0,0.0,19.0,12.0,1
2020-09-19,Denizlispor,0,0,9,2,7,17,3,1,Trabzonspor,0,0,13,4,7,13,0,0,D,D,3.6,3.69,1.93,1.81,2.17,1.74,2.08,1.9,1.93,0.0,0.0,21.0,18.0,1
2020-09-20,Erzurum BB,1,0,7,3,2,14,0,0,Sivasspor,2,0,9,3,7,9,0,0,A,D,2.9,3.16,2.46,2.06,1.88,1.99,1.81,2.07,1.78,3.0,0.0,8.0,21.0,0
2020-09-20,Kasimpasa,2,1,16,7,5,14,3,1,Rizespor,0,0,11,6,8,9,1,0,H,H,1.89,3.71,3.72,1.7,2.29,1.65,2.21,1.91,1.92,0.0,0.0,19.0,18.0,2
2020-09-20,Buyuksehyr,0,0,12,5,5,16,3,0,Galatasaray,2,1,12,6,2,15,1,0,A,A,2.31,3.43,2.9,1.84,2.1,1.79,2.01,2.03,1.81,0.0,3.0,20.0,6.0,0
2020-09-20,Gaziantep,2,0,14,9,7,15,2,0,Karagumruk,2,1,11,4,7,14,2,0,D,A,2.07,3.29,3.57,1.88,2.03,1.83,1.96,1.8,2.04,0.0,3.0,19.0,6.0,1
2020-09-21,Fenerbahce,0,0,12,4,3,15,1,0,Hatayspor,0,0,0,0,1,14,6,2,D,D,1.48,4.34,6.12,1.61,2.48,1.55,2.38,2.08,1.76,3.0,3.0,8.0,7.0,1
2020-09-25,Karagumruk,2,0,5,3,2,8,2,0,Buyuksehyr,0,0,13,4,2,11,3,1,H,D,4.2,3.65,1.81,1.83,2.15,1.76,2.05,1.78,2.07,4.0,0.0,4.0,21.0,2
2020-09-26,Kayserispor,1,0,12,2,5,15,1,0,Erzurum BB,3,2,13,8,5,21,3,0,A,A,2.43,3.24,2.88,2.11,1.88,1.99,1.81,1.76,2.09,3.0,3.0,12.0,10.0,0
2020-09-26,Goztep,2,0,13,4,2,19,3,0,Gaziantep,2,1,9,4,4,10,1,0,D,A,2.08,3.34,3.53,1.86,2.05,1.8,1.98,1.79,2.05,4.0,1.0,5.0,14.0,1
2020-09-26,Hatayspor,1,0,11,3,6,14,2,0,Kasimpasa,0,0,6,3,3,16,3,0,H,D,2.55,3.4,2.63,1.92,2.03,1.84,1.95,1.89,1.93,4.0,3.0,8.0,10.0,2
2020-09-26,Trabzonspor,3,3,10,4,5,9,1,0,Yeni Malatyaspor,1,0,9,4,5,14,2,0,H,H,1.51,4.23,5.87,1.65,2.41,1.6,2.29,1.87,1.95,1.0,1.0,15.0,17.0,2
2020-09-27,Galatasaray,0,0,9,5,5,16,7,0,Fenerbahce,0,0,15,1,9,14,4,0,D,D,2.09,3.44,3.34,1.86,2.18,1.72,2.1,1.82,2.01,6.0,4.0,3.0,9.0,1
2020-09-27,Sivasspor,0,0,13,3,6,16,1,0,Ankaragucu,0,0,2,2,2,17,2,0,D,D,1.52,4.21,5.69,1.84,2.16,1.77,2.02,1.93,1.89,3.0,0.0,12.0,19.0,1
2020-09-27,Rizespor,1,0,11,4,4,15,2,0,Alanyaspor,1,0,12,3,6,19,1,0,D,D,3.06,3.57,2.17,1.74,2.23,1.68,2.15,1.9,1.92,0.0,6.0,20.0,4.0,1
2020-09-27,Konyaspor,4,1,10,4,3,12,4,0,Besiktas,1,0,10,2,4,17,4,0,H,H,3.52,3.34,2.06,2.0,1.93,1.92,1.86,2.03,1.79,1.0,4.0,15.0,8.0,2
2020-09-28,Antalyaspor,1,0,10,5,7,21,0,0,Denizlispor,0,0,5,2,3,11,2,0,H,D,2.02,3.24,3.77,2.17,1.81,2.08,1.72,1.75,2.09,4.0,1.0,9.0,19.0,2
2020-10-02,Ankaragucu,0,0,14,5,7,7,1,0,Kayserispor,1,1,12,3,2,15,2,0,A,A,1.97,3.48,3.69,1.88,2.08,1.8,2.0,1.99,1.86,1.0,3.0,16.0,14.0,0
2020-10-02,Gaziantep,1,0,10,2,5,16,4,0,Trabzonspor,1,0,4,3,6,11,2,1,D,D,3.03,3.59,2.19,1.62,2.51,1.57,2.37,1.91,1.93,2.0,4.0,15.0,11.0,1
2020-10-03,Yeni Malatyaspor,1,1,14,4,7,19,4,0,Antalyaspor,0,0,7,1,3,10,2,0,H,H,2.47,3.19,2.87,2.04,1.92,1.95,1.85,1.79,2.06,1.0,7.0,19.0,4.0,2
2020-10-03,Buyuksehyr,0,0,24,5,10,11,1,0,Goztep,0,0,2,0,3,12,2,0,D,D,1.81,3.73,4.06,1.83,2.18,1.73,2.09,1.82,2.02,0.0,5.0,21.0,8.0,1
2020-10-03,Erzurum BB,0,0,11,5,9,14,1,0,Rizespor,0,0,7,2,3,10,3,0,D,D,2.02,3.45,3.55,2.05,1.89,1.98,1.82,1.77,2.08,6.0,1.0,7.0,19.0,1
