Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,HST,AS,AST,AvgH,AvgD,AvgA,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2015-01-07,Sport Recife,Internacional,3.0,0.0,H,NA,NA,NA,NA,1.96,3.29,3.87,0,0,19,13,2
2015-01-07,Vasco,Avai,1.0,0.0,H,NA,NA,NA,NA,1.88,3.38,4.09,0,0,19,4,2
2015-01-08,Fluminense,Gremio,1.0,0.0,H,NA,NA,NA,NA,2.15,3.11,3.49,0,0,11,13,2
2015-01-11,Santos,Palmeiras,2.0,1.0,H,NA,NA,NA,NA,1.76,3.63,4.34,0,0,16,14,2
2015-01-11,Gremio,Flamengo RJ,2.0,0.0,H,NA,NA,NA,NA,1.68,3.52,5.24,0,0,19,12,2
2015-01-11,Chapecoense-SC,Athletico-PR,0.0,0.0,D,NA,NA,NA,NA,1.92,3.2,4.18,0,0,8,6,1
2015-01-11,Atletico-MG,Corinthians,0.0,3.0,A,NA,NA,NA,NA,1.82,3.54,4.18,0,0,8,9,0
2015-01-11,Goias,Internacional,2.0,1.0,H,NA,NA,NA,NA,2.21,3.18,3.29,0,0,12,20,2
2015-01-11,Vasco,Fluminense,0.0,1.0,A,NA,NA,NA,NA,2.28,3.12,3.18,3,3,7,6,0
2015-02-07,Atletico-MG,Coritiba,2.0,0.0,H,NA,NA,NA,NA,1.33,4.82,8.74,0,0,19,10,2
2015-02-07,Palmeiras,Chapecoense-SC,2.0,0.0,H,NA,NA,NA,NA,1.55,3.77,6.16,0,1,16,10,2
2015-02-07,Athletico-PR,Sao Paulo,2.0,1.0,H,NA,NA,NA,NA,2.29,3.14,3.15,1,0,10,16,2
2015-02-07,Gremio,Cruzeiro,1.0,0.0,H,NA,NA,NA,NA,1.89,3.3,4.14,3,0,7,12,2
2015-02-07,Corinthians,Ponte Preta,2.0,0.0,H,NA,NA,NA,NA,1.76,3.37,4.82,3,0,4,14,2
2015-02-07,Figueirense,Goias,3.0,1.0,H,NA,NA,NA,NA,2.14,3.05,3.6,0,3,12,7,2
2015-02-07,Joinville,Flamengo RJ,0.0,1.0,A,NA,NA,NA,NA,3.15,3.05,2.34,0,0,13,18,0
2015-02-08,Coritiba,Goias,1.0,1.0,D,NA,NA,NA,NA,1.93,3.19,4.14,0,3,18,10,1
2015-02-08,Palmeiras,Athletico-PR,0.0,1.0,A,NA,NA,NA,NA,1.49,3.99,6.73,3,4,8,4,0
2015-02-08,Figueirense,Ponte Preta,3.0,1.0,H,NA,NA,NA,NA,2.19,3.13,3.37,3,0,7,19,2
2015-02-08,Flamengo RJ,Santos,2.0,2.0,D,NA,NA,NA,NA,1.91,3.34,4.01,3,3,12,8,1
2015-02-08,Internacional,Chapecoense-SC,0.0,0.0,D,NA,NA,NA,NA,1.64,3.49,5.65,0,1,19,14,1
2015-02-08,Joinville,Avai,2.0,0.0,H,NA,NA,NA,NA,2.39,3.09,3.02,0,0,19,17,2
2015-02-08,Sport Recife,Cruzeiro,0.0,0.0,D,NA,NA,NA,NA,2.18,3.2,3.3,3,0,9,18,1
2015-02-09,Joinville,Sao Paulo,0.0,0.0,D,NA,NA,NA,NA,2.85,3.18,2.44,3,0,10,18,1
2015-02-09,Ponte Preta,Cruzeiro,1.0,2.0,A,NA,NA,NA,NA,2.3,3.11,3.13,0,1,20,16,0
2015-02-09,Internacional,Vasco,6.0,0.0,H,NA,NA,NA,NA,1.51,3.84,6.64,1,3,18,13,2
2015-03-06,Athletico-PR,Figueirense,1.0,0.0,H,NA,NA,NA,NA,1.64,3.48,5.73,7,6,1,3,2
2015-03-06,Chapecoense-SC,Joinville,2.0,0.0,H,NA,NA,NA,NA,1.65,3.52,5.46,2,4,16,9,2
2015-03-06,Vasco,Ponte Preta,0.0,3.0,A,NA,NA,NA,NA,2.41,3.11,2.98,3,0,16,20,0
2015-03-07,Fluminense,Santos,2.0,1.0,H,NA,NA,NA,NA,2.17,3.26,3.31,6,4,5,9,2
2015-03-09,Corinthians,Fluminense,2.0,0.0,H,NA,NA,NA,NA,1.76,3.36,4.8,6,9,3,2,2
2015-03-09,Flamengo RJ,Avai,3.0,0.0,H,NA,NA,NA,NA,1.59,3.72,5.79,4,0,12,20,2
2015-03-09,Santos,Chapecoense-SC,3.0,1.0,H,NA,NA,NA,NA,1.48,3.96,6.98,4,5,10,7,2
2015-03-09,Coritiba,Sport Recife,0.0,0.0,D,NA,NA,NA,NA,1.96,3.28,3.85,1,4,19,9,1
2015-03-09,Goias,Palmeiras,1.0,0.0,H,NA,NA,NA,NA,2.33,3.11,3.09,4,3,12,14,2
2015-03-09,Atletico-MG,Athletico-PR,0.0,1.0,A,NA,NA,NA,NA,1.4,4.41,7.72,3,10,15,1,0
2015-03-10,Coritiba,Atletico-MG,0.0,3.0,A,NA,NA,NA,NA,3.06,3.27,2.26,2,3,18,16,0
2015-03-10,Internacional,Sport Recife,2.0,1.0,H,NA,NA,NA,NA,1.68,3.6,5.0,4,5,12,10,2
2015-04-06,Cruzeiro,Flamengo RJ,1.0,0.0,H,NA,NA,NA,NA,1.83,3.41,4.26,4,7,13,6,2
2015-04-06,Fluminense,Coritiba,2.0,0.0,H,NA,NA,NA,NA,1.74,3.43,4.85,9,2,3,18,2
2015-04-06,Sao Paulo,Santos,3.0,2.0,H,NA,NA,NA,NA,1.86,3.38,4.16,1,7,19,5,2
2015-04-06,Gremio,Corinthians,3.0,1.0,H,NA,NA,NA,NA,2.11,3.06,3.66,6,9,10,3,2
2015-04-06,Avai,Atletico-MG,1.0,4.0,A,NA,NA,NA,NA,3.73,3.35,1.97,0,6,20,11,0
2015-04-07,Coritiba,Joinville,0.0,0.0,D,NA,NA,NA,NA,1.64,3.49,5.67,2,4,19,15,1
2015-04-09,Figueirense,Gremio,0.0,2.0,A,NA,NA,NA,NA,2.54,2.99,2.91,6,9,11,5,0
2015-04-10,Goias,Figueirense,2.0,3.0,A,NA,NA,NA,NA,1.63,3.53,5.7,7,6,10,11,0
2015-04-10,Cruzeiro,Gremio,0.0,0.0,D,NA,NA,NA,NA,2.06,3.19,3.67,7,12,10,2,1
2015-04-10,Sao Paulo,Athletico-PR,1.0,0.0,H,NA,NA,NA,NA,1.75,3.46,4.73,4,13,15,2,2
2015-04-10,Ponte Preta,Corinthians,2.0,2.0,D,NA,NA,NA,NA,3.06,3.11,2.35,3,9,17,4,1
2015-04-10,Santos,Fluminense,3.0,1.0,H,NA,NA,NA,NA,1.51,3.92,6.42,7,12,9,3,2
2015-04-10,Chapecoense-SC,Palmeiras,5.0,1.0,H,NA,NA,NA,NA,2.73,3.04,2.64,5,3,15,17,2
2015-04-10,Flamengo RJ,Joinville,2.0,0.0,H,NA,NA,NA,NA,1.4,4.28,8.09,7,5,11,15,2
2015-04-10,Avai,Vasco,1.0,1.0,D,NA,NA,NA,NA,2.02,3.25,3.71,0,3,20,19,1
2015-05-06,Palmeiras,Internacional,1.0,1.0,D,NA,NA,NA,NA,1.87,3.38,4.1,3,7,18,11,1
2015-05-06,Sport Recife,Goias,1.0,0.0,H,NA,NA,NA,NA,1.75,3.38,4.81,5,7,14,13,2
2015-05-07,Chapecoense-SC,Vasco,1.0,0.0,H,NA,NA,NA,NA,1.8,3.28,4.72,8,4,11,18,2
2015-05-07,Ponte Preta,Palmeiras,0.0,2.0,A,NA,NA,NA,NA,3.88,3.33,1.94,4,4,16,17,0
2015-05-07,Cruzeiro,Athletico-PR,2.0,0.0,H,NA,NA,NA,NA,1.68,3.52,5.15,8,13,12,2,2
2015-05-07,Avai,Sport Recife,2.0,2.0,D,NA,NA,NA,NA,2.29,3.17,3.09,1,8,20,12,1
2015-05-07,Goias,Corinthians,0.0,0.0,D,NA,NA,NA,NA,3.02,2.92,2.5,7,10,14,6,1
2015-05-07,Sao Paulo,Fluminense,0.0,0.0,D,NA,NA,NA,NA,1.7,3.56,4.88,7,12,14,3,1
2015-05-07,Flamengo RJ,Figueirense,1.0,2.0,A,NA,NA,NA,NA,1.55,3.69,6.42,10,9,8,11,0
2015-05-07,Santos,Gremio,1.0,3.0,A,NA,NA,NA,NA,2.15,3.21,3.36,10,13,8,1,0
2015-05-07,Internacional,Atletico-MG,1.0,3.0,A,NA,NA,NA,NA,2.41,3.29,2.83,8,9,12,10,0
2015-05-09,Vasco,Atletico-MG,1.0,2.0,A,NA,NA,NA,NA,4.76,3.65,1.7,4,12,18,4,0
2015-05-09,Sao Paulo,Internacional,2.0,0.0,H,NA,NA,NA,NA,2.2,3.26,3.24,8,8,13,12,2
2015-06-06,Flamengo RJ,Chapecoense-SC,1.0,0.0,H,NA,NA,NA,NA,1.74,3.43,4.79,10,11,10,7,2
2015-06-06,Atletico-MG,Cruzeiro,1.0,3.0,A,NA,NA,NA,NA,1.63,3.7,5.22,15,11,2,9,0
2015-06-06,Santos,Ponte Preta,2.0,2.0,D,NA,NA,NA,NA,1.92,3.31,4.02,10,4,11,17,1
2015-06-09,Sport Recife,Santos,1.0,1.0,D,NA,NA,NA,NA,2.18,3.28,3.24,9,11,12,11,1
2015-06-09,Palmeiras,Corinthians,3.0,3.0,D,NA,NA,NA,NA,2.16,3.2,3.36,7,11,15,9,1
2015-06-09,Avai,Coritiba,0.0,2.0,A,NA,NA,NA,NA,2.13,3.15,3.52,2,3,20,19,0
2015-06-09,Cruzeiro,Figueirense,5.0,1.0,H,NA,NA,NA,NA,1.51,3.82,6.89,14,12,3,8,2
2015-06-09,Gremio,Goias,2.0,1.0,H,NA,NA,NA,NA,1.74,3.36,5.06,16,8,2,14,2
2015-06-09,Fluminense,Flamengo RJ,1.0,3.0,A,NA,NA,NA,NA,3.27,3.15,2.22,13,13,5,4,0
2015-06-09,Athletico-PR,Joinville,0.0,0.0,D,NA,NA,NA,NA,1.53,3.77,6.53,13,5,5,17,1
2015-06-09,Chapecoense-SC,Ponte Preta,0.0,0.0,D,NA,NA,NA,NA,1.96,3.22,4.01,11,5,11,18,1
2015-06-12,Atletico-MG,Chapecoense-SC,3.0,0.0,H,NA,NA,NA,NA,1.29,5.18,9.93,15,12,4,8,2
2015-06-12,Figueirense,Fluminense,1.0,0.0,H,NA,NA,NA,NA,1.33,4.74,9.18,12,13,9,6,2
2015-06-12,Flamengo RJ,Palmeiras,1.0,2.0,A,NA,NA,NA,NA,1.54,4.02,5.8,16,8,4,14,0
2015-06-12,Goias,Sao Paulo,0.0,1.0,A,NA,NA,NA,NA,2.62,3.36,2.57,8,11,15,11,0
