Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,HST,AS,AST,AvgH,AvgD,AvgA,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2016-01-05,Portland Timbers,Toronto FC,2,1,H,NA,NA,NA,NA,2.02,3.5,3.51,0.0,0.0,14.0,19.0,2
2016-01-05,Real Salt Lake,Houston Dynamo,2,1,H,NA,NA,NA,NA,1.77,3.67,4.36,0.0,0.0,15.0,8.0,2
2016-01-05,New England Revolution,Orlando City,2,2,D,NA,NA,NA,NA,1.73,3.8,4.48,0.0,0.0,10.0,13.0,1
2016-01-08,Orlando City,New England Revolution,3,1,H,NA,NA,NA,NA,2.19,3.47,3.14,1.0,1.0,4.0,3.0,2
2016-01-08,Chicago Fire,New York Red Bulls,2,2,D,NA,NA,NA,NA,2.95,3.37,2.33,0.0,0.0,6.0,13.0,1
2016-01-08,Houston Dynamo,San Jose Earthquakes,1,1,D,NA,NA,NA,NA,2.08,3.31,3.55,0.0,0.0,19.0,15.0,1
2016-01-08,Toronto FC,Columbus Crew,3,0,H,NA,NA,NA,NA,1.97,3.61,3.59,0.0,0.0,20.0,11.0,2
2016-01-08,Philadelphia Union,Real Salt Lake,1,2,A,NA,NA,NA,NA,1.78,3.78,4.24,0.0,3.0,16.0,4.0,0
2016-01-10,Houston Dynamo,New York City,0,2,A,NA,NA,NA,NA,1.83,3.81,3.93,1.0,0.0,8.0,15.0,0
2016-01-12,Toronto FC,CF Montreal,3,2,H,NA,NA,NA,NA,1.45,4.56,6.55,3.0,0.0,3.0,11.0,2
2016-02-04,Chicago Fire,Philadelphia Union,1,0,H,NA,NA,NA,NA,2.09,3.41,3.39,1.0,0.0,6.0,19.0,2
2016-02-04,New England Revolution,New York Red Bulls,1,0,H,NA,NA,NA,NA,1.93,3.67,3.64,1.0,1.0,9.0,7.0,2
2016-02-05,Sporting Kansas City,Los Angeles Galaxy,1,1,D,NA,NA,NA,NA,2.12,3.46,3.3,0.0,0.0,16.0,14.0,1
2016-02-06,Philadelphia Union,Columbus Crew,3,2,H,NA,NA,NA,NA,2.23,3.5,3.01,0.0,0.0,19.0,20.0,2
2016-02-06,Portland Timbers,San Jose Earthquakes,1,0,H,NA,NA,NA,NA,1.82,3.51,4.29,3.0,1.0,7.0,10.0,2
2016-02-06,DC United,Seattle Sounders,0,2,A,NA,NA,NA,NA,1.99,3.5,3.61,0.0,0.0,15.0,17.0,0
2016-02-07,Real Salt Lake,DC United,1,1,D,NA,NA,NA,NA,1.89,3.48,4.0,6.0,0.0,2.0,19.0,1
2016-02-07,Chicago Fire,San Jose Earthquakes,1,0,H,NA,NA,NA,NA,2.19,3.35,3.24,4.0,1.0,5.0,13.0,2
2016-02-07,CF Montreal,New England Revolution,3,2,H,NA,NA,NA,NA,2.33,3.32,3.0,0.0,4.0,19.0,6.0,2
2016-02-09,New York City,DC United,3,2,H,NA,NA,NA,NA,1.7,3.84,4.65,3.0,1.0,7.0,14.0,2
2016-02-10,Colorado Rapids,Portland Timbers,1,0,H,NA,NA,NA,NA,1.93,3.44,3.87,0.0,6.0,17.0,5.0,2
2016-02-10,FC Dallas,Los Angeles Galaxy,1,0,H,NA,NA,NA,NA,1.75,3.77,4.43,0.0,1.0,18.0,12.0,2
2016-02-10,San Jose Earthquakes,Real Salt Lake,2,1,H,NA,NA,NA,NA,2.14,3.29,3.41,1.0,7.0,16.0,1.0,2
2016-02-10,Orlando City,CF Montreal,0,1,A,NA,NA,NA,NA,2.04,3.65,3.3,4.0,3.0,6.0,12.0,0
2016-02-10,New England Revolution,Sporting Kansas City,3,1,H,NA,NA,NA,NA,2.07,3.46,3.42,4.0,1.0,9.0,14.0,2
2016-02-10,Toronto FC,DC United,1,2,A,NA,NA,NA,NA,1.76,3.81,4.3,6.0,1.0,4.0,17.0,0
2016-02-10,New York Red Bulls,Philadelphia Union,3,2,H,NA,NA,NA,NA,1.56,4.2,5.42,1.0,3.0,15.0,14.0,2
2016-02-10,Columbus Crew,Chicago Fire,3,0,H,NA,NA,NA,NA,1.49,4.46,5.91,0.0,7.0,20.0,1.0,2
2016-03-04,San Jose Earthquakes,DC United,1,1,D,NA,NA,NA,NA,1.7,3.68,4.87,4.0,4.0,10.0,11.0,1
2016-03-04,Vancouver Whitecaps,Los Angeles Galaxy,0,0,D,NA,NA,NA,NA,2.11,3.32,3.42,0.0,1.0,20.0,17.0,1
2016-03-04,Seattle Sounders,CF Montreal,1,0,H,NA,NA,NA,NA,1.83,3.46,4.35,3.0,6.0,12.0,6.0,2
2016-03-04,FC Dallas,Columbus Crew,1,1,D,NA,NA,NA,NA,1.98,3.54,3.6,3.0,3.0,14.0,15.0,1
2016-03-04,Sporting Kansas City,Real Salt Lake,1,2,A,NA,NA,NA,NA,1.58,3.95,5.67,1.0,7.0,19.0,1.0,0
2016-03-04,Colorado Rapids,Toronto FC,1,0,H,NA,NA,NA,NA,2.23,3.28,3.19,3.0,6.0,15.0,6.0,2
2016-03-06,FC Dallas,Houston Dynamo,1,1,D,NA,NA,NA,NA,1.62,3.92,5.2,4.0,1.0,13.0,20.0,1
2016-03-06,Los Angeles Galaxy,Sporting Kansas City,0,0,D,NA,NA,NA,NA,1.84,3.61,4.09,2.0,1.0,17.0,20.0,1
2016-03-06,New York City,Real Salt Lake,2,3,A,NA,NA,NA,NA,1.95,3.68,3.56,6.0,10.0,4.0,1.0,0
2016-03-07,Toronto FC,Seattle Sounders,1,1,D,NA,NA,NA,NA,2.03,3.31,3.69,6.0,6.0,7.0,4.0,1
2016-03-07,Houston Dynamo,Philadelphia Union,1,0,H,NA,NA,NA,NA,1.78,3.71,4.3,2.0,3.0,18.0,17.0,2
2016-03-07,New York City,New York Red Bulls,2,0,H,NA,NA,NA,NA,2.69,3.56,2.43,6.0,4.0,6.0,15.0,2
2016-03-10,Vancouver Whitecaps,Seattle Sounders,1,2,A,NA,NA,NA,NA,2.26,3.26,3.15,1.0,7.0,20.0,3.0,0
2016-03-13,Sporting Kansas City,Vancouver Whitecaps,2,1,H,NA,NA,NA,NA,2.13,3.33,3.37,2.0,1.0,19.0,20.0,2
2016-03-13,Colorado Rapids,Los Angeles Galaxy,1,0,H,NA,NA,NA,NA,2.67,3.27,2.59,6.0,3.0,7.0,18.0,2
2016-03-13,New York City,Toronto FC,2,2,D,NA,NA,NA,NA,2.54,3.56,2.54,9.0,7.0,3.0,5.0,1
2016-03-13,Columbus Crew,Philadelphia Union,1,2,A,NA,NA,NA,NA,1.44,4.46,6.76,4.0,3.0,16.0,19.0,0
