prediction_key,created_at_utc,match_date,competition,home_team,away_team,predicted_result,prob_home,prob_draw,prob_away,pred_home_goals,pred_away_goals,pred_home_shots,pred_away_shots,pred_home_sot,pred_away_sot,actual_home_goals,actual_away_goals,actual_result,is_correct,settled_at_utc,correct_counter,total_counter,accuracy_pct_counter
2026-02-20|England/Championship|blackburn|preston,2026-02-20T20:02:07+00:00,2026-02-20,England/Championship,Blackburn,Preston,A,0.25,0.322727,0.427273,0.7,1.325,12.688,9.306,3.562,3.087,1.0,0.0,H,0.0,2026-02-23T18:25:46+00:00,4,12,33.3
2026-02-21|England/Championship|hull|qpr,2026-02-20T22:38:11+00:00,2026-02-21,England/Championship,Hull,QPR,D,0.213636,0.536364,0.25,0.656,0.919,12.688,9.144,3.994,3.656,1.0,3.0,A,0.0,2026-02-23T18:25:46+00:00,4,12,33.3
2026-02-21|England/Championship|middlesbrough|oxford,2026-02-20T22:38:11+00:00,2026-02-21,England/Championship,Middlesbrough,Oxford,D,0.163636,0.509091,0.327273,0.981,0.8,10.0,11.356,3.381,3.169,0.0,0.0,D,1.0,2026-02-22T23:02:58+00:00,4,12,33.3
2026-02-21|England/Championship|millwall|portsmouth,2026-02-20T22:38:12+00:00,2026-02-21,England/Championship,Millwall,Portsmouth,H,0.468182,0.3,0.231818,1.363,1.25,14.406,10.488,4.906,3.194,1.0,3.0,A,0.0,2026-02-23T18:25:46+00:00,4,12,33.3
2026-02-21|England/Championship|birmingham|norwich,2026-02-20T22:38:12+00:00,2026-02-21,England/Championship,Norwich,Birmingham,D,0.168182,0.654545,0.177273,1.05,1.012,12.869,10.825,3.619,3.506,1.0,2.0,A,0.0,2026-02-23T18:25:46+00:00,4,12,33.3
2026-02-21|England/Championship|charlton|southampton,2026-02-20T22:38:12+00:00,2026-02-21,England/Championship,Southampton,Charlton,D,0.140909,0.536364,0.322727,0.944,0.794,9.994,10.775,3.969,3.4,1.0,1.0,D,1.0,2026-02-23T18:25:46+00:00,4,12,33.3
2026-02-21|England/Championship|leicester|stoke,2026-02-20T22:38:12+00:00,2026-02-21,England/Championship,Stoke,Leicester,D,0.177273,0.622727,0.2,1.156,1.025,13.094,10.975,3.869,3.525,2.0,2.0,D,1.0,2026-02-23T18:25:46+00:00,4,12,33.3
2026-02-21|England/Championship|bristolcity|swansea,2026-02-20T22:38:12+00:00,2026-02-21,England/Championship,Swansea,Bristol City,D,0.227273,0.531818,0.240909,0.725,0.844,12.338,10.119,3.969,3.6,1.0,0.0,H,0.0,2026-02-23T18:25:46+00:00,4,12,33.3
2026-02-21|England/Championship|derby|watford,2026-02-20T22:38:13+00:00,2026-02-21,England/Championship,Watford,Derby,D,0.145455,0.513636,0.340909,0.912,0.906,10.012,10.938,3.856,3.25,2.0,0.0,H,0.0,2026-02-23T18:25:46+00:00,4,12,33.3
2026-02-21|England/Championship|coventry|westbrom,2026-02-20T22:38:13+00:00,2026-02-21,England/Championship,West Brom,Coventry,D,0.181818,0.622727,0.195455,1.169,1.087,12.912,10.844,3.944,3.669,0.0,2.0,A,0.0,2026-02-23T18:25:46+00:00,4,12,33.3
2026-02-21|England/Championship|ipswich|wrexham,2026-02-20T22:38:13+00:00,2026-02-21,England/Championship,Wrexham,Ipswich,D,0.154545,0.495455,0.35,0.95,0.856,10.231,11.094,4.106,3.406,5.0,3.0,H,0.0,2026-02-23T18:25:46+00:00,4,12,33.3
2026-02-22|England/Championship|sheffieldunited|sheffieldweds,2026-02-21T20:03:05+00:00,2026-02-22,England/Championship,Sheffield United,Sheffield Weds,H,0.690909,0.231818,0.077273,2.519,0.619,16.956,9.219,6.006,2.788,2.0,1.0,H,1.0,2026-02-23T18:25:46+00:00,4,12,33.3
